Spring 2014,,White Only,American Indian Only,Asian Only,Black Only + 2 or more/1 Black,Hispanic or Latino of any Race,Native Hawaii Only,2 or More/Excluding Black,International,Unknown or Not Reported,Total,
Veterinary,BIMS,"1,004",2,181,72,405,,51,33,6,"1,754",
Medicine,BIOT,,,,,,,,2,,2,
GENE,,6,,,,1,,,1,,8,
LAMD,,3,,,,,,,,,3,
STJR,,6,,,,1,,,,,7,
TOXI,,6,,1,1,1,,,3,,12,
USVM,,4,,,1,11,,2,,,18,
VHPE,,5,,1,,1,,,,,7,
VPAT,,10,,1,,1,,1,2,,15,
VTMD,,448,3,18,4,37,,4,,10,524,
VTMI,,6,,,1,1,,,5,,13,
VTPB,,2,,1,,,,,3,1,7,
Subtotal,,"1,500",5,203,79,459,,58,49,17,"2,370",
General Studies,GEST,586,1,57,50,322,,24,6,2,"1,048",
TEAM,,"1,006",4,53,25,228,,40,,1,"1,357",
TMEN,,64,1,,1,16,,5,,,87,
Subtotal,,"1,656",6,110,76,566,,69,6,3,"2,492",
Other - Special,MARB,,,,,1,,,,,1,
Populations,MARM,1,,,,,,,,,1,
MARS,,2,,,,,,,,,2,
MDSC,,2,,1,,,,1,5,,9,
PHLT,,13,,2,5,5,,,7,3,35,
REEP,,,,,,1,,,73,,74,
USGA,,1,,,,,,,,,1,
Subtotal,,19,,3,5,7,,1,85,3,123,
Total,,30814,132,2386,1607,8650,36,1042,4293,261,49221,
"Prepared by DARS, 17 Feb 14",,,,,,,,,,,,
