Ethnicity American Indian Only,,,,,,,,,,,,,,
Headcount by Major by Classification / Degree Objective by Ethnicity,,,,,,,,,,,,,,
(College Station),,,,,,,,,,,,,,
Spring 2014,,Undergraduate,,,,,Masters,,Doctoral,,Professional,,Grand Total,
,,Freshman,Sophomore,Junior,Senior,Total,Masters,Total,Doctoral,Total,Professional,Total,,
Engineering,AERL,,,,,,,,,,,,,
AERO,,,,,2,2,,,1,1,,,3,
BMEN,,,,,1,1,,,,,,,1,
CECL,,,,,,,,,,,,,,
CECN,,,,,1,1,,,,,,,1,
CEEL,,,,,,,,,,,,,,
CEEN,,,,,,,1,1,,,,,1,
CHEL,,1,,,,1,,,,,,,1,
CHEN,,,,1,1,2,,,,,,,2,
CPSC,,,,2,,2,,,,,,,2,
CPSL,,,1,,1,2,,,,,,,2,
CVEL,,3,,,,3,,,,,,,3,
CVEN,,,,,,,,,1,1,,,1,
ELEL,,1,,,,1,,,,,,,1,
ELEN,,,,,1,1,,,,,,,1,
ENGE,,1,,,,1,,,,,,,1,
ESET,,,,1,,1,,,,,,,1,
HLPH,,,,,,,1,1,,,,,1,
IDIL,,,,,1,1,,,,,,,1,
IDIS,,,,,1,1,,,,,,,1,
INEL,,,2,,,2,,,,,,,2,
MEEL,,2,,,,2,,,,,,,2,
MEEN,,,,,2,2,,,1,1,,,3,
OCEN,,,,,2,2,,,,,,,2,
PETE,,,,1,3,4,3,3,,,,,7,
Subtotal,,8,3,5,16,32,5,5,3,3,,,40,
Geosciences,ATMO,,,,,,,,,,,,,
ENGS,,,,,,,,,,,,,,
ENST,,,,1,,1,,,,,,,1,
GEOG,,,,,1,1,,,,,,,1,
OCNG,,,,,,,,,1,1,,,1,
WMHS,,,,,,,,,,,,,,
Subtotal,,,,1,1,2,,,1,1,,,3,
Liberal Arts,ANTH,,,2,,2,,,1,1,,,3,
CLSS,,,,,,,,,,,,,,
COMM,,,2,1,1,4,,,,,,,4,
ECON,,,,2,1,3,,,,,,,3,
ENGL,,1,,,3,4,,,,,,,4,
HISP,,,,,,,,,,,,,,
HIST,,,,1,,1,,,,,,,1,
INTS,,,,,1,1,,,,,,,1,
PHIL,,,,,,,,,,,,,,
POLS,,,,,2,2,,,,,,,2,
PSYC,,1,,2,2,5,,,,,,,5,
RUSS,,,,,,,,,,,,,,
SOCI,,,,,2,2,,,1,1,,,3,
SPAN,,,,,,,,,,,,,,
TCMS,,,,1,,1,,,,,,,1,
WGST,,,,,,,,,,,,,,
Subtotal,,2,2,9,12,25,,,2,2,,,27,
Science,ANLY,,,,,,,,,,,,,
APHY,,,,,,,,,1,1,,,1,
APMS,,,,,,,,,,,,,,
BIOL,,1,,1,3,5,,,,,,,5,
PHYS,,1,1,,,2,,,,,,,2,
STAT,,,,,,,,,,,,,,
USSC,,,,,,,,,,,,,,
ZOOL,,1,,,,1,,,,,,,1,
Subtotal,,3,1,1,3,8,,,1,1,,,9,
Veterinary,BIMS,,1,,,1,1,1,,,,,2,
Medicine,VTMD,,,,,,,,,,3,3,3,
Subtotal,,,1,,,1,1,1,,,3,3,5,
General Studies,GEST,,,1,,1,,,,,,,1,
TEAM,,3,1,,,4,,,,,,,4,
TMEN,,1,,,,1,,,,,,,1,
Subtotal,,4,1,1,,6,,,,,,,6,
University,Total,19,13,37,43,112,9,9,8,8,3,3,132,
"Prepared by DARS, 17 Feb 14",,,,,,,,,,,,,,
