Demographic Summary by Classification,,,,,
First-Time In College Students (College Station) Top 10% Texas High School Students,,,,,
Spring 2014,Freshman,Sophomore,Junior,Grand Total,
Headcount Total,114,7,3,124,
Gender                           Female,56,4,1,61,
Male,58,3,2,63,
Ethnicity                        White Only,59,5,2,66,
American Indian Only,1,,,1,
Asian Only,4,1,1,6,
Black Only + 2 or more/1 Black,7,,,7,
Hispanic or Latino of any Race,24,1,,25,
2 or More/Excluding Black,1,,,1,
International,18,,,18,
TAMU Age                    <18,1,,,1,
Categories                     18-21,103,6,3,112,
22-25,8,1,,9,
26-30,1,,,1,
31-39,1,,,1,
College                           Agriculture,19,2,,21,
Architecture,1,,,1,
Business Admin,14,,,14,
Education,9,1,,10,
Engineering,32,1,1,34,
Geosciences,2,,,2,
Liberal Arts,23,1,2,26,
Science,9,,,9,
Veterinary Medicine,5,2,,7,
Enrollment Status       1st Time in College,114,7,3,124,
Tuition Status               Resident Tuition,83,7,3,93,
Non-Resident Tuition,30,,,30,
Tuition Exemption/Waiver,1,,,1,
Residency Status         Texas Resident,84,7,3,94,
"Non-TX, US Resident",9,,,9,
"Non-TX, Non-US Resident",21,,,21,
SCH Categories            < 6 SCH,1,,,1,
6-8 SCH,1,,,1,
9-11 SCH,2,,,2,
12-14 SCH,77,4,1,82,
15-17 SCH,31,3,2,36,
>17 SCH,2,,,2,
Ft/Pt:  TAMU Status   Less Than Half Time,1,,,1,
Half-Time,7,,,7,
Full-Time,106,7,3,116,
First Generation          No,56,5,1,62,
Unknown,24,1,,25,
Yes,34,1,2,37,
"Prepared by DARS, 18 Feb 14",,,,,
