Spring 2014,,White Only,,American Indian Only,,Asian Only,,Black Only + 2 or more/1 Black,,Hispanic or Latino of any Race,,Native Hawaii Only,,2 or More/Excluding Black,,International,,Unknown or Not Reported,,Total,,Total,
,,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,,
Veterinary,BIMS,708,296,2,,109,72,58,14,294,111,,,35,16,18,15,3,3,"1,227",527,"1,754",
Medicine,BIOT,,,,,,,,,,,,,,,1,1,,,1,1,2,
GENE,,4,2,,,,,,,1,,,,,,1,,,,6,2,8,
LAMD,,3,,,,,,,,,,,,,,,,,,3,,3,
STJR,,6,,,,,,,,,1,,,,,,,,,6,1,7,
TOXI,,3,3,,,,1,1,,,1,,,,,2,1,,,6,6,12,
USVM,,3,1,,,,,1,,9,2,,,1,1,,,,,14,4,18,
VHPE,,3,2,,,,1,,,1,,,,,,,,,,4,3,7,
VPAT,,9,1,,,1,,,,,1,,,1,,,2,,,11,4,15,
VTMD,,346,102,2,1,16,2,2,2,26,11,,,2,2,,,8,2,402,122,524,
VTMI,,4,2,,,,,1,,1,,,,,,3,2,,,9,4,13,
VTPB,,2,,,,1,,,,,,,,,,2,1,1,,6,1,7,
Subtotal,,"1,091",409,4,1,127,76,63,16,332,127,,,39,19,27,22,12,5,"1,695",675,"2,370",
General Studies,GEST,301,285,1,,36,21,32,18,168,154,,,13,11,3,3,,2,554,494,"1,048",
TEAM,,506,500,1,3,26,27,16,9,111,117,,,23,17,,,1,,684,673,"1,357",
TMEN,,9,55,,1,,,,1,2,14,,,,5,,,,,11,76,87,
Subtotal,,816,840,2,4,62,48,48,28,281,285,,,36,33,3,3,1,2,"1,249","1,243","2,492",
Other - Special,MARB,,,,,,,,,1,,,,,,,,,,1,,1,
Populations,MARM,,1,,,,,,,,,,,,,,,,,,1,1,
MARS,,1,1,,,,,,,,,,,,,,,,,1,1,2,
MDSC,,1,1,,,1,,,,,,,,1,,3,2,,,6,3,9,
PHLT,,9,4,,,1,1,4,1,4,1,,,,,5,2,1,2,24,11,35,
REEP,,,,,,,,,,,1,,,,,33,40,,,33,41,74,
USGA,,1,,,,,,,,,,,,,,,,,,1,,1,
Subtotal,,12,7,,,2,1,4,1,5,2,,,1,,41,44,1,2,66,57,123,
Total,,"15,018","15,796",59,73,"1,033","1,353",881,726,"4,390","4,260",8,28,490,552,"1,446","2,847",105,156,"23,430","25,791","49,221",
"Prepared by DARS, 17 Feb 14",,,,,,,,,,,,,,,,,,,,,,,
