College Engineering,,,,,,,,,,,
Spring 2014,Student Level,,,,,,,,,,
,Undergraduate,,Masters,,Doctoral,,Professional,,Total,,
,#,%,#,%,#,%,#,%,#,%,
Gender                   Total,"8,590",100.0%,"1,480",100.0%,"1,418",100.0%,,,"11,488",100.0%,
Female,"1,661",19.3%,349,23.6%,265,18.7%,,,"2,275",19.8%,
Male,"6,929",80.7%,"1,131",76.4%,"1,153",81.3%,,,"9,213",80.2%,
Ethnicity                White Only,"5,604",65.2%,408,27.6%,271,19.1%,,,"6,283",54.7%,
American Indian Only,32,.4%,5,.3%,3,.2%,,,40,.3%,
Asian Only,590,6.9%,64,4.3%,48,3.4%,,,702,6.1%,
Black Only + 2 or more/1 Black,206,2.4%,35,2.4%,23,1.6%,,,264,2.3%,
Hispanic or Latino of any Race,"1,598",18.6%,87,5.9%,54,3.8%,,,"1,739",15.1%,
Native Hawaii Only,11,.1%,1,.1%,1,.1%,,,13,.1%,
2 or More/Excluding Black,220,2.6%,14,.9%,9,.6%,,,243,2.1%,
International,304,3.5%,842,56.9%,996,70.2%,,,"2,142",18.6%,
Unknown or Not Reported,25,.3%,24,1.6%,13,.9%,,,62,.5%,
TAMU Age            <18,1,.0%,,,,,,,1,.0%,
Categories             18-21,"4,860",56.6%,3,.2%,1,.1%,,,"4,864",42.3%,
22-25,"3,455",40.2%,765,51.7%,231,16.3%,,,"4,451",38.7%,
26-30,186,2.2%,493,33.3%,713,50.3%,,,"1,392",12.1%,
31-39,74,.9%,169,11.4%,436,30.7%,,,679,5.9%,
40+,14,.2%,50,3.4%,37,2.6%,,,101,.9%,
Enrollment           1st Time in College,34,.4%,,,,,,,34,.3%,
Status                     1st Time Transfer,129,1.5%,,,,,,,129,1.1%,
1st Time Graduate,,,113,7.6%,48,3.4%,,,161,1.4%,
Readmitted,38,.4%,2,.1%,,,,,40,.3%,
Continuing,"8,389",97.7%,"1,365",92.2%,"1,370",96.6%,,,"11,124",96.8%,
Tuition Status       Resident Tuition,"7,943",92.5%,497,33.6%,234,16.5%,,,"8,674",75.5%,
Non-Resident Tuition,267,3.1%,622,42.0%,247,17.4%,,,"1,136",9.9%,
Tuition Exemption/Waiver,380,4.4%,361,24.4%,937,66.1%,,,"1,678",14.6%,
Residency Status Texas Resident,"7,963",92.7%,511,34.5%,252,17.8%,,,"8,726",76.0%,
"Non-TX, US Resident",315,3.7%,116,7.8%,155,10.9%,,,586,5.1%,
"Non-TX, Non-US Resident",312,3.6%,853,57.6%,"1,011",71.3%,,,"2,176",18.9%,
SCH Categories    < 6 SCH,119,1.4%,253,17.1%,118,8.3%,,,490,4.3%,
6-8 SCH,138,1.6%,157,10.6%,14,1.0%,,,309,2.7%,
9-11 SCH,359,4.2%,958,64.7%,"1,232",86.9%,,,"2,549",22.2%,
12-14 SCH,"4,278",49.8%,105,7.1%,44,3.1%,,,"4,427",38.5%,
15-17 SCH,"3,400",39.6%,7,.5%,10,.7%,,,"3,417",29.7%,
>17 SCH,296,3.4%,,,,,,,296,2.6%,
Ft/Pt:  TAMU       Less Than Half Time,120,1.4%,235,15.9%,115,8.1%,,,470,4.1%,
Status                     Half-Time,501,5.8%,180,12.2%,20,1.4%,,,701,6.1%,
Full-Time,"7,969",92.8%,"1,065",72.0%,"1,283",90.5%,,,"10,317",89.8%,
Top 10% Texas     No,"3,919",45.6%,"1,422",96.1%,"1,382",97.5%,,,"6,723",58.5%,
High School          Yes,"4,671",54.4%,58,3.9%,36,2.5%,,,"4,765",41.5%,
First Generation  No,"6,271",73.0%,435,29.4%,591,41.7%,,,"7,297",63.5%,
Unknown,525,6.1%,928,62.7%,593,41.8%,,,"2,046",17.8%,
Yes,"1,794",20.9%,117,7.9%,234,16.5%,,,"2,145",18.7%,
"Table 8     Prepared by DARS, 2/14/2014",,,,,,,,,,,
