Demographic Summary by College by Ethnicity/Gender,,,,,,,,,,,,,,,,,,,,,,,,,
First-Time Undergraduate Transfer Students  (College Station),,,,,,,,,,,,,,,,,,,,,,,,,
College Science,,,,,,,,,,,,,,,,,,,,,,,,,
Spring 2014,White Only,,,American Indian Only,,,Asian Only,,,Black Only + 2 or more/1 Black,,,Hispanic or Latino of any Race,,,2 or More/Excluding Black,,,International,,,Grand Total,,,
,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,
Headcount Total,11,7,18,,,,1,4,5,,,,1,3,4,1,1,2,1,3,4,15,18,33,
"TAMU Age                     18-21
Categories",8,7,15,,,,1,3,4,,,,,2,2,1,1,2,,,,10,13,23,
22-25,3,,3,,,,,,,,,,1,1,2,,,,1,2,3,5,3,8,
26-30,,,,,,,,1,1,,,,,,,,,,,1,1,,2,2,
31-39,,,,,,,,,,,,,,,,,,,,,,,,,
40+,,,,,,,,,,,,,,,,,,,,,,,,,
"Classification/Degre    Freshman
e Objective",,,,,,,,,,,,,,,,,,,,,,,,,
Sophomore,6,2,8,,,,,2,2,,,,,,,1,,1,1,,1,8,4,12,
Junior,5,5,10,,,,1,1,2,,,,1,3,4,,1,1,,3,3,7,13,20,
Senior,,,,,,,,1,1,,,,,,,,,,,,,,1,1,
Tuition Status               Resident Tuition,11,7,18,,,,1,4,5,,,,1,3,4,1,1,2,,,,14,15,29,
Non-Resident Tuition,,,,,,,,,,,,,,,,,,,,3,3,,3,3,
Tuition Exemption/Waiver,,,,,,,,,,,,,,,,,,,1,,1,1,,1,
Residency Status          Texas Resident,11,7,18,,,,1,4,5,,,,1,3,4,1,1,2,,,,14,15,29,
"Non-TX, US Resident",,,,,,,,,,,,,,,,,,,,,,,,,
"Non-TX, Non-US Resident",,,,,,,,,,,,,,,,,,,1,3,4,1,3,4,
SCH Categories            < 6 SCH,,,,,,,,,,,,,,,,,,,,,,,,,
6-8 SCH,1,,1,,,,,,,,,,,,,,,,,,,1,,1,
9-11 SCH,,,,,,,,,,,,,,,,,,,,,,,,,
12-14 SCH,7,5,12,,,,1,3,4,,,,1,3,4,1,1,2,1,1,2,11,13,24,
15-17 SCH,3,2,5,,,,,1,1,,,,,,,,,,,1,1,3,4,7,
>17 SCH,,,,,,,,,,,,,,,,,,,,1,1,,1,1,
Ft/Pt:  TAMU Status   Less Than Half Time,,,,,,,,,,,,,,,,,,,,,,,,,
Half-Time,1,,1,,,,,,,,,,,,,,,,,,,1,,1,
Full-Time,10,7,17,,,,1,4,5,,,,1,3,4,1,1,2,1,3,4,14,18,32,
"Top 10% Texas High   No
School",8,4,12,,,,1,3,4,,,,1,3,4,1,1,2,1,3,4,12,14,26,
Yes,3,3,6,,,,,1,1,,,,,,,,,,,,,3,4,7,
First Generation           No,7,5,12,,,,,3,3,,,,,1,1,,1,1,,,,7,10,17,
Unknown,,,,,,,,1,1,,,,1,,1,,,,1,3,4,2,4,6,
Yes,4,2,6,,,,1,,1,,,,,2,2,1,,1,,,,6,4,10,
"Dorm / Off-campus     Off-campus
students",11,6,17,,,,1,2,3,,,,1,3,4,1,1,2,1,3,4,15,15,30,
Dorm (On-campus),,1,1,,,,,2,2,,,,,,,,,,,,,,3,3,
"Prepared by DARS, 18 Feb 14",,,,,,,,,,,,,,,,,,,,,,,,,
