College Other - Special Populations,,,,,,,,,,,
Spring 2014,Student Level,,,,,,,,,,
,Undergraduate,,Masters,,Doctoral,,Professional,,Total,,
,#,%,#,%,#,%,#,%,#,%,
Gender                   Total,69,100.0%,54,100.0%,,,,,123,100.0%,
Female,33,47.8%,33,61.1%,,,,,66,53.7%,
Male,36,52.2%,21,38.9%,,,,,57,46.3%,
Ethnicity                White Only,3,4.3%,16,29.6%,,,,,19,15.4%,
American Indian Only,,,,,,,,,,,
Asian Only,,,3,5.6%,,,,,3,2.4%,
Black Only + 2 or more/1 Black,,,5,9.3%,,,,,5,4.1%,
Hispanic or Latino of any Race,2,2.9%,5,9.3%,,,,,7,5.7%,
Native Hawaii Only,,,,,,,,,,,
2 or More/Excluding Black,,,1,1.9%,,,,,1,.8%,
International,64,92.8%,21,38.9%,,,,,85,69.1%,
Unknown or Not Reported,,,3,5.6%,,,,,3,2.4%,
TAMU Age            <18,,,,,,,,,,,
Categories             18-21,29,42.0%,,,,,,,29,23.6%,
22-25,37,53.6%,17,31.5%,,,,,54,43.9%,
26-30,3,4.3%,22,40.7%,,,,,25,20.3%,
31-39,,,8,14.8%,,,,,8,6.5%,
40+,,,7,13.0%,,,,,7,5.7%,
Enrollment           1st Time in College,,,,,,,,,,,
Status                     1st Time Transfer,,,,,,,,,,,
1st Time Graduate,,,28,51.9%,,,,,28,22.8%,
Readmitted,,,,,,,,,,,
Continuing,69,100.0%,26,48.1%,,,,,95,77.2%,
Tuition Status       Resident Tuition,4,5.8%,26,48.1%,,,,,30,24.4%,
Non-Resident Tuition,65,94.2%,15,27.8%,,,,,80,65.0%,
Tuition Exemption/Waiver,,,13,24.1%,,,,,13,10.6%,
Residency Status Texas Resident,4,5.8%,26,48.1%,,,,,30,24.4%,
"Non-TX, US Resident",,,7,13.0%,,,,,7,5.7%,
"Non-TX, Non-US Resident",65,94.2%,21,38.9%,,,,,86,69.9%,
SCH Categories    < 6 SCH,2,2.9%,33,61.1%,,,,,35,28.5%,
6-8 SCH,,,9,16.7%,,,,,9,7.3%,
9-11 SCH,2,2.9%,5,9.3%,,,,,7,5.7%,
12-14 SCH,44,63.8%,6,11.1%,,,,,50,40.7%,
15-17 SCH,20,29.0%,1,1.9%,,,,,21,17.1%,
>17 SCH,1,1.4%,,,,,,,1,.8%,
Ft/Pt:  TAMU       Less Than Half Time,2,2.9%,29,53.7%,,,,,31,25.2%,
Status                     Half-Time,2,2.9%,13,24.1%,,,,,15,12.2%,
Full-Time,65,94.2%,12,22.2%,,,,,77,62.6%,
Top 10% Texas     No,68,98.6%,52,96.3%,,,,,120,97.6%,
High School          Yes,1,1.4%,2,3.7%,,,,,3,2.4%,
First Generation  No,4,5.8%,2,3.7%,,,,,6,4.9%,
Unknown,65,94.2%,51,94.4%,,,,,116,94.3%,
Yes,,,1,1.9%,,,,,1,.8%,
"Table 8     Prepared by DARS, 2/14/2014",,,,,,,,,,,
