Spring 2014,White Only,,,American Indian Only,,,Asian Only,,,Black Only + 2 or more/1 Black,,,Hispanic or Latino of any Race,,,2 or More/Excluding Black,,,International,,,Grand Total,,,
,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,
Headcount Total,,1,1,,,,,,,,,,,1,1,,,,,1,1,,3,3,
"TAMU Age                     18-21
Categories",,1,1,,,,,,,,,,,,,,,,,1,1,,2,2,
22-25,,,,,,,,,,,,,,,,,,,,,,,,,
26-30,,,,,,,,,,,,,,1,1,,,,,,,,1,1,
31-39,,,,,,,,,,,,,,,,,,,,,,,,,
40+,,,,,,,,,,,,,,,,,,,,,,,,,
"Classification/Degre    Freshman
e Objective",,,,,,,,,,,,,,,,,,,,,,,,,
Sophomore,,1,1,,,,,,,,,,,,,,,,,1,1,,2,2,
Junior,,,,,,,,,,,,,,1,1,,,,,,,,1,1,
Senior,,,,,,,,,,,,,,,,,,,,,,,,,
Tuition Status               Resident Tuition,,1,1,,,,,,,,,,,1,1,,,,,,,,2,2,
Non-Resident Tuition,,,,,,,,,,,,,,,,,,,,1,1,,1,1,
Tuition Exemption/Waiver,,,,,,,,,,,,,,,,,,,,,,,,,
Residency Status          Texas Resident,,1,1,,,,,,,,,,,1,1,,,,,,,,2,2,
"Non-TX, US Resident",,,,,,,,,,,,,,,,,,,,,,,,,
"Non-TX, Non-US Resident",,,,,,,,,,,,,,,,,,,,1,1,,1,1,
SCH Categories            < 6 SCH,,,,,,,,,,,,,,,,,,,,,,,,,
6-8 SCH,,,,,,,,,,,,,,,,,,,,,,,,,
9-11 SCH,,,,,,,,,,,,,,,,,,,,,,,,,
12-14 SCH,,1,1,,,,,,,,,,,1,1,,,,,,,,2,2,
15-17 SCH,,,,,,,,,,,,,,,,,,,,1,1,,1,1,
>17 SCH,,,,,,,,,,,,,,,,,,,,,,,,,
Ft/Pt:  TAMU Status   Less Than Half Time,,,,,,,,,,,,,,,,,,,,,,,,,
Half-Time,,,,,,,,,,,,,,,,,,,,,,,,,
Full-Time,,1,1,,,,,,,,,,,1,1,,,,,1,1,,3,3,
"Top 10% Texas High   No
School",,1,1,,,,,,,,,,,1,1,,,,,1,1,,3,3,
Yes,,,,,,,,,,,,,,,,,,,,,,,,,
First Generation           No,,,,,,,,,,,,,,,,,,,,,,,,,
Unknown,,,,,,,,,,,,,,,,,,,,1,1,,1,1,
Yes,,1,1,,,,,,,,,,,1,1,,,,,,,,2,2,
"Dorm / Off-campus     Off-campus
students",,1,1,,,,,,,,,,,1,1,,,,,1,1,,3,3,
Dorm (On-campus),,,,,,,,,,,,,,,,,,,,,,,,,
"Prepared by DARS, 18 Feb 14",,,,,,,,,,,,,,,,,,,,,,,,,
