Ethnicity American Indian Only,,,,,,,,,,,,,,
Headcount by Major by Classification / Degree Objective by Ethnicity,,,,,,,,,,,,,,
(College Station),,,,,,,,,,,,,,
Spring 2014,,Undergraduate,,,,,Masters,,Doctoral,,Professional,,Grand Total,
,,Freshman,Sophomore,Junior,Senior,Total,Masters,Total,Doctoral,Total,Professional,Total,,
Agriculture,ABME,,,,,,,,,,,,,
ADEV,,,,,,,1,1,,,,,1,
AGBL,,,,,,,,,,,,,,
AGBU,,,,1,,1,,,,,,,1,
AGCJ,,,,1,,1,,,,,,,1,
ALEC,,,,,,,,,,,,,,
ALED,,,,3,,3,,,,,,,3,
ANBR,,,,,,,,,,,,,,
ANSC,,,,2,4,6,,,,,,,6,
BAEN,,,,,,,,,,,,,,
BESC,,,1,,,1,,,,,,,1,
BICH,,,,,,,,,1,1,,,1,
CDEV,,,,,,,,,,,,,,
ECOR,,,,1,,1,,,,,,,1,
FIVS,,,,1,,1,,,,,,,1,
NUSC,,,,1,,1,,,,,,,1,
PLPA,,,,,,,,,,,,,,
POSC,,,,,1,1,,,,,,,1,
USAL,,,,,1,1,,,,,,,1,
WFSC,,,,1,,1,,,,,,,1,
WISC,,,,,,,,,,,,,,
WMHS,,,,,,,,,,,,,,
Subtotal,,,1,11,6,18,1,1,1,1,,,20,
Architecture,ARCH,,,,,,,,,,,,,
COMG,,,,,,,,,,,,,,
COSC,,,,,1,1,,,,,,,1,
VISL,,,,1,,1,,,,,,,1,
VIST,,,,,,,,,,,,,,
Subtotal,,,,1,1,2,,,,,,,2,
Business Admin,ACCT,,,,,,,,,,,,,
BUAD,,2,2,,,4,,,,,,,4,
BUAG,,,,,,,,,,,,,,
EMBA,,,,,,,1,1,,,,,1,
FINC,,,,1,1,2,,,,,,,2,
INFO,,,,,,,,,,,,,,
MGMT,,,,1,,1,,,,,,,1,
SCMT,,,,,,,,,,,,,,
USBU,,,1,,,1,,,,,,,1,
Subtotal,,2,3,2,1,8,1,1,,,,,9,
Education,ATTR,,,,,,,,,,,,,
EDAD,,,,,,,,,,,,,,
EDCI,,,,,,,1,1,,,,,1,
EDHL,,,,,1,1,,,,,,,1,
EDIS,,,,3,,3,,,,,,,3,
EDKI,,,1,1,1,3,,,,,,,3,
HLTH,,,,,1,1,,,,,,,1,
HRDL,,,,1,,1,,,,,,,1,
KINE,,,,1,,1,,,,,,,1,
NUTR,,,,,,,,,,,,,,
USEH,,,,,,,,,,,,,,
Subtotal,,,1,6,3,10,1,1,,,,,11,
