Spring 2014,Undergraduate,,,,,Masters,,Doctoral,,Professional,,Grand Total,
,Freshman,Sophomore,Junior,Senior,Total,Masters,Total,Doctoral,Total,Professional,Total,,
Science                BIOL,38,53,42,69,202,,,3,3,,,205,
CHEM,3,11,11,17,42,,,10,10,,,52,
CLSC,,,,,,,,,,,,,
MATH,18,11,5,14,48,1,1,2,2,,,51,
PHYS,8,4,3,1,16,,,4,4,,,20,
STAT,,,,,,22,22,1,1,,,23,
Subtotal,67,79,61,101,308,23,23,20,20,,,351,
Veterinary          CLVM,43,40,27,61,171,2,2,,,18,18,191,
Medicine            VIBS,,,,,,8,8,,,,,8,
VTPB,,,,,,,,2,2,,,2,
VTPP,,,,,,,,2,2,,,2,
Subtotal,43,40,27,61,171,10,10,4,4,18,18,203,
General               GEST,61,38,11,,110,,,,,,,110,
Studies                Subtotal,61,38,11,,110,,,,,,,110,
Other - Special  CLMD,,,,,,1,1,,,,,1,
Populations       SRPH,,,,,,2,2,,,,,2,
Subtotal,,,,,,3,3,,,,,3,
University          Total,368,430,470,750,"2,018",212,212,138,138,18,18,"2,386",
"Prepared by DARS, 14 Feb 14",,,,,,,,,,,,,
