Ethnicity Unknown or Not Reported,,,,,,,,,,,,,,,
Headcount by Major by Classification / Degree Objective by Ethnicity,,,,,,,,,,,,,,,
(College Station),,,,,,,,,,,,,,,
Spring 2014,,Undergr,,,aduate,,,Masters,,Doctoral,,Professional,,Grand Total,
,,Freshman,Sophomore,Junior,,Senior,Total,Masters,Total,Doctoral,Total,Professional,Total,,
Engineering,AERL,1,,,,,1,,,,,,,1,
AERO,,,,,,1,1,,,,,,,1,
BMEN,,,,,,2,2,1,1,,,,,3,
CECL,,,,,,,,,,,,,,,
CECN,,,,,,,,,,1,1,,,1,
CEEL,,,,,,,,,,,,,,,
CEEN,,,,,,2,2,,,1,1,,,3,
CHEL,,,,,,,,,,,,,,,
CHEN,,,,,,4,4,,,,,,,4,
CPSC,,,,1,,,1,3,3,2,2,,,6,
CVEN,,,,,,,,2,2,2,2,,,4,
ELEL,,1,,,,,1,,,,,,,1,
ELEN,,,,,,1,1,1,1,4,4,,,6,
ENGE,,1,,,,,1,,,,,,,1,
ENGR,,,,,,,,,,1,1,,,1,
IDIS,,,,,,,,4,4,,,,,4,
INEL,,,,,,,,,,,,,,,
INEN,,,,,,2,2,,,,,,,2,
MEEN,,,,1,,3,4,2,2,,,,,6,
MSEN,,,,,,,,1,1,,,,,1,
OCEL,,,,,,,,,,,,,,,
OCEN,,,,1,,,1,,,1,1,,,2,
PETE,,,,,,4,4,9,9,1,1,,,14,
RHEN,,,,,,,,,,,,,,,
SENG,,,,,,,,1,1,,,,,1,
Subtotal,,3,,3,,19,25,24,24,13,13,,,62,
G. Bush School of,CAIA,,,,,,,,,,,,,,
Govt,CHLS,,,,,,,,,,,,,,
CNPM,,,,,,,,,,,,,,,
INTA,,,,,,,,2,2,,,,,2,
PSAA,,,,,,,,2,2,,,,,2,
Subtotal,,,,,,,,4,4,,,,,4,
Geosciences,ATMO,,,,,,,,,,,,,,
GEOG,,,,,,,,,,1,1,,,1,
GEOL,,,,,,,,,,1,1,,,1,
GEOP,,,,,,,,,,1,1,,,1,
OCNG,,,,,,,,,,1,1,,,1,
SPSG,,,,,,,,,,,,,,,
USGE,,,,,,,,,,,,,,,
WMHS,,,,,,,,,,,,,,,
Subtotal,,,,,,,,,,4,4,,,4,
