Texas A&M University Student Enrollment Summary,,,,,,,
Student Head Count by Level (Distance Education),,,,,,,
"Distance Education (Out State), Spring 2013",,,,,,,
,Masters,,Doctoral,,Total,,
,#,%,#,%,#,%,
College                     Total,319,100.0%,13,100.0%,332,100.0%,
Agriculture,14,4.4%,5,38.5%,19,5.7%,
Architecture,,,,,,,
Business Admin,,,,,,,
Education,19,6.0%,8,61.5%,27,8.1%,
Engineering,68,21.3%,,,68,20.5%,
G. Bush School of Govt,37,11.6%,,,37,11.1%,
Geosciences,,,,,,,
Liberal Arts,,,,,,,
Science,181,56.7%,,,181,54.5%,
Veterinary Medicine,,,,,,,
General Studies,,,,,,,
Other - Special Populations,,,,,,,
Gender                     Female,108,33.9%,10,76.9%,118,35.5%,
Male,211,66.1%,3,23.1%,214,64.5%,
Ethnicity                  White Only,216,67.7%,12,92.3%,228,68.7%,
American Indian Only,1,.3%,,,1,.3%,
Asian Only,26,8.2%,,,26,7.8%,
Black Only + 2 or more/1 Black,11,3.4%,,,11,3.3%,
Hispanic or Latino of any Race,19,6.0%,,,19,5.7%,
2 or More/Excluding Black,4,1.3%,,,4,1.2%,
International,26,8.2%,1,7.7%,27,8.1%,
Unknown or Not Reported,16,5.0%,,,16,4.8%,
TAMU Age              <18,,,,,,,
Categories               18-21,,,,,,,
22-25,15,4.7%,,,15,4.5%,
26-30,90,28.2%,,,90,27.1%,
31-39,116,36.4%,8,61.5%,124,37.3%,
40+,98,30.7%,5,38.5%,103,31.0%,
Enrollment              1st Time Graduate,63,19.7%,2,15.4%,65,19.6%,
Status                       Readmitted,7,2.2%,,,7,2.1%,
Continuing,249,78.1%,11,84.6%,260,78.3%,
Tuition Status         Resident Tuition,,,1,7.7%,1,.3%,
Non-Resident Tuition,319,100.0%,12,92.3%,331,99.7%,
Residency Status    Texas Resident,6,1.9%,,,6,1.8%,
"Non-TX, US Resident",281,88.1%,12,92.3%,293,88.3%,
"Non-TX, Non-US Resident",32,10.0%,1,7.7%,33,9.9%,
SCH Categories      < 6 SCH,192,60.2%,3,23.1%,195,58.7%,
6-8 SCH,113,35.4%,8,61.5%,121,36.4%,
9-11 SCH,11,3.4%,1,7.7%,12,3.6%,
12-14 SCH,3,.9%,,,3,.9%,
15-17 SCH,,,1,7.7%,1,.3%,
>17 SCH,,,,,,,
Ft/Pt:  TAMU         Less Than Half Time,175,57.4%,3,27.3%,178,56.3%,
Status                       Half-Time,130,42.6%,8,72.7%,138,43.7%,
Three-Quarter Time,,,,,,,
Table 6,,,,,,,
"Only those students not reported to THECB Prepared by DARS, 2/14/2014",,,,,,,
