Spring 2014,Undergraduate,,,,Masters,,,Doctoral,,,Professional,Total,
,1st Time in College,1st Time Transfer,Readmitted,Continuing,1st Time Graduate,Readmitted,Continuing,1st Time Graduate,Readmitted,Continuing,Continuing,,
Veterinary Medicine     BIMS,7,,3,"1,595",13,,75,3,,58,,"1,754",
BIOT,,,,,,,2,,,,,2,
GENE,,,,,,,,,,8,,8,
LAMD,,,,,1,,2,,,,,3,
STJR,,,,,1,,6,,,,,7,
TOXI,,,,,,,,,,12,,12,
USVM,,,,18,,,,,,,,18,
VHPE,,,,,,,7,,,,,7,
VPAT,,,,,,,,,,15,,15,
VTMD,,,,,,,,,,,524,524,
VTMI,,,,,,,,,,13,,13,
VTPB,,,,,,,,2,,5,,7,
Subtotal,7,,3,"1,613",15,,92,5,,111,524,"2,370",
General Studies             GEST,,,,"1,048",,,,,,,,"1,048",
TEAM,,,,"1,357",,,,,,,,"1,357",
TMEN,,,,87,,,,,,,,87,
Subtotal,,,,"2,492",,,,,,,,"2,492",
Other - Special               MARB,,,,1,,,,,,,,1,
Populations                    MARM,,,,,,,1,,,,,1,
MARS,,,,2,,,,,,,,2,
MDSC,,,,,5,,4,,,,,9,
PHLT,,,,,23,,12,,,,,35,
REEP,,,,65,,,9,,,,,74,
USGA,,,,1,,,,,,,,1,
Subtotal,,,,69,28,,26,,,,,123,
University                       Total,124,978,244,"37,983",500,15,"4,382",115,9,"4,347",524,"49,221",
"Prepared by DARS, 17 Feb 14",,,,,,,,,,,,,
