College Architecture,,,,,,,,,,,,,,,,,,,,,,,
Spring 2014,White Only,,,American Indian Only,,Asian Only,,,Black Only + 2 or more/1 Black,,,Hispanic or Latino of any Race,,,2 or More/Excluding Black,,International,,,Grand Total,,,
,F,M,Tot,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,M,Tot,F,M,Tot,F,M,Tot,
Headcount Total,,,,,,,,,,,,,1,1,,,,,,,1,1,
"TAMU Age                     <18
Categories",,,,,,,,,,,,,,,,,,,,,,,
18-21,,,,,,,,,,,,,1,1,,,,,,,1,1,
22-25,,,,,,,,,,,,,,,,,,,,,,,
26-30,,,,,,,,,,,,,,,,,,,,,,,
31-39,,,,,,,,,,,,,,,,,,,,,,,
"Classification/Degre    Freshman
e Objective",,,,,,,,,,,,,1,1,,,,,,,1,1,
Sophomore,,,,,,,,,,,,,,,,,,,,,,,
Junior,,,,,,,,,,,,,,,,,,,,,,,
Tuition Status               Resident Tuition,,,,,,,,,,,,,1,1,,,,,,,1,1,
Non-Resident Tuition,,,,,,,,,,,,,,,,,,,,,,,
Tuition Exemption/Waiver,,,,,,,,,,,,,,,,,,,,,,,
Residency Status          Texas Resident,,,,,,,,,,,,,1,1,,,,,,,1,1,
"Non-TX, US Resident",,,,,,,,,,,,,,,,,,,,,,,
"Non-TX, Non-US Resident",,,,,,,,,,,,,,,,,,,,,,,
SCH Categories            < 6 SCH,,,,,,,,,,,,,,,,,,,,,,,
6-8 SCH,,,,,,,,,,,,,,,,,,,,,,,
9-11 SCH,,,,,,,,,,,,,,,,,,,,,,,
12-14 SCH,,,,,,,,,,,,,,,,,,,,,,,
15-17 SCH,,,,,,,,,,,,,1,1,,,,,,,1,1,
>17 SCH,,,,,,,,,,,,,,,,,,,,,,,
Ft/Pt:  TAMU Status   Less Than Half Time,,,,,,,,,,,,,,,,,,,,,,,
Half-Time,,,,,,,,,,,,,,,,,,,,,,,
Full-Time,,,,,,,,,,,,,1,1,,,,,,,1,1,
"Top 10% Texas High   No
School",,,,,,,,,,,,,1,1,,,,,,,1,1,
Yes,,,,,,,,,,,,,,,,,,,,,,,
First Generation           No,,,,,,,,,,,,,1,1,,,,,,,1,1,
Unknown,,,,,,,,,,,,,,,,,,,,,,,
Yes,,,,,,,,,,,,,,,,,,,,,,,
"Dorm / Off-campus     Off-campus
students",,,,,,,,,,,,,,,,,,,,,,,
Dorm (On-campus),,,,,,,,,,,,,1,1,,,,,,,1,1,
"Prepared by DARS, 18 Feb 14",,,,,,,,,,,,,,,,,,,,,,,
