Demographic Summary,,,,,
First Generation FTIC Students  (College Station),,,,,
Spring 2014,First Generation Undergraduates,,,Grand Total,
,Unknown,Yes,No,,
Headcount Total,25,37,62,124,
Gender                         Female,10,15,36,61,
Male,15,22,26,63,
Ethnicity                     White Only,3,21,42,66,
American Indian Only,,,1,1,
Asian Only,1,,5,6,
Black Only + 2 or more/1 Black,,6,1,7,
Hispanic or Latino of any Race,3,10,12,25,
2 or More/Excluding Black,,,1,1,
International,18,,,18,
TAMU Age                  <18,1,,,1,
Categories                   18-21,23,30,59,112,
22-25,1,5,3,9,
26-30,,1,,1,
31-39,,1,,1,
College                         Agriculture,1,7,13,21,
Architecture,,,1,1,
Business Admin,3,2,9,14,
Education,1,3,6,10,
Engineering,16,8,10,34,
Geosciences,1,,1,2,
Liberal Arts,1,12,13,26,
Science,2,2,5,9,
Veterinary Medicine,,3,4,7,
Enrollment Status     1st Time in College,25,37,62,124,
Tuition Status            Resident Tuition,6,33,54,93,
Non-Resident Tuition,19,3,8,30,
Tuition Exemption/Waiver,,1,,1,
Residency Status       Texas Resident,6,33,55,94,
"Non-TX, US Resident",,4,5,9,
"Non-TX, Non-US Resident",19,,2,21,
SCH Categories          < 6 SCH,,,1,1,
6-8 SCH,,1,,1,
9-11 SCH,,,2,2,
12-14 SCH,15,23,44,82,
15-17 SCH,8,13,15,36,
>17 SCH,2,,,2,
Ft/Pt:  TAMU             Less Than Half Time,,,1,1,
Status                           Half-Time,4,1,2,7,
Full-Time,21,36,59,116,
Top 10% Texas           No,21,15,43,79,
High School                Yes,4,22,19,45,
"Prepared by DARS, 18 Feb 14",,,,,
