Spring 2014,White Only,,,American Indian Only,,Asian Only,,,Black Only + 2 or more/1 Black,,,Hispanic or Latino of any Race,,,"2 or
More/Excluding Black",,International,,,Grand Total,,,
,F,M,Tot,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,M,Tot,F,M,Tot,F,M,Tot,
Headcount Total,13,9,22,,,,,,1,,1,1,2,3,,,,,,15,11,26,
"TAMU Age                     <18
Categories",,,,,,,,,,,,,,,,,,,,,,,
18-21,13,7,20,,,,,,,,,1,2,3,,,,,,14,9,23,
22-25,,1,1,,,,,,1,,1,,,,,,,,,1,1,2,
26-30,,1,1,,,,,,,,,,,,,,,,,,1,1,
31-39,,,,,,,,,,,,,,,,,,,,,,,
"Classification/Degre    Freshman
e Objective",11,8,19,,,,,,1,,1,1,2,3,,,,,,13,10,23,
Sophomore,1,,1,,,,,,,,,,,,,,,,,1,,1,
Junior,1,1,2,,,,,,,,,,,,,,,,,1,1,2,
Tuition Status               Resident Tuition,11,7,18,,,,,,1,,1,1,2,3,,,,,,13,9,22,
Non-Resident Tuition,2,2,4,,,,,,,,,,,,,,,,,2,2,4,
Tuition Exemption/Waiver,,,,,,,,,,,,,,,,,,,,,,,
Residency Status          Texas Resident,11,7,18,,,,,,1,,1,1,2,3,,,,,,13,9,22,
"Non-TX, US Resident",1,2,3,,,,,,,,,,,,,,,,,1,2,3,
"Non-TX, Non-US Resident",1,,1,,,,,,,,,,,,,,,,,1,,1,
SCH Categories            < 6 SCH,,,,,,,,,,,,,,,,,,,,,,,
6-8 SCH,1,,1,,,,,,,,,,,,,,,,,1,,1,
9-11 SCH,,,,,,,,,,,,,,,,,,,,,,,
12-14 SCH,6,6,12,,,,,,1,,1,,2,2,,,,,,7,8,15,
15-17 SCH,6,3,9,,,,,,,,,1,,1,,,,,,7,3,10,
>17 SCH,,,,,,,,,,,,,,,,,,,,,,,
Ft/Pt:  TAMU Status   Less Than Half Time,,,,,,,,,,,,,,,,,,,,,,,
Half-Time,1,,1,,,,,,,,,,,,,,,,,1,,1,
Full-Time,12,9,21,,,,,,1,,1,1,2,3,,,,,,14,11,25,
"Top 10% Texas High   No
School",10,6,16,,,,,,1,,1,,2,2,,,,,,11,8,19,
Yes,3,3,6,,,,,,,,,1,,1,,,,,,4,3,7,
First Generation           No,7,4,11,,,,,,1,,1,,1,1,,,,,,8,5,13,
Unknown,1,,1,,,,,,,,,,,,,,,,,1,,1,
Yes,5,5,10,,,,,,,,,1,1,2,,,,,,6,6,12,
"Dorm / Off-campus     Off-campus
students",9,8,17,,,,,,1,,1,,1,1,,,,,,10,9,19,
Dorm (On-campus),4,1,5,,,,,,,,,1,1,2,,,,,,5,2,7,
"Prepared by DARS, 18 Feb 14",,,,,,,,,,,,,,,,,,,,,,,
