Demographic Summary for BLINN/TMEN Students,,,,,
(College Station),,,,,
Major Total,,,,,
Spring 2014,,,,,
,U1: Freshmen,U2: Sophomore,U3: Junior,Total,
Gender              Total,922,491,31,1444,
Female,446,232,17,695,
Male,476,259,14,749,
Ethnicity          White Only,668,378,24,1070,
American Indian Only,4,1,0,5,
Asian Only,37,13,3,53,
Black Only + 2 or more/1 Black,14,11,1,26,
Hispanic or Latino of any Race,168,73,3,244,
Native Hawaii Only,0,0,0,0,
2 or More/Excluding Black,31,14,0,45,
Unknown or Not Reported,0,1,0,1,
TAMU Age       <18,0,0,0,0,
Categories        18-21,920,490,31,1441,
22-25,2,1,0,3,
26-30,0,0,0,0,
Enrollment      1st Time in College,0,0,0,0,
Status                1st Time Transfer,0,0,0,0,
Readmitted,0,0,0,0,
Continuing,922,491,31,1444,
Tuition Status Resident Tuition,880,472,31,1383,
Non-Resident Tuition,24,10,0,34,
Tuition Exemption/Waiver,18,9,0,27,
Residency         Texas Resident,883,473,31,1387,
"Status                Non-TX, US Resident",38,16,0,54,
"Non-TX, Non-US Resident",1,2,0,3,
Ft/Pt: TAMU  Not Enrolled,0,0,0,0,
Status                Less Than Half Time,783,418,25,1226,
Half-Time,139,73,6,218,
Three-Quarter Time,0,0,0,0,
Full-Time,0,0,0,0,
SCH                   < 6 SCH,783,418,25,1226,
Categories        6-8 SCH,139,73,6,218,
9-11 SCH,0,0,0,0,
12-14 SCH,0,0,0,0,
15-17 SCH,0,0,0,0,
>17 SCH,0,0,0,0,
First                   No,682,378,23,1083,
Generation       Unknown,38,10,0,48,
Yes,202,103,8,313,
