College Science,,,,,,,,,,,
Spring 2014,Student Level,,,,,,,,,,
,Undergraduate,,Masters,,Doctoral,,Professional,,Total,,
,#,%,#,%,#,%,#,%,#,%,
Gender                   Total,"2,407",100.0%,201,100.0%,658,100.0%,,,"3,266",100.0%,
Female,"1,181",49.1%,71,35.3%,214,32.5%,,,"1,466",44.9%,
Male,"1,226",50.9%,130,64.7%,444,67.5%,,,"1,800",55.1%,
Ethnicity                White Only,"1,267",52.6%,129,64.2%,219,33.3%,,,"1,615",49.4%,
American Indian Only,8,.3%,,,1,.2%,,,9,.3%,
Asian Only,308,12.8%,23,11.4%,20,3.0%,,,351,10.7%,
Black Only + 2 or more/1 Black,93,3.9%,6,3.0%,7,1.1%,,,106,3.2%,
Hispanic or Latino of any Race,596,24.8%,13,6.5%,32,4.9%,,,641,19.6%,
Native Hawaii Only,2,.1%,,,,,,,2,.1%,
2 or More/Excluding Black,71,2.9%,3,1.5%,7,1.1%,,,81,2.5%,
International,52,2.2%,20,10.0%,363,55.2%,,,435,13.3%,
Unknown or Not Reported,10,.4%,7,3.5%,9,1.4%,,,26,.8%,
TAMU Age            <18,1,.0%,,,1,.2%,,,2,.1%,
Categories             18-21,"1,752",72.8%,,,1,.2%,,,"1,753",53.7%,
22-25,628,26.1%,23,11.4%,162,24.6%,,,813,24.9%,
26-30,14,.6%,68,33.8%,366,55.6%,,,448,13.7%,
31-39,9,.4%,55,27.4%,120,18.2%,,,184,5.6%,
40+,3,.1%,55,27.4%,8,1.2%,,,66,2.0%,
Enrollment           1st Time in College,9,.4%,,,,,,,9,.3%,
Status                     1st Time Transfer,33,1.4%,,,,,,,33,1.0%,
1st Time Graduate,,,37,18.4%,6,.9%,,,43,1.3%,
Readmitted,12,.5%,2,1.0%,,,,,14,.4%,
Continuing,"2,353",97.8%,162,80.6%,652,99.1%,,,"3,167",97.0%,
Tuition Status       Resident Tuition,"2,265",94.1%,156,77.6%,110,16.7%,,,"2,531",77.5%,
Non-Resident Tuition,66,2.7%,22,10.9%,41,6.2%,,,129,3.9%,
Tuition Exemption/Waiver,76,3.2%,23,11.4%,507,77.1%,,,606,18.6%,
Residency Status Texas Resident,"2,273",94.4%,159,79.1%,116,17.6%,,,"2,548",78.0%,
"Non-TX, US Resident",82,3.4%,20,10.0%,177,26.9%,,,279,8.5%,
"Non-TX, Non-US Resident",52,2.2%,22,10.9%,365,55.5%,,,439,13.4%,
SCH Categories    < 6 SCH,21,.9%,106,52.7%,15,2.3%,,,142,4.3%,
6-8 SCH,59,2.5%,43,21.4%,1,.2%,,,103,3.2%,
9-11 SCH,72,3.0%,47,23.4%,630,95.7%,,,749,22.9%,
12-14 SCH,"1,207",50.1%,5,2.5%,12,1.8%,,,"1,224",37.5%,
15-17 SCH,950,39.5%,,,,,,,950,29.1%,
>17 SCH,98,4.1%,,,,,,,98,3.0%,
Ft/Pt:  TAMU       Less Than Half Time,23,1.0%,97,48.3%,14,2.1%,,,134,4.1%,
Status                     Half-Time,134,5.6%,53,26.4%,3,.5%,,,190,5.8%,
Full-Time,"2,250",93.5%,51,25.4%,641,97.4%,,,"2,942",90.1%,
Top 10% Texas     No,975,40.5%,194,96.5%,650,98.8%,,,"1,819",55.7%,
High School          Yes,"1,432",59.5%,7,3.5%,8,1.2%,,,"1,447",44.3%,
First Generation  No,"1,570",65.2%,102,50.7%,283,43.0%,,,"1,955",59.9%,
Unknown,162,6.7%,40,19.9%,238,36.2%,,,440,13.5%,
Yes,675,28.0%,59,29.4%,137,20.8%,,,871,26.7%,
"Table 8     Prepared by DARS, 2/14/2014",,,,,,,,,,,
