University Total,,,,,,,,,,,,,,,,,,,,,,,
Spring 2014,White Only,,,American Indian Only,,Asian Only,,,Black Only + 2 or more/1 Black,,,Hispanic or Latino of any Race,,,2 or More/Excluding Black,,International,,,Grand Total,,,
,F,M,Tot,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,M,Tot,F,M,Tot,F,M,Tot,
Headcount Total,39,27,66,1,1,3,3,6,4,3,7,11,14,25,1,1,4,14,18,61,63,124,
"TAMU Age                     <18
Categories",,,,,,1,,1,,,,,,,,,,,,1,,1,
18-21,39,23,62,1,1,2,3,5,3,2,5,10,11,21,1,1,4,13,17,58,54,112,
22-25,,3,3,,,,,,1,1,2,,3,3,,,,1,1,1,8,9,
26-30,,1,1,,,,,,,,,,,,,,,,,,1,1,
31-39,,,,,,,,,,,,1,,1,,,,,,1,,1,
"Classification/Degre    Freshman
e Objective",34,25,59,1,1,3,1,4,4,3,7,11,13,24,1,1,4,14,18,56,58,114,
Sophomore,4,1,5,,,,1,1,,,,,1,1,,,,,,4,3,7,
Junior,1,1,2,,,,1,1,,,,,,,,,,,,1,2,3,
Tuition Status               Resident Tuition,33,25,58,1,1,2,3,5,4,1,5,9,14,23,1,1,,,,48,45,93,
Non-Resident Tuition,6,2,8,,,1,,1,,1,1,2,,2,,,4,14,18,13,17,30,
Tuition Exemption/Waiver,,,,,,,,,,1,1,,,,,,,,,,1,1,
Residency Status          Texas Resident,33,25,58,1,1,3,3,6,4,1,5,9,14,23,1,1,,,,49,45,94,
"Non-TX, US Resident",5,2,7,,,,,,,2,2,,,,,,,,,5,4,9,
"Non-TX, Non-US Resident",1,,1,,,,,,,,,2,,2,,,4,14,18,7,14,21,
SCH Categories            < 6 SCH,,,,,,,,,,,,,,,1,1,,,,,1,1,
6-8 SCH,1,,1,,,,,,,,,,,,,,,,,1,,1,
9-11 SCH,,2,2,,,,,,,,,,,,,,,,,,2,2,
12-14 SCH,26,20,46,,,1,1,2,3,2,5,9,9,18,,,3,8,11,42,40,82,
15-17 SCH,12,5,17,1,1,2,2,4,1,1,2,2,5,7,,,1,4,5,18,18,36,
>17 SCH,,,,,,,,,,,,,,,,,,2,2,,2,2,
Ft/Pt:  TAMU Status   Less Than Half Time,,,,,,,,,,,,,,,1,1,,,,,1,1,
Half-Time,1,2,3,,,,,,,,,,,,,,,4,4,1,6,7,
Full-Time,38,25,63,1,1,3,3,6,4,3,7,11,14,25,,,4,10,14,60,56,116,
"Top 10% Texas High   No
School",24,15,39,1,1,2,3,5,2,2,4,6,7,13,,,3,14,17,37,42,79,
Yes,15,12,27,,,1,,1,2,1,3,5,7,12,1,1,1,,1,24,21,45,
First Generation           No,28,14,42,1,1,2,3,5,1,,1,5,7,12,1,1,,,,36,26,62,
Unknown,3,,3,,,1,,1,,,,2,1,3,,,4,14,18,10,15,25,
Yes,8,13,21,,,,,,3,3,6,4,6,10,,,,,,15,22,37,
"Dorm / Off-campus     Off-campus
students",24,16,40,1,1,1,2,3,2,2,4,3,6,9,1,1,3,7,10,33,35,68,
Dorm (On-campus),15,11,26,,,2,1,3,2,1,3,8,8,16,,,1,7,8,28,28,56,
"Prepared by DARS, 18 Feb 14",,,,,,,,,,,,,,,,,,,,,,,
