Spring 2014,,White Only,,American Indian Only,,Asian Only,,Black Only + 2 or more/1 Black,,Hispanic or Latino of any Race,,Native Hawaii Only,,2 or More/Excluding Black,,International,,Unknown or Not Reported,,Total,,Total,
,,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,,
Science,BIOL,416,303,1,5,105,100,47,17,209,139,,1,26,17,36,23,,4,840,609,"1,449",
CHEM,,99,143,,,24,28,6,9,33,36,,,4,4,48,85,3,2,217,307,524,
CLSC,,13,4,,,,,,1,2,7,,,,,,,,,15,12,27,
MATH,,142,185,,,20,31,10,7,54,85,1,,6,10,29,61,,6,262,385,647,
PHYS,,28,178,2,1,3,17,,4,15,53,,,2,11,11,98,1,4,62,366,428,
STAT,,30,74,,,15,8,2,3,2,6,,,1,,18,26,2,4,70,121,191,
Subtotal,,728,887,3,6,167,184,65,41,315,326,1,1,39,42,142,293,6,20,"1,466","1,800","3,266",
Veterinary,CLVM,"1,016",382,4,1,121,70,61,14,319,118,,,36,18,3,2,10,4,"1,570",609,"2,179",
Medicine,VIBS,25,10,,,4,4,,1,6,4,,,2,1,6,8,1,1,44,29,73,
VLCS,,10,3,,,,,,,1,,,,,,2,1,,,13,4,17,
VSCS,,6,3,,,,,,,,2,,,,,3,4,,,9,9,18,
VTPB,,27,5,,,2,,1,1,4,1,,,1,,7,5,1,,43,12,55,
VTPP,,7,6,,,,2,1,,2,2,,,,,6,2,,,16,12,28,
Subtotal,,"1,091",409,4,1,127,76,63,16,332,127,,,39,19,27,22,12,5,"1,695",675,"2,370",
General Studies,GEST,816,840,2,4,62,48,48,28,281,285,,,36,33,3,3,1,2,"1,249","1,243","2,492",
Subtotal,,816,840,2,4,62,48,48,28,281,285,,,36,33,3,3,1,2,"1,249","1,243","2,492",
Other - Special,CLMD,1,1,,,1,,,,,,,,1,,3,2,,,6,3,9,
Populations,GACD,1,,,,,,,,,,,,,,,,,,1,,1,
MARB,,,,,,,,,,1,,,,,,,,,,1,,1,
MARS,,1,2,,,,,,,,,,,,,,,,,1,2,3,
SABX,,,,,,,,,,,1,,,,,33,40,,,33,41,74,
SRPH,,9,4,,,1,1,4,1,4,1,,,,,5,2,1,2,24,11,35,
Subtotal,,12,7,,,2,1,4,1,5,2,,,1,,41,44,1,2,66,57,123,
Total,,"15,018","15,796",59,73,"1,033","1,353",881,726,"4,390","4,260",8,28,490,552,"1,446","2,847",105,156,"23,430","25,791","49,221",
"Prepared by DARS, 14 Feb 14",,,,,,,,,,,,,,,,,,,,,,,
