College Education,,,,,,,,,,,,,,,,,,,,,,,,,
Spring 2014,White Only,,,American Indian Only,,,Asian Only,,,Black Only + 2 or more/1 Black,,,Hispanic or Latino of any Race,,,2 or More/Excluding Black,,,International,,,Grand Total,,,
,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,
Headcount Total,92,25,117,,,,3,2,5,,,,21,6,27,3,,3,1,,1,120,33,153,
"TAMU Age                     18-21
Categories",67,17,84,,,,3,,3,,,,11,3,14,2,,2,,,,83,20,103,
22-25,18,5,23,,,,,2,2,,,,6,2,8,1,,1,,,,25,9,34,
26-30,3,2,5,,,,,,,,,,4,1,5,,,,,,,7,3,10,
31-39,3,1,4,,,,,,,,,,,,,,,,1,,1,4,1,5,
40+,1,,1,,,,,,,,,,,,,,,,,,,1,,1,
"Classification/Degre    Freshman
e Objective",,,,,,,,,,,,,,,,,,,,,,,,,
Sophomore,47,9,56,,,,2,,2,,,,9,4,13,1,,1,,,,59,13,72,
Junior,40,14,54,,,,1,2,3,,,,11,2,13,2,,2,1,,1,55,18,73,
Senior,5,2,7,,,,,,,,,,1,,1,,,,,,,6,2,8,
Tuition Status               Resident Tuition,92,23,115,,,,2,2,4,,,,20,6,26,3,,3,,,,117,31,148,
Non-Resident Tuition,,2,2,,,,1,,1,,,,1,,1,,,,,,,2,2,4,
Tuition Exemption/Waiver,,,,,,,,,,,,,,,,,,,1,,1,1,,1,
Residency Status          Texas Resident,92,24,116,,,,2,2,4,,,,20,6,26,3,,3,,,,117,32,149,
"Non-TX, US Resident",,1,1,,,,1,,1,,,,,,,,,,,,,1,1,2,
"Non-TX, Non-US Resident",,,,,,,,,,,,,1,,1,,,,1,,1,2,,2,
SCH Categories            < 6 SCH,,1,1,,,,,,,,,,,,,,,,,,,,1,1,
6-8 SCH,2,1,3,,,,,,,,,,,,,,,,,,,2,1,3,
9-11 SCH,2,2,4,,,,,,,,,,,,,,,,,,,2,2,4,
12-14 SCH,33,14,47,,,,2,2,4,,,,14,3,17,,,,,,,49,19,68,
15-17 SCH,52,7,59,,,,1,,1,,,,7,3,10,3,,3,1,,1,64,10,74,
>17 SCH,3,,3,,,,,,,,,,,,,,,,,,,3,,3,
Ft/Pt:  TAMU Status   Less Than Half Time,,1,1,,,,,,,,,,,,,,,,,,,,1,1,
Half-Time,4,3,7,,,,,,,,,,,,,,,,,,,4,3,7,
Full-Time,88,21,109,,,,3,2,5,,,,21,6,27,3,,3,1,,1,116,29,145,
"Top 10% Texas High   No
School",87,23,110,,,,3,2,5,,,,19,6,25,3,,3,1,,1,113,31,144,
Yes,5,2,7,,,,,,,,,,2,,2,,,,,,,7,2,9,
First Generation           No,67,15,82,,,,2,1,3,,,,9,1,10,1,,1,,,,79,17,96,
Unknown,1,,1,,,,,,,,,,2,,2,,,,1,,1,4,,4,
Yes,24,10,34,,,,1,1,2,,,,10,5,15,2,,2,,,,37,16,53,
"Dorm / Off-campus     Off-campus
students",90,23,113,,,,3,2,5,,,,20,6,26,3,,3,1,,1,117,31,148,
Dorm (On-campus),2,2,4,,,,,,,,,,1,,1,,,,,,,3,2,5,
"Prepared by DARS, 18 Feb 14",,,,,,,,,,,,,,,,,,,,,,,,,
