Spring 2014,White Only,,,American Indian Only,,,Asian Only,,,Black Only + 2 or more/1 Black,,,Hispanic or Latino of any Race,,,2 or More/Excluding Black,,,International,,,Grand Total,,,
,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,
Headcount Total,2,16,18,,,,1,1,2,,1,1,,3,3,,,,,1,1,3,22,25,
"TAMU Age                     18-21
Categories",1,7,8,,,,1,1,2,,1,1,,3,3,,,,,1,1,2,13,15,
22-25,1,6,7,,,,,,,,,,,,,,,,,,,1,6,7,
26-30,,2,2,,,,,,,,,,,,,,,,,,,,2,2,
31-39,,1,1,,,,,,,,,,,,,,,,,,,,1,1,
40+,,,,,,,,,,,,,,,,,,,,,,,,,
"Classification/Degre    Freshman
e Objective",,1,1,,,,,,,,,,,,,,,,,,,,1,1,
Sophomore,1,5,6,,,,1,1,2,,1,1,,1,1,,,,,,,2,8,10,
Junior,,8,8,,,,,,,,,,,1,1,,,,,1,1,,10,10,
Senior,1,2,3,,,,,,,,,,,1,1,,,,,,,1,3,4,
Tuition Status               Resident Tuition,2,15,17,,,,1,1,2,,1,1,,3,3,,,,,,,3,20,23,
Non-Resident Tuition,,,,,,,,,,,,,,,,,,,,1,1,,1,1,
Tuition Exemption/Waiver,,1,1,,,,,,,,,,,,,,,,,,,,1,1,
Residency Status          Texas Resident,2,15,17,,,,1,1,2,,1,1,,3,3,,,,,,,3,20,23,
"Non-TX, US Resident",,1,1,,,,,,,,,,,,,,,,,,,,1,1,
"Non-TX, Non-US Resident",,,,,,,,,,,,,,,,,,,,1,1,,1,1,
SCH Categories            < 6 SCH,,,,,,,,,,,,,,,,,,,,,,,,,
6-8 SCH,,,,,,,,,,,,,,,,,,,,,,,,,
9-11 SCH,,,,,,,,,,,,,,1,1,,,,,,,,1,1,
12-14 SCH,1,11,12,,,,1,1,2,,1,1,,2,2,,,,,,,2,15,17,
15-17 SCH,1,5,6,,,,,,,,,,,,,,,,,1,1,1,6,7,
>17 SCH,,,,,,,,,,,,,,,,,,,,,,,,,
Ft/Pt:  TAMU Status   Less Than Half Time,,,,,,,,,,,,,,,,,,,,,,,,,
Half-Time,,,,,,,,,,,,,,1,1,,,,,,,,1,1,
Full-Time,2,16,18,,,,1,1,2,,1,1,,2,2,,,,,1,1,3,21,24,
"Top 10% Texas High   No
School",2,16,18,,,,1,1,2,,1,1,,3,3,,,,,1,1,3,22,25,
Yes,,,,,,,,,,,,,,,,,,,,,,,,,
First Generation           No,,11,11,,,,,1,1,,1,1,,1,1,,,,,,,,14,14,
Unknown,,1,1,,,,,,,,,,,1,1,,,,,1,1,,3,3,
Yes,2,4,6,,,,1,,1,,,,,1,1,,,,,,,3,5,8,
"Dorm / Off-campus     Off-campus
students",1,15,16,,,,1,1,2,,1,1,,3,3,,,,,1,1,2,21,23,
Dorm (On-campus),1,1,2,,,,,,,,,,,,,,,,,,,1,1,2,
"Prepared by DARS, 18 Feb 14",,,,,,,,,,,,,,,,,,,,,,,,,
