Spring 2014,White Only,,American Indian Only,,Asian Only,,Black Only + 2 or more/1 Black,,Hispanic or Latino of any Race,,Native Hawaii Only,,2 or More/Excluding Black,,International,,Unknown or Not Reported,,Total,,Total
,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,
Agriculture                  ABME,,1,,,1,,,,,,,,,,3,3,,,4,4,8
ADEV,15,5,1,,,,,,,2,,,,,,,,,16,7,23
AGBL,42,76,,,1,3,1,,9,15,,,2,,2,2,,,57,96,153
AGBU,61,102,,1,1,,,,9,13,,,2,2,6,6,,,79,124,203
AGCJ,197,45,1,,1,,11,3,28,9,,,3,2,1,1,1,,243,60,303
AGEC,84,174,,,5,1,,,6,20,,,1,3,23,29,,1,119,228,347
AGED,5,2,,,,,,1,1,1,,,,,1,,,,7,4,11
AGLS,25,30,,,1,,1,4,9,6,,,,1,,1,,,36,42,78
AGRO,12,43,,,4,1,2,,4,3,,,,2,1,4,,1,23,54,77
AGSC,79,45,,,1,,,,10,3,,,2,1,,,,,92,49,141
AGSM,12,103,,,,1,2,,2,12,,,1,3,,4,,,17,123,140
ALEC,43,33,,,1,2,3,2,5,5,,,1,1,3,,1,,57,43,100
ALED,161,255,2,1,,,7,37,31,32,,2,1,7,1,,,,203,334,537
ANBR,4,3,,,,,,,,,,,,,1,,,,5,3,8
ANSC,568,181,5,1,6,1,23,1,144,58,,,17,6,3,5,,,766,253,"1,019"
BAEN,51,103,,,3,4,4,4,15,26,,,2,7,13,24,1,2,89,170,259
BESC,71,74,,1,13,16,9,5,51,28,,1,1,3,8,3,,,153,131,284
BICH,56,75,,1,22,24,14,5,29,27,,,5,4,28,38,,3,154,177,331
CDEV,8,2,,,1,,,,3,3,,,,,,,,,12,5,17
ECOR,9,13,1,,1,,,,1,2,,,,,,,,,12,15,27
ENST,24,20,,,1,,,,3,4,,,2,,,,,,30,24,54
ENTO,36,34,,,1,3,1,2,16,12,,,1,6,12,7,,,67,64,131
ESSM,16,7,,,1,,1,,4,4,,,,,5,5,,,27,16,43
FIVL,17,13,,,2,,2,,14,3,,,1,,,,1,,37,16,53
FIVS,17,12,1,,,2,1,,7,3,,,,,1,,,,27,17,44
FORS,5,22,,,,1,,,2,3,,,,1,2,1,,,9,28,37
FSTC,55,22,,,6,4,3,4,20,8,,,3,1,15,5,2,,104,44,148
GENE,59,30,,,7,6,3,2,19,9,,,3,,2,6,1,,94,53,147
HORT,70,40,,,4,,3,1,20,13,,,1,1,13,5,,,111,60,171
MEPS,2,3,,,,1,,1,,2,,,1,,9,9,,,12,16,28
NRDV,9,10,,,,,,,,1,,,,1,,,,1,9,13,22
NUSC,274,38,1,,28,7,13,3,93,20,1,,7,4,2,,1,,420,72,492
NUTR,12,2,,,1,,,,5,,,,,,9,1,,,27,3,30
PLBR,6,22,,,1,,,,1,2,,,,,10,9,,,18,33,51
PLPA,6,6,,,,2,1,1,,2,,,1,,3,9,,,11,20,31
POSC,45,61,1,,,,1,3,19,10,,,1,1,3,5,,,70,80,150
PREP,6,3,,,,,,,,,,,,,1,3,,,7,6,13
PSSC,9,34,,,,1,,2,8,7,,,1,1,1,1,,,19,46,65
RENR,21,38,,,2,,1,3,4,12,,,,2,1,,,,29,55,84
RLEM,8,36,,,,,,,3,3,,,,5,,,,,11,44,55
RPTS,235,110,,,5,4,13,19,24,18,,,7,3,18,12,,1,302,167,469
RRDV,1,,,,,,,,,,,,,,,,,,1,,1
SOSC,5,10,,,,1,2,1,3,,,,1,,4,3,1,,16,15,31
SPSA,3,15,,,,,,,1,5,,,1,1,,,,,5,21,26
TGSC,,17,,,,1,,,,4,,,,,,,,,,22,22
TOXI,1,,,,,,1,,,,,,,,1,,,,3,,3
USAL,79,100,,1,,1,4,8,19,25,,,1,4,1,3,1,1,105,143,248
WFSC,169,123,,1,3,1,10,2,66,30,,2,6,2,8,10,1,2,263,173,436
WISC,6,6,,,,,,,2,1,,,,,,,,,8,7,15
WMHS,2,10,,,,1,,,2,,,,,,2,1,,,6,12,18
Subtotal,"2,701","2,209",13,7,124,89,137,114,712,466,1,5,76,75,217,215,11,12,"3,992","3,192","7,184"
