Demographic Summary by Degree Objective,,,,
Graduate Students (College Station),,,,
Spring 2014,Student Degree Objective,,Grand Total,
,Masters,Doctoral,,
Head Count        Total,"4,897","4,471","9,368",
Gender                 Female,"2,131","1,751","3,882",
Male,"2,766","2,720","5,486",
Ethnicity             White Only,"2,370","1,513","3,883",
American Indian Only,9,8,17,
Asian Only,212,138,350,
Black Only + 2 or more/1 Black,167,190,357,
Hispanic or Latino of any Race,454,384,838,
Native Hawaii Only,2,1,3,
2 or More/Excluding Black,57,43,100,
International,"1,515","2,138","3,653",
Unknown or Not Reported,111,56,167,
TAMU Age          <18,,1,1,
Categories           18-21,7,2,9,
22-25,"2,408",632,"3,040",
26-30,"1,447","1,942","3,389",
31-39,686,"1,400","2,086",
40+,349,494,843,
College                 Agriculture,513,692,"1,205",
Architecture,351,110,461,
Business Admin,755,67,822,
Education,699,624,"1,323",
Engineering,"1,480","1,418","2,898",
G. Bush School of Govt,369,,369,
Geosciences,162,184,346,
Liberal Arts,206,602,808,
Science,201,658,859,
Veterinary Medicine,107,116,223,
Other - Special Populations,54,,54,
Enrollment         1st Time Graduate,500,115,615,
Status                   Readmitted,15,9,24,
Continuing,"4,382","4,347","8,729",
Tuition Status    Resident Tuition,"2,811","1,366","4,177",
Non-Resident Tuition,"1,088",509,"1,597",
Tuition Exemption/Waiver,998,"2,596","3,594",
Residency           Texas Resident,"2,871","1,447","4,318",
"Status                   Non-TX, US Resident",485,856,"1,341",
"Non-TX, Non-US Resident","1,541","2,168","3,709",
SCH Categories  < 6 SCH,828,631,"1,459",
6-8 SCH,802,172,974,
9-11 SCH,"2,322","3,479","5,801",
12-14 SCH,776,161,937,
15-17 SCH,147,28,175,
>17 SCH,22,,22,
Ft/Pt: TAMU     Less Than Half Time,752,548,"1,300",
Status                   Half-Time,895,265,"1,160",
Full-Time,"3,250","3,658","6,908",
"Table 8   Prepared by DARS, 14 Feb 14",,,,
