Demographic Summary for BLINN/TMEN Students,,,,,
(College Station),,,,,
Major TEAM,,,,,
Spring 2014,U1: Freshmen,U2: Sophomore,U3: Junior,Total,
Gender              Total,851,475,31,1357,
Female,437,230,17,684,
Male,414,245,14,673,
Ethnicity          White Only,615,367,24,1006,
American Indian Only,3,1,0,4,
Asian Only,37,13,3,53,
Black Only + 2 or more/1 Black,13,11,1,25,
Hispanic or Latino of any Race,156,69,3,228,
Native Hawaii Only,0,0,0,0,
2 or More/Excluding Black,27,13,0,40,
Unknown or Not Reported,0,1,0,1,
TAMU Age       <18,0,0,0,0,
Categories        18-21,849,474,31,1354,
22-25,2,1,0,3,
26-30,0,0,0,0,
Enrollment      1st Time in College,0,0,0,0,
Status                1st Time Transfer,0,0,0,0,
Readmitted,0,0,0,0,
Continuing,851,475,31,1357,
Tuition Status Resident Tuition,814,456,31,1301,
Non-Resident Tuition,21,10,0,31,
Tuition Exemption/Waiver,16,9,0,25,
Residency         Texas Resident,816,457,31,1304,
"Status                Non-TX, US Resident",34,16,0,50,
"Non-TX, Non-US Resident",1,2,0,3,
Ft/Pt: TAMU  Not Enrolled,0,0,0,0,
Status                Less Than Half Time,725,403,25,1153,
Half-Time,126,72,6,204,
Three-Quarter Time,0,0,0,0,
Full-Time,0,0,0,0,
SCH                   < 6 SCH,725,403,25,1153,
Categories        6-8 SCH,126,72,6,204,
9-11 SCH,0,0,0,0,
12-14 SCH,0,0,0,0,
15-17 SCH,0,0,0,0,
>17 SCH,0,0,0,0,
First                   No,618,364,23,1005,
Generation       Unknown,37,10,0,47,
Yes,196,101,8,305,
