College Architecture,,,,,,,,,,,
Spring 2014,Student Level,,,,,,,,,,
,Undergraduate,,Masters,,Doctoral,,Professional,,Total,,
,#,%,#,%,#,%,#,%,#,%,
Gender                   Total,"1,621",100.0%,351,100.0%,110,100.0%,,,"2,082",100.0%,
Female,557,34.4%,154,43.9%,39,35.5%,,,750,36.0%,
Male,"1,064",65.6%,197,56.1%,71,64.5%,,,"1,332",64.0%,
Ethnicity                White Only,"1,108",68.4%,120,34.2%,19,17.3%,,,"1,247",59.9%,
American Indian Only,2,.1%,,,,,,,2,.1%,
Asian Only,49,3.0%,9,2.6%,3,2.7%,,,61,2.9%,
Black Only + 2 or more/1 Black,31,1.9%,9,2.6%,4,3.6%,,,44,2.1%,
Hispanic or Latino of any Race,394,24.3%,28,8.0%,7,6.4%,,,429,20.6%,
Native Hawaii Only,1,.1%,,,,,,,1,.0%,
2 or More/Excluding Black,26,1.6%,3,.9%,,,,,29,1.4%,
International,9,.6%,177,50.4%,74,67.3%,,,260,12.5%,
Unknown or Not Reported,1,.1%,5,1.4%,3,2.7%,,,9,.4%,
TAMU Age            <18,,,,,,,,,,,
Categories             18-21,880,54.3%,,,,,,,880,42.3%,
22-25,682,42.1%,183,52.1%,,,,,865,41.5%,
26-30,40,2.5%,127,36.2%,28,25.5%,,,195,9.4%,
31-39,16,1.0%,35,10.0%,60,54.5%,,,111,5.3%,
40+,3,.2%,6,1.7%,22,20.0%,,,31,1.5%,
Enrollment           1st Time in College,1,.1%,,,,,,,1,.0%,
Status                     1st Time Transfer,95,5.9%,,,,,,,95,4.6%,
1st Time Graduate,,,3,.9%,1,.9%,,,4,.2%,
Readmitted,11,.7%,,,,,,,11,.5%,
Continuing,"1,514",93.4%,348,99.1%,109,99.1%,,,"1,971",94.7%,
Tuition Status       Resident Tuition,"1,575",97.2%,146,41.6%,26,23.6%,,,"1,747",83.9%,
Non-Resident Tuition,17,1.0%,104,29.6%,20,18.2%,,,141,6.8%,
Tuition Exemption/Waiver,29,1.8%,101,28.8%,64,58.2%,,,194,9.3%,
Residency Status Texas Resident,"1,575",97.2%,148,42.2%,29,26.4%,,,"1,752",84.1%,
"Non-TX, US Resident",37,2.3%,26,7.4%,7,6.4%,,,70,3.4%,
"Non-TX, Non-US Resident",9,.6%,177,50.4%,74,67.3%,,,260,12.5%,
SCH Categories    < 6 SCH,11,.7%,30,8.5%,20,18.2%,,,61,2.9%,
6-8 SCH,171,10.5%,15,4.3%,1,.9%,,,187,9.0%,
9-11 SCH,75,4.6%,152,43.3%,78,70.9%,,,305,14.6%,
12-14 SCH,769,47.4%,102,29.1%,7,6.4%,,,878,42.2%,
15-17 SCH,561,34.6%,38,10.8%,4,3.6%,,,603,29.0%,
>17 SCH,34,2.1%,14,4.0%,,,,,48,2.3%,
Ft/Pt:  TAMU       Less Than Half Time,11,.7%,27,7.7%,20,18.2%,,,58,2.8%,
Status                     Half-Time,247,15.2%,23,6.6%,1,.9%,,,271,13.0%,
Full-Time,"1,363",84.1%,301,85.8%,89,80.9%,,,"1,753",84.2%,
Top 10% Texas     No,957,59.0%,327,93.2%,109,99.1%,,,"1,393",66.9%,
High School          Yes,664,41.0%,24,6.8%,1,.9%,,,689,33.1%,
First Generation  No,"1,048",64.7%,122,34.8%,53,48.2%,,,"1,223",58.7%,
Unknown,62,3.8%,185,52.7%,38,34.5%,,,285,13.7%,
Yes,511,31.5%,44,12.5%,19,17.3%,,,574,27.6%,
"Table 8     Prepared by DARS, 2/14/2014",,,,,,,,,,,
