Demographic Summary by College by Ethnicity/Gender,,,,,,,,,,,,,,,,,,,,,,,,,
First-Time Undergraduate Transfer Students  (College Station),,,,,,,,,,,,,,,,,,,,,,,,,
College Liberal Arts,,,,,,,,,,,,,,,,,,,,,,,,,
Spring 2014,White Only,,,American Indian Only,,,Asian Only,,,Black Only + 2 or more/1 Black,,,Hispanic or Latino of any Race,,,2 or More/Excluding Black,,,International,,,Grand Total,,,
,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,
Headcount Total,94,69,163,1,1,2,1,,1,4,2,6,24,23,47,1,1,2,3,1,4,128,97,225,
"TAMU Age                     18-21
Categories",79,43,122,1,1,2,,,,3,1,4,20,13,33,1,,1,,,,104,58,162,
22-25,12,17,29,,,,1,,1,1,1,2,3,7,10,,1,1,3,1,4,20,27,47,
26-30,1,5,6,,,,,,,,,,,1,1,,,,,,,1,6,7,
31-39,1,3,4,,,,,,,,,,1,1,2,,,,,,,2,4,6,
40+,1,1,2,,,,,,,,,,,1,1,,,,,,,1,2,3,
"Classification/Degre    Freshman
e Objective",4,3,7,,,,,,,,1,1,,1,1,,,,,,,4,5,9,
Sophomore,64,46,110,,1,1,,,,1,,1,16,15,31,,,,2,,2,83,62,145,
Junior,25,19,44,1,,1,1,,1,3,,3,8,7,15,1,1,2,1,,1,40,27,67,
Senior,1,1,2,,,,,,,,1,1,,,,,,,,1,1,1,3,4,
Tuition Status               Resident Tuition,91,65,156,1,1,2,,,,4,2,6,23,22,45,1,1,2,,,,120,91,211,
Non-Resident Tuition,3,3,6,,,,1,,1,,,,1,1,2,,,,3,1,4,8,5,13,
Tuition Exemption/Waiver,,1,1,,,,,,,,,,,,,,,,,,,,1,1,
Residency Status          Texas Resident,93,66,159,1,1,2,,,,4,2,6,23,22,45,1,1,2,,,,122,92,214,
"Non-TX, US Resident",1,3,4,,,,,,,,,,1,1,2,,,,,,,2,4,6,
"Non-TX, Non-US Resident",,,,,,,1,,1,,,,,,,,,,3,1,4,4,1,5,
SCH Categories            < 6 SCH,1,,1,,,,,,,,,,1,,1,,,,,,,2,,2,
6-8 SCH,1,2,3,,,,,,,,,,2,,2,,,,,,,3,2,5,
9-11 SCH,4,2,6,,,,,,,,,,1,,1,,,,,,,5,2,7,
12-14 SCH,56,31,87,,,,,,,2,1,3,12,11,23,1,,1,,,,71,43,114,
15-17 SCH,32,32,64,1,1,2,1,,1,2,1,3,8,11,19,,1,1,3,1,4,47,47,94,
>17 SCH,,2,2,,,,,,,,,,,1,1,,,,,,,,3,3,
Ft/Pt:  TAMU Status   Less Than Half Time,1,,1,,,,,,,,,,1,,1,,,,,,,2,,2,
Half-Time,5,4,9,,,,,,,,,,3,,3,,,,,,,8,4,12,
Full-Time,88,65,153,1,1,2,1,,1,4,2,6,20,23,43,1,1,2,3,1,4,118,93,211,
"Top 10% Texas High   No
School",83,63,146,1,1,2,1,,1,4,2,6,20,23,43,1,1,2,3,1,4,113,91,204,
Yes,11,6,17,,,,,,,,,,4,,4,,,,,,,15,6,21,
First Generation           No,61,49,110,,1,1,1,,1,3,1,4,10,13,23,1,,1,,,,76,64,140,
Unknown,3,5,8,1,,1,,,,,,,2,,2,,,,3,1,4,9,6,15,
Yes,30,15,45,,,,,,,1,1,2,12,10,22,,1,1,,,,43,27,70,
"Dorm / Off-campus     Off-campus
students",88,62,150,,,,1,,1,3,1,4,19,20,39,,1,1,3,1,4,114,85,199,
Dorm (On-campus),6,7,13,1,1,2,,,,1,1,2,5,3,8,1,,1,,,,14,12,26,
"Prepared by DARS, 18 Feb 14",,,,,,,,,,,,,,,,,,,,,,,,,
