First-Time Undergraduate Transfer Students  (College Station),,,,,,,,,,,,,,,,,,,,,,,,,
College Agriculture,,,,,,,,,,,,,,,,,,,,,,,,,
Spring 2014,White Only,,,American Indian Only,,,Asian Only,,,Black Only + 2 or more/1 Black,,,Hispanic or Latino of any Race,,,2 or More/Excluding Black,,,International,,,Grand Total,,,
,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,
Headcount Total,114,132,246,,,,2,3,5,3,1,4,29,17,46,4,3,7,2,5,7,154,161,315,
"TAMU Age                     18-21
Categories",73,70,143,,,,2,1,3,3,1,4,22,9,31,2,2,4,,2,2,102,85,187,
22-25,32,52,84,,,,,2,2,,,,7,7,14,1,1,2,2,2,4,42,64,106,
26-30,9,5,14,,,,,,,,,,,,,,,,,1,1,9,6,15,
31-39,,4,4,,,,,,,,,,,1,1,1,,1,,,,1,5,6,
40+,,1,1,,,,,,,,,,,,,,,,,,,,1,1,
"Classification/Degre    Freshman
e Objective",4,1,5,,,,,,,,,,1,1,2,,,,,,,5,2,7,
Sophomore,53,69,122,,,,1,,1,2,,2,19,6,25,2,2,4,1,3,4,78,80,158,
Junior,50,54,104,,,,,3,3,1,1,2,8,8,16,1,1,2,1,2,3,61,69,130,
Senior,7,8,15,,,,1,,1,,,,1,2,3,1,,1,,,,10,10,20,
Tuition Status               Resident Tuition,110,128,238,,,,2,3,5,2,1,3,29,17,46,4,3,7,,,,147,152,299,
Non-Resident Tuition,3,2,5,,,,,,,1,,1,,,,,,,2,5,7,6,7,13,
Tuition Exemption/Waiver,1,2,3,,,,,,,,,,,,,,,,,,,1,2,3,
Residency Status          Texas Resident,111,129,240,,,,2,3,5,2,1,3,29,17,46,4,3,7,,,,148,153,301,
"Non-TX, US Resident",3,3,6,,,,,,,1,,1,,,,,,,,,,4,3,7,
"Non-TX, Non-US Resident",,,,,,,,,,,,,,,,,,,2,5,7,2,5,7,
SCH Categories            < 6 SCH,,1,1,,,,1,,1,,,,,,,,,,,,,1,1,2,
6-8 SCH,3,3,6,,,,,,,,,,2,1,3,,,,,,,5,4,9,
9-11 SCH,4,4,8,,,,,,,,,,,,,,,,,,,4,4,8,
12-14 SCH,66,85,151,,,,1,2,3,3,,3,22,14,36,3,3,6,1,4,5,96,108,204,
15-17 SCH,40,39,79,,,,,1,1,,1,1,5,2,7,1,,1,,1,1,46,44,90,
>17 SCH,1,,1,,,,,,,,,,,,,,,,1,,1,2,,2,
Ft/Pt:  TAMU Status   Less Than Half Time,,1,1,,,,1,,1,,,,,,,,,,,,,1,1,2,
Half-Time,7,7,14,,,,,,,,,,2,1,3,,,,,,,9,8,17,
Full-Time,107,124,231,,,,1,3,4,3,1,4,27,16,43,4,3,7,2,5,7,144,152,296,
"Top 10% Texas High   No
School",107,128,235,,,,1,3,4,2,1,3,26,17,43,3,3,6,2,5,7,141,157,298,
Yes,7,4,11,,,,1,,1,1,,1,3,,3,1,,1,,,,13,4,17,
First Generation           No,66,80,146,,,,1,2,3,1,,1,15,8,23,2,2,4,,,,85,92,177,
Unknown,1,8,9,,,,,,,1,1,2,1,,1,,,,2,5,7,5,14,19,
Yes,47,44,91,,,,1,1,2,1,,1,13,9,22,2,1,3,,,,64,55,119,
"Dorm / Off-campus     Off-campus
students",106,120,226,,,,1,2,3,2,1,3,24,14,38,4,3,7,1,5,6,138,145,283,
Dorm (On-campus),8,12,20,,,,1,1,2,1,,1,5,3,8,,,,1,,1,16,16,32,
"Prepared by DARS, 18 Feb 14",,,,,,,,,,,,,,,,,,,,,,,,,
