College Business Admin,,,,,,,,,,,,,,,,,,,,,,,
Spring 2014,White Only,,,American Indian Only,,Asian Only,,,Black Only + 2 or more/1 Black,,,Hispanic or Latino of any Race,,,2 or More/Excluding Black,,International,,,Grand Total,,,
,F,M,Tot,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,M,Tot,F,M,Tot,F,M,Tot,
Headcount Total,3,2,5,,,,1,1,1,,1,1,3,4,,,1,2,3,6,8,14,
"TAMU Age                     <18
Categories",,,,,,,,,,,,,,,,,,,,,,,
18-21,3,2,5,,,,1,1,1,,1,1,2,3,,,1,2,3,6,7,13,
22-25,,,,,,,,,,,,,1,1,,,,,,,1,1,
26-30,,,,,,,,,,,,,,,,,,,,,,,
31-39,,,,,,,,,,,,,,,,,,,,,,,
"Classification/Degre    Freshman
e Objective",3,2,5,,,,1,1,1,,1,1,3,4,,,1,2,3,6,8,14,
Sophomore,,,,,,,,,,,,,,,,,,,,,,,
Junior,,,,,,,,,,,,,,,,,,,,,,,
Tuition Status               Resident Tuition,2,2,4,,,,1,1,1,,1,,3,3,,,,,,3,6,9,
Non-Resident Tuition,1,,1,,,,,,,,,1,,1,,,1,2,3,3,2,5,
Tuition Exemption/Waiver,,,,,,,,,,,,,,,,,,,,,,,
Residency Status          Texas Resident,2,2,4,,,,1,1,1,,1,,3,3,,,,,,3,6,9,
"Non-TX, US Resident",1,,1,,,,,,,,,,,,,,,,,1,,1,
"Non-TX, Non-US Resident",,,,,,,,,,,,1,,1,,,1,2,3,2,2,4,
SCH Categories            < 6 SCH,,,,,,,,,,,,,,,,,,,,,,,
6-8 SCH,,,,,,,,,,,,,,,,,,,,,,,
9-11 SCH,,,,,,,,,,,,,,,,,,,,,,,
12-14 SCH,3,2,5,,,,1,1,,,,1,3,4,,,,1,1,4,7,11,
15-17 SCH,,,,,,,,,1,,1,,,,,,1,1,2,2,1,3,
>17 SCH,,,,,,,,,,,,,,,,,,,,,,,
Ft/Pt:  TAMU Status   Less Than Half Time,,,,,,,,,,,,,,,,,,,,,,,
Half-Time,,,,,,,,,,,,,,,,,,1,1,,1,1,
Full-Time,3,2,5,,,,1,1,1,,1,1,3,4,,,1,1,2,6,7,13,
"Top 10% Texas High   No
School",1,2,3,,,,1,1,1,,1,1,3,4,,,,2,2,3,8,11,
Yes,2,,2,,,,,,,,,,,,,,1,,1,3,,3,
First Generation           No,3,2,5,,,,1,1,,,,1,2,3,,,,,,4,5,9,
Unknown,,,,,,,,,,,,,,,,,1,2,3,1,2,3,
Yes,,,,,,,,,1,,1,,1,1,,,,,,1,1,2,
"Dorm / Off-campus     Off-campus
students",3,1,4,,,,,,,,,1,2,3,,,1,2,3,5,5,10,
Dorm (On-campus),,1,1,,,,1,1,1,,1,,1,1,,,,,,1,3,4,
"Prepared by DARS, 18 Feb 14",,,,,,,,,,,,,,,,,,,,,,,
