Spring 2014,,Undergraduate,,,,,Masters,,Doctoral,,Professional,,Grand Total,
,,Freshman,Sophomore,Junior,Senior,Total,Masters,Total,Doctoral,Total,Professional,Total,,
Veterinary,BIMS,43,40,27,61,171,9,9,1,1,,,181,
Medicine,BIOT,,,,,,,,,,,,,
GENE,,,,,,,,,,,,,,
LAMD,,,,,,,,,,,,,,
STJR,,,,,,,,,,,,,,
TOXI,,,,,,,,,1,1,,,1,
USVM,,,,,,,,,,,,,,
VHPE,,,,,,,1,1,,,,,1,
VPAT,,,,,,,,,1,1,,,1,
VTMD,,,,,,,,,,,18,18,18,
VTMI,,,,,,,,,,,,,,
VTPB,,,,,,,,,1,1,,,1,
Subtotal,,43,40,27,61,171,10,10,4,4,18,18,203,
General Studies,GEST,24,25,8,,57,,,,,,,57,
TEAM,,37,13,3,,53,,,,,,,53,
TMEN,,,,,,,,,,,,,,
Subtotal,,61,38,11,,110,,,,,,,110,
Other - Special,MARB,,,,,,,,,,,,,
Populations,MARM,,,,,,,,,,,,,
MARS,,,,,,,,,,,,,,
MDSC,,,,,,,1,1,,,,,1,
PHLT,,,,,,,2,2,,,,,2,
REEP,,,,,,,,,,,,,,
USGA,,,,,,,,,,,,,,
Subtotal,,,,,,,3,3,,,,,3,
University,Total,368,430,470,750,"2,018",212,212,138,138,18,18,"2,386",
"Prepared by DARS, 17 Feb 14",,,,,,,,,,,,,,
