Spring 2014,,Undergraduate,,,,,Masters,,Doctoral,,Professional,,Grand Total,
,,Freshman,Sophomore,Junior,Senior,Total,Masters,Total,Doctoral,Total,Professional,Total,,
Veterinary,BIMS,,1,,2,3,1,1,29,29,,,33,
Medicine,BIOT,,,,,,2,2,,,,,2,
GENE,,,,,,,,,1,1,,,1,
LAMD,,,,,,,,,,,,,,
STJR,,,,,,,,,,,,,,
TOXI,,,,,,,,,3,3,,,3,
USVM,,,,,,,,,,,,,,
VHPE,,,,,,,,,,,,,,
VPAT,,,,,,,,,2,2,,,2,
VTMD,,,,,,,,,,,,,,
VTMI,,,,,,,,,5,5,,,5,
VTPB,,,,,,,,,3,3,,,3,
Subtotal,,,1,,2,3,3,3,43,43,,,49,
General Studies,GEST,4,2,,,6,,,,,,,6,
TEAM,,,,,,,,,,,,,,
TMEN,,,,,,,,,,,,,,
Subtotal,,4,2,,,6,,,,,,,6,
Other - Special,MARB,,,,,,,,,,,,,
Populations,MARM,,,,,,,,,,,,,
MARS,,,,,,,,,,,,,,
MDSC,,,,,,,5,5,,,,,5,
PHLT,,,,,,,7,7,,,,,7,
REEP,,1,16,33,14,64,9,9,,,,,73,
USGA,,,,,,,,,,,,,,
Subtotal,,1,16,33,14,64,21,21,,,,,85,
University,Total,96,91,161,292,640,"1,515","1,515","2,138","2,138",,,"4,293",
"Prepared by DARS, 17 Feb 14",,,,,,,,,,,,,,
"Prepared by DARS, 17 Feb 14",,,,,,,,,,,,,,
