Spring 2014,Undergraduate,,,,,Masters,,Doctoral,,Professional,,Grand Total,
,Freshman,Sophomore,Junior,Senior,Total,Masters,Total,Doctoral,Total,Professional,Total,,
Science                BIOL,27,9,7,20,63,,,1,1,,,64,
CHEM,4,3,1,4,12,,,3,3,,,15,
CLSC,,,1,,1,,,,,,,1,
MATH,9,4,,2,15,1,1,1,1,,,17,
PHYS,1,1,,,2,,,2,2,,,4,
STAT,,,,,,5,5,,,,,5,
Subtotal,41,17,9,26,93,6,6,7,7,,,106,
Veterinary          CLVM,24,20,6,21,71,,,,,4,4,75,
Medicine            VIBS,,,,,,1,1,,,,,1,
VTPB,,,,,,1,1,1,1,,,2,
VTPP,,,,,,,,1,1,,,1,
Subtotal,24,20,6,21,71,2,2,2,2,4,4,79,
General               GEST,48,23,5,,76,,,,,,,76,
Studies                Subtotal,48,23,5,,76,,,,,,,76,
Other - Special  CLMD,,,,,,,,,,,,,
Populations       GACD,,,,,,,,,,,,,
MARB,,,,,,,,,,,,,
MARS,,,,,,,,,,,,,
SABX,,,,,,,,,,,,,
SRPH,,,,,,5,5,,,,,5,
Subtotal,,,,,,5,5,,,,,5,
University          Total,329,255,259,403,"1,246",167,167,190,190,4,4,"1,607",
"Prepared by DARS, 14 Feb 14",,,,,,,,,,,,,
