College General Studies,,,,,,,,,,,
Spring 2014,Student Level,,,,,,,,,,
,Undergraduate,,Masters,,Doctoral,,Professional,,Total,,
,#,%,#,%,#,%,#,%,#,%,
Gender                   Total,"2,492",100.0%,,,,,,,"2,492",100.0%,
Female,"1,249",50.1%,,,,,,,"1,249",50.1%,
Male,"1,243",49.9%,,,,,,,"1,243",49.9%,
Ethnicity                White Only,"1,656",66.5%,,,,,,,"1,656",66.5%,
American Indian Only,6,.2%,,,,,,,6,.2%,
Asian Only,110,4.4%,,,,,,,110,4.4%,
Black Only + 2 or more/1 Black,76,3.0%,,,,,,,76,3.0%,
Hispanic or Latino of any Race,566,22.7%,,,,,,,566,22.7%,
Native Hawaii Only,,,,,,,,,,,
2 or More/Excluding Black,69,2.8%,,,,,,,69,2.8%,
International,6,.2%,,,,,,,6,.2%,
Unknown or Not Reported,3,.1%,,,,,,,3,.1%,
TAMU Age            <18,,,,,,,,,,,
Categories             18-21,"2,470",99.1%,,,,,,,"2,470",99.1%,
22-25,21,.8%,,,,,,,21,.8%,
26-30,,,,,,,,,,,
31-39,1,.0%,,,,,,,1,.0%,
40+,,,,,,,,,,,
Enrollment           1st Time in College,,,,,,,,,,,
Status                     1st Time Transfer,,,,,,,,,,,
1st Time Graduate,,,,,,,,,,,
Readmitted,,,,,,,,,,,
Continuing,"2,492",100.0%,,,,,,,"2,492",100.0%,
Tuition Status       Resident Tuition,"2,390",95.9%,,,,,,,"2,390",95.9%,
Non-Resident Tuition,58,2.3%,,,,,,,58,2.3%,
Tuition Exemption/Waiver,44,1.8%,,,,,,,44,1.8%,
Residency Status Texas Resident,"2,395",96.1%,,,,,,,"2,395",96.1%,
"Non-TX, US Resident",87,3.5%,,,,,,,87,3.5%,
"Non-TX, Non-US Resident",10,.4%,,,,,,,10,.4%,
SCH Categories    < 6 SCH,"1,227",49.2%,,,,,,,"1,227",49.2%,
6-8 SCH,224,9.0%,,,,,,,224,9.0%,
9-11 SCH,18,.7%,,,,,,,18,.7%,
12-14 SCH,579,23.2%,,,,,,,579,23.2%,
15-17 SCH,424,17.0%,,,,,,,424,17.0%,
>17 SCH,20,.8%,,,,,,,20,.8%,
Ft/Pt:  TAMU       Less Than Half Time,"1,227",49.2%,,,,,,,"1,227",49.2%,
Status                     Half-Time,243,9.8%,,,,,,,243,9.8%,
Full-Time,"1,022",41.0%,,,,,,,"1,022",41.0%,
Top 10% Texas     No,"1,929",77.4%,,,,,,,"1,929",77.4%,
High School          Yes,563,22.6%,,,,,,,563,22.6%,
First Generation  No,"1,725",69.2%,,,,,,,"1,725",69.2%,
Unknown,104,4.2%,,,,,,,104,4.2%,
Yes,663,26.6%,,,,,,,663,26.6%,
"Table 8     Prepared by DARS, 2/14/2014",,,,,,,,,,,
