Texas A&M University Student Enrollment Summary,,,,,,,
Student Head Count by Level (Qatar) Not Reported to THECB,,,,,,,
"Qatar, Spring 2014",Undergraduate,,Masters,,Total,,
,#,%,#,%,#,%,
Gender                  Total,504,100.0%,49,100.0%,553,100.0%,
Female,198,39.3%,24,49.0%,222,40.1%,
Male,306,60.7%,25,51.0%,331,59.9%,
TAMU Age           18-21,317,62.9%,,,317,57.3%,
Categories            22-25,177,35.1%,26,53.1%,203,36.7%,
26-30,6,1.2%,17,34.7%,23,4.2%,
31-39,4,.8%,5,10.2%,9,1.6%,
40+,,,1,2.0%,1,.2%,
Enrollment          1st Time in College,3,.6%,,,3,.5%,
Status                    1st Time Transfer,5,1.0%,,,5,.9%,
1st Time Graduate,,,9,18.4%,9,1.6%,
Readmitted,5,1.0%,,,5,.9%,
Continuing,491,97.4%,40,81.6%,531,96.0%,
SCH Categories   < 6 SCH,21,4.2%,12,24.5%,33,6.0%,
6-8 SCH,11,2.2%,11,22.4%,22,4.0%,
9-11 SCH,32,6.3%,24,49.0%,56,10.1%,
12-14 SCH,212,42.1%,2,4.1%,214,38.7%,
15-17 SCH,209,41.5%,,,209,37.8%,
>17 SCH,19,3.8%,,,19,3.4%,
Ft/Pt: TAMU      Less Than Half Time,21,4.2%,9,18.4%,30,5.4%,
Status                    Half-Time,43,8.5%,14,28.6%,57,10.3%,
Full-Time,440,87.3%,26,53.1%,466,84.3%,
First Generation No,18,3.6%,2,4.1%,20,3.6%,
Unknown,484,96.0%,47,95.9%,531,96.0%,
Yes,2,.4%,,,2,.4%,
"Table 7   Prepared by DARS, 2/14/2014",,,,,,,
