Texas A&M University Student Enrollment Summary,,,,,,,,,,,
Student Head Count by Level by College (College Station),,,,,,,,,,,
College Agriculture,,,,,,,,,,,
Spring 2014,Student Level,,,,,,,,,,
,Undergraduate,,Masters,,Doctoral,,Professional,,Total,,
,#,%,#,%,#,%,#,%,#,%,
Gender                   Total,"5,979",100.0%,513,100.0%,692,100.0%,,,"7,184",100.0%,
Female,"3,364",56.3%,289,56.3%,339,49.0%,,,"3,992",55.6%,
Male,"2,615",43.7%,224,43.7%,353,51.0%,,,"3,192",44.4%,
Ethnicity                White Only,"4,293",71.8%,340,66.3%,277,40.0%,,,"4,910",68.3%,
American Indian Only,18,.3%,1,.2%,1,.1%,,,20,.3%,
Asian Only,181,3.0%,11,2.1%,21,3.0%,,,213,3.0%,
Black Only + 2 or more/1 Black,209,3.5%,13,2.5%,29,4.2%,,,251,3.5%,
Hispanic or Latino of any Race,"1,052",17.6%,62,12.1%,64,9.2%,,,"1,178",16.4%,
Native Hawaii Only,6,.1%,,,,,,,6,.1%,
2 or More/Excluding Black,139,2.3%,7,1.4%,5,.7%,,,151,2.1%,
International,69,1.2%,74,14.4%,289,41.8%,,,432,6.0%,
Unknown or Not Reported,12,.2%,5,1.0%,6,.9%,,,23,.3%,
TAMU Age            <18,,,,,,,,,,,
Categories             18-21,"2,957",49.5%,,,,,,,"2,957",41.2%,
22-25,"2,795",46.7%,266,51.9%,83,12.0%,,,"3,144",43.8%,
26-30,155,2.6%,156,30.4%,287,41.5%,,,598,8.3%,
31-39,51,.9%,60,11.7%,236,34.1%,,,347,4.8%,
40+,21,.4%,31,6.0%,86,12.4%,,,138,1.9%,
Enrollment           1st Time in College,21,.4%,,,,,,,21,.3%,
Status                     1st Time Transfer,315,5.3%,,,,,,,315,4.4%,
1st Time Graduate,,,72,14.0%,23,3.3%,,,95,1.3%,
Readmitted,62,1.0%,3,.6%,3,.4%,,,68,.9%,
Continuing,"5,581",93.3%,438,85.4%,666,96.2%,,,"6,685",93.1%,
Tuition Status       Resident Tuition,"5,671",94.8%,350,68.2%,260,37.6%,,,"6,281",87.4%,
Non-Resident Tuition,142,2.4%,56,10.9%,66,9.5%,,,264,3.7%,
Tuition Exemption/Waiver,166,2.8%,107,20.9%,366,52.9%,,,639,8.9%,
Residency Status Texas Resident,"5,684",95.1%,354,69.0%,277,40.0%,,,"6,315",87.9%,
"Non-TX, US Resident",225,3.8%,82,16.0%,122,17.6%,,,429,6.0%,
"Non-TX, Non-US Resident",70,1.2%,77,15.0%,293,42.3%,,,440,6.1%,
SCH Categories    < 6 SCH,110,1.8%,108,21.1%,107,15.5%,,,325,4.5%,
6-8 SCH,187,3.1%,44,8.6%,30,4.3%,,,261,3.6%,
9-11 SCH,320,5.4%,330,64.3%,527,76.2%,,,"1,177",16.4%,
12-14 SCH,"3,044",50.9%,28,5.5%,26,3.8%,,,"3,098",43.1%,
15-17 SCH,"2,078",34.8%,3,.6%,2,.3%,,,"2,083",29.0%,
>17 SCH,240,4.0%,,,,,,,240,3.3%,
Ft/Pt:  TAMU       Less Than Half Time,110,1.8%,97,18.9%,89,12.9%,,,296,4.1%,
Status                     Half-Time,509,8.5%,57,11.1%,53,7.7%,,,619,8.6%,
Full-Time,"5,360",89.6%,359,70.0%,550,79.5%,,,"6,269",87.3%,
Top 10% Texas     No,"3,786",63.3%,455,88.7%,671,97.0%,,,"4,912",68.4%,
High School          Yes,"2,193",36.7%,58,11.3%,21,3.0%,,,"2,272",31.6%,
First Generation  No,"3,902",65.3%,285,55.6%,307,44.4%,,,"4,494",62.6%,
Unknown,225,3.8%,93,18.1%,183,26.4%,,,501,7.0%,
Yes,"1,852",31.0%,135,26.3%,202,29.2%,,,"2,189",30.5%,
"Table 8     Prepared by DARS, 2/14/2014",,,,,,,,,,,
