Spring 2014,,Undergraduate,,,,,Masters,,Doctoral,,Professional,,Grand Total,
,,Freshman,Sophomore,Junior,Senior,Total,Masters,Total,Doctoral,Total,Professional,Total,,
Veterinary,BIMS,118,96,65,105,384,18,18,3,3,,,405,
Medicine,BIOT,,,,,,,,,,,,,
GENE,,,,,,,,,1,1,,,1,
LAMD,,,,,,,,,,,,,,
STJR,,,,,,,1,1,,,,,1,
TOXI,,,,,,,,,1,1,,,1,
USVM,,,3,4,4,11,,,,,,,11,
VHPE,,,,,,,1,1,,,,,1,
VPAT,,,,,,,,,1,1,,,1,
VTMD,,,,,,,,,,,37,37,37,
VTMI,,,,,,,,,1,1,,,1,
VTPB,,,,,,,,,,,,,,
Subtotal,,118,99,69,109,395,20,20,7,7,37,37,459,
General Studies,GEST,176,118,26,2,322,,,,,,,322,
TEAM,,156,69,3,,228,,,,,,,228,
TMEN,,12,4,,,16,,,,,,,16,
Subtotal,,344,191,29,2,566,,,,,,,566,
Other - Special,MARB,,1,,,1,,,,,,,1,
Populations,MARM,,,,,,,,,,,,,
MARS,,,,,,,,,,,,,,
MDSC,,,,,,,,,,,,,,
PHLT,,,,,,,5,5,,,,,5,
REEP,,,,1,,1,,,,,,,1,
USGA,,,,,,,,,,,,,,
Subtotal,,,1,1,,2,5,5,,,,,7,
University,Total,"1,580","1,764","1,819","2,612","7,775",454,454,384,384,37,37,"8,650",
"Prepared by DARS, 17 Feb 14",,,,,,,,,,,,,,
