Spring 2014,White Only,,,American Indian Only,,,Asian Only,,,Black Only + 2 or more/1 Black,,,Hispanic or Latino of any Race,,,2 or More/Excluding Black,,,International,,,Grand Total,,,
,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,
Headcount Total,6,62,68,,,,2,7,9,2,2,4,5,26,31,,3,3,3,11,14,18,111,129,
"TAMU Age                     18-21
Categories",3,40,43,,,,1,3,4,,,,3,18,21,,2,2,2,5,7,9,68,77,
22-25,3,17,20,,,,,4,4,2,1,3,2,7,9,,,,1,3,4,8,32,40,
26-30,,4,4,,,,,,,,,,,1,1,,1,1,,3,3,,9,9,
31-39,,1,1,,,,1,,1,,1,1,,,,,,,,,,1,2,3,
40+,,,,,,,,,,,,,,,,,,,,,,,,,
"Classification/Degre    Freshman
e Objective",,1,1,,,,,,,,,,,1,1,,,,,,,,2,2,
Sophomore,,27,27,,,,2,3,5,,,,1,10,11,,2,2,2,5,7,5,47,52,
Junior,5,30,35,,,,,3,3,2,1,3,4,15,19,,1,1,1,4,5,12,54,66,
Senior,1,4,5,,,,,1,1,,1,1,,,,,,,,2,2,1,8,9,
Tuition Status               Resident Tuition,5,60,65,,,,2,7,9,1,2,3,5,25,30,,3,3,,,,13,97,110,
Non-Resident Tuition,1,1,2,,,,,,,1,,1,,1,1,,,,3,10,13,5,12,17,
Tuition Exemption/Waiver,,1,1,,,,,,,,,,,,,,,,,1,1,,2,2,
Residency Status          Texas Resident,5,60,65,,,,2,7,9,1,2,3,5,26,31,,3,3,,,,13,98,111,
"Non-TX, US Resident",1,2,3,,,,,,,1,,1,,,,,,,,,,2,2,4,
"Non-TX, Non-US Resident",,,,,,,,,,,,,,,,,,,3,11,14,3,11,14,
SCH Categories            < 6 SCH,,,,,,,,,,,,,,,,,,,,,,,,,
6-8 SCH,1,2,3,,,,1,1,2,,,,,,,,,,,,,2,3,5,
9-11 SCH,1,4,5,,,,,,,,,,,1,1,,,,,,,1,5,6,
12-14 SCH,3,45,48,,,,,5,5,2,2,4,5,21,26,,3,3,1,7,8,11,83,94,
15-17 SCH,1,11,12,,,,1,1,2,,,,,3,3,,,,2,3,5,4,18,22,
>17 SCH,,,,,,,,,,,,,,1,1,,,,,1,1,,2,2,
Ft/Pt:  TAMU Status   Less Than Half Time,,,,,,,,,,,,,,,,,,,,,,,,,
Half-Time,2,6,8,,,,1,1,2,,,,,1,1,,,,,,,3,8,11,
Full-Time,4,56,60,,,,1,6,7,2,2,4,5,25,30,,3,3,3,11,14,15,103,118,
"Top 10% Texas High   No
School",4,54,58,,,,2,7,9,2,2,4,5,23,28,,3,3,3,11,14,16,100,116,
Yes,2,8,10,,,,,,,,,,,3,3,,,,,,,2,11,13,
First Generation           No,4,45,49,,,,2,3,5,1,1,2,5,12,17,,2,2,,,,12,63,75,
Unknown,1,5,6,,,,,,,,1,1,,2,2,,1,1,3,10,13,4,19,23,
Yes,1,12,13,,,,,4,4,1,,1,,12,12,,,,,1,1,2,29,31,
"Dorm / Off-campus     Off-campus
students",5,47,52,,,,1,6,7,2,1,3,3,20,23,,3,3,3,9,12,14,86,100,
Dorm (On-campus),1,15,16,,,,1,1,2,,1,1,2,6,8,,,,,2,2,4,25,29,
"Prepared by DARS, 18 Feb 14",,,,,,,,,,,,,,,,,,,,,,,,,
