Texas A&M University Student Enrollment Summary,,,,,,,,,,,
Student Head Count by Level by College (College Station),,,,,,,,,,,
College Geosciences,,,,,,,,,,,
Spring 2014,Student Level,,,,,,,,,,
,Undergraduate,,Masters,,Doctoral,,Professional,,Total,,
,#,%,#,%,#,%,#,%,#,%,
Gender                   Total,847,100.0%,162,100.0%,184,100.0%,,,"1,193",100.0%,
Female,326,38.5%,64,39.5%,75,40.8%,,,465,39.0%,
Male,521,61.5%,98,60.5%,109,59.2%,,,728,61.0%,
Ethnicity                White Only,587,69.3%,101,62.3%,74,40.2%,,,762,63.9%,
American Indian Only,2,.2%,,,1,.5%,,,3,.3%,
Asian Only,32,3.8%,5,3.1%,2,1.1%,,,39,3.3%,
Black Only + 2 or more/1 Black,24,2.8%,6,3.7%,1,.5%,,,31,2.6%,
Hispanic or Latino of any Race,156,18.4%,21,13.0%,8,4.3%,,,185,15.5%,
Native Hawaii Only,,,,,,,,,,,
2 or More/Excluding Black,19,2.2%,,,3,1.6%,,,22,1.8%,
International,27,3.2%,29,17.9%,91,49.5%,,,147,12.3%,
Unknown or Not Reported,,,,,4,2.2%,,,4,.3%,
TAMU Age            <18,,,,,,,,,,,
Categories             18-21,493,58.2%,,,,,,,493,41.3%,
22-25,325,38.4%,85,52.5%,28,15.2%,,,438,36.7%,
26-30,20,2.4%,55,34.0%,87,47.3%,,,162,13.6%,
31-39,8,.9%,19,11.7%,49,26.6%,,,76,6.4%,
40+,1,.1%,3,1.9%,20,10.9%,,,24,2.0%,
Enrollment           1st Time in College,2,.2%,,,,,,,2,.2%,
Status                     1st Time Transfer,25,3.0%,,,,,,,25,2.1%,
1st Time Graduate,,,15,9.3%,5,2.7%,,,20,1.7%,
Readmitted,6,.7%,,,,,,,6,.5%,
Continuing,814,96.1%,147,90.7%,179,97.3%,,,"1,140",95.6%,
Tuition Status       Resident Tuition,789,93.2%,90,55.6%,34,18.5%,,,913,76.5%,
Non-Resident Tuition,27,3.2%,21,13.0%,30,16.3%,,,78,6.5%,
Tuition Exemption/Waiver,31,3.7%,51,31.5%,120,65.2%,,,202,16.9%,
Residency Status Texas Resident,791,93.4%,96,59.3%,37,20.1%,,,924,77.5%,
"Non-TX, US Resident",32,3.8%,36,22.2%,53,28.8%,,,121,10.1%,
"Non-TX, Non-US Resident",24,2.8%,30,18.5%,94,51.1%,,,148,12.4%,
SCH Categories    < 6 SCH,7,.8%,38,23.5%,21,11.4%,,,66,5.5%,
6-8 SCH,22,2.6%,5,3.1%,4,2.2%,,,31,2.6%,
9-11 SCH,34,4.0%,105,64.8%,153,83.2%,,,292,24.5%,
12-14 SCH,419,49.5%,13,8.0%,6,3.3%,,,438,36.7%,
15-17 SCH,344,40.6%,1,.6%,,,,,345,28.9%,
>17 SCH,21,2.5%,,,,,,,21,1.8%,
Ft/Pt:  TAMU       Less Than Half Time,7,.8%,35,21.6%,18,9.8%,,,60,5.0%,
Status                     Half-Time,56,6.6%,9,5.6%,7,3.8%,,,72,6.0%,
Full-Time,784,92.6%,118,72.8%,159,86.4%,,,"1,061",88.9%,
Top 10% Texas     No,497,58.7%,147,90.7%,179,97.3%,,,823,69.0%,
High School          Yes,350,41.3%,15,9.3%,5,2.7%,,,370,31.0%,
First Generation  No,580,68.5%,94,58.0%,76,41.3%,,,750,62.9%,
Unknown,50,5.9%,33,20.4%,59,32.1%,,,142,11.9%,
Yes,217,25.6%,35,21.6%,49,26.6%,,,301,25.2%,
"Table 8     Prepared by DARS, 2/14/2014",,,,,,,,,,,
