Spring 2014,,Undergraduate,,,,,Masters,,Doctoral,,Professional,,Grand Total,
,,Freshman,Sophomore,Junior,Senior,Total,Masters,Total,Doctoral,Total,Professional,Total,,
Veterinary,BIMS,10,9,13,16,48,3,3,,,,,51,
Medicine,BIOT,,,,,,,,,,,,,
GENE,,,,,,,,,,,,,,
LAMD,,,,,,,,,,,,,,
STJR,,,,,,,,,,,,,,
TOXI,,,,,,,,,,,,,,
USVM,,1,,1,,2,,,,,,,2,
VHPE,,,,,,,,,,,,,,
VPAT,,,,,,,,,1,1,,,1,
VTMD,,,,,,,,,,,4,4,4,
VTMI,,,,,,,,,,,,,,
VTPB,,,,,,,,,,,,,,
Subtotal,,11,9,14,16,50,3,3,1,1,4,4,58,
General Studies,GEST,13,9,2,,24,,,,,,,24,
TEAM,,27,13,,,40,,,,,,,40,
TMEN,,4,1,,,5,,,,,,,5,
Subtotal,,44,23,2,,69,,,,,,,69,
Other - Special,MARB,,,,,,,,,,,,,
Populations,MARM,,,,,,,,,,,,,
MARS,,,,,,,,,,,,,,
MDSC,,,,,,,1,1,,,,,1,
PHLT,,,,,,,,,,,,,,
REEP,,,,,,,,,,,,,,
USGA,,,,,,,,,,,,,,
Subtotal,,,,,,,1,1,,,,,1,
University,Total,168,212,222,336,938,57,57,43,43,4,4,"1,042",
"Prepared by DARS, 17 Feb 14",,,,,,,,,,,,,,
