First-Time In College Students (College Station),,,,,,,,,,,,,,,,,,,,,,,
College Veterinary Medicine,,,,,,,,,,,,,,,,,,,,,,,
Spring 2014,White Only,,,American Indian Only,,Asian Only,,,Black Only + 2 or more/1 Black,,,Hispanic or Latino of any Race,,,2 or More/Excluding Black,,International,,,Grand Total,,,
,F,M,Tot,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,M,Tot,F,M,Tot,F,M,Tot,
Headcount Total,5,1,6,,,,,,,,,1,,1,,,,,,6,1,7,
"TAMU Age                     <18
Categories",,,,,,,,,,,,,,,,,,,,,,,
18-21,5,1,6,,,,,,,,,,,,,,,,,5,1,6,
22-25,,,,,,,,,,,,,,,,,,,,,,,
26-30,,,,,,,,,,,,,,,,,,,,,,,
31-39,,,,,,,,,,,,1,,1,,,,,,1,,1,
"Classification/Degre    Freshman
e Objective",4,,4,,,,,,,,,1,,1,,,,,,5,,5,
Sophomore,1,1,2,,,,,,,,,,,,,,,,,1,1,2,
Junior,,,,,,,,,,,,,,,,,,,,,,,
Tuition Status               Resident Tuition,5,1,6,,,,,,,,,1,,1,,,,,,6,1,7,
Non-Resident Tuition,,,,,,,,,,,,,,,,,,,,,,,
Tuition Exemption/Waiver,,,,,,,,,,,,,,,,,,,,,,,
Residency Status          Texas Resident,5,1,6,,,,,,,,,1,,1,,,,,,6,1,7,
"Non-TX, US Resident",,,,,,,,,,,,,,,,,,,,,,,
"Non-TX, Non-US Resident",,,,,,,,,,,,,,,,,,,,,,,
SCH Categories            < 6 SCH,,,,,,,,,,,,,,,,,,,,,,,
6-8 SCH,,,,,,,,,,,,,,,,,,,,,,,
9-11 SCH,,,,,,,,,,,,,,,,,,,,,,,
12-14 SCH,4,1,5,,,,,,,,,1,,1,,,,,,5,1,6,
15-17 SCH,1,,1,,,,,,,,,,,,,,,,,1,,1,
>17 SCH,,,,,,,,,,,,,,,,,,,,,,,
Ft/Pt:  TAMU Status   Less Than Half Time,,,,,,,,,,,,,,,,,,,,,,,
Half-Time,,,,,,,,,,,,,,,,,,,,,,,
Full-Time,5,1,6,,,,,,,,,1,,1,,,,,,6,1,7,
"Top 10% Texas High   No
School",2,,2,,,,,,,,,,,,,,,,,2,,2,
Yes,3,1,4,,,,,,,,,1,,1,,,,,,4,1,5,
First Generation           No,4,,4,,,,,,,,,,,,,,,,,4,,4,
Unknown,,,,,,,,,,,,,,,,,,,,,,,
Yes,1,1,2,,,,,,,,,1,,1,,,,,,2,1,3,
"Dorm / Off-campus     Off-campus
students",3,1,4,,,,,,,,,1,,1,,,,,,4,1,5,
Dorm (On-campus),2,,2,,,,,,,,,,,,,,,,,2,,2,
"Prepared by DARS, 18 Feb 14",,,,,,,,,,,,,,,,,,,,,,,
