College Education,,,,,,,,,,,,,,,,,,,,,,,
Spring 2014,White Only,,,American Indian Only,,Asian Only,,,Black Only + 2 or more/1 Black,,,Hispanic or Latino of any Race,,,2 or More/Excluding Black,,International,,,Grand Total,,,
,F,M,Tot,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,M,Tot,F,M,Tot,F,M,Tot,
Headcount Total,3,1,4,,,,,,,,,4,2,6,,,,,,7,3,10,
"TAMU Age                     <18
Categories",,,,,,,,,,,,,,,,,,,,,,,
18-21,3,1,4,,,,,,,,,4,,4,,,,,,7,1,8,
22-25,,,,,,,,,,,,,2,2,,,,,,,2,2,
26-30,,,,,,,,,,,,,,,,,,,,,,,
31-39,,,,,,,,,,,,,,,,,,,,,,,
"Classification/Degre    Freshman
e Objective",3,1,4,,,,,,,,,4,1,5,,,,,,7,2,9,
Sophomore,,,,,,,,,,,,,1,1,,,,,,,1,1,
Junior,,,,,,,,,,,,,,,,,,,,,,,
Tuition Status               Resident Tuition,2,1,3,,,,,,,,,3,2,5,,,,,,5,3,8,
Non-Resident Tuition,1,,1,,,,,,,,,1,,1,,,,,,2,,2,
Tuition Exemption/Waiver,,,,,,,,,,,,,,,,,,,,,,,
Residency Status          Texas Resident,2,1,3,,,,,,,,,3,2,5,,,,,,5,3,8,
"Non-TX, US Resident",1,,1,,,,,,,,,,,,,,,,,1,,1,
"Non-TX, Non-US Resident",,,,,,,,,,,,1,,1,,,,,,1,,1,
SCH Categories            < 6 SCH,,,,,,,,,,,,,,,,,,,,,,,
6-8 SCH,,,,,,,,,,,,,,,,,,,,,,,
9-11 SCH,,,,,,,,,,,,,,,,,,,,,,,
12-14 SCH,2,1,3,,,,,,,,,3,2,5,,,,,,5,3,8,
15-17 SCH,1,,1,,,,,,,,,1,,1,,,,,,2,,2,
>17 SCH,,,,,,,,,,,,,,,,,,,,,,,
Ft/Pt:  TAMU Status   Less Than Half Time,,,,,,,,,,,,,,,,,,,,,,,
Half-Time,,,,,,,,,,,,,,,,,,,,,,,
Full-Time,3,1,4,,,,,,,,,4,2,6,,,,,,7,3,10,
"Top 10% Texas High   No
School",2,,2,,,,,,,,,3,,3,,,,,,5,,5,
Yes,1,1,2,,,,,,,,,1,2,3,,,,,,2,3,5,
First Generation           No,3,,3,,,,,,,,,2,1,3,,,,,,5,1,6,
Unknown,,,,,,,,,,,,1,,1,,,,,,1,,1,
Yes,,1,1,,,,,,,,,1,1,2,,,,,,1,2,3,
"Dorm / Off-campus     Off-campus
students",2,,2,,,,,,,,,,2,2,,,,,,2,2,4,
Dorm (On-campus),1,1,2,,,,,,,,,4,,4,,,,,,5,1,6,
"Prepared by DARS, 18 Feb 14",,,,,,,,,,,,,,,,,,,,,,,
