College Veterinary Medicine,,,,,,,,,,,
Spring 2014,Student Level,,,,,,,,,,
,Undergraduate,,Masters,,Doctoral,,Professional,,Total,,
,#,%,#,%,#,%,#,%,#,%,
Gender                   Total,"1,623",100.0%,107,100.0%,116,100.0%,524,100.0%,"2,370",100.0%,
Female,"1,148",70.7%,69,64.5%,76,65.5%,402,76.7%,"1,695",71.5%,
Male,475,29.3%,38,35.5%,40,34.5%,122,23.3%,675,28.5%,
Ethnicity                White Only,928,57.2%,67,62.6%,57,49.1%,448,85.5%,"1,500",63.3%,
American Indian Only,1,.1%,1,.9%,,,3,.6%,5,.2%,
Asian Only,171,10.5%,10,9.3%,4,3.4%,18,3.4%,203,8.6%,
Black Only + 2 or more/1 Black,71,4.4%,2,1.9%,2,1.7%,4,.8%,79,3.3%,
Hispanic or Latino of any Race,395,24.3%,20,18.7%,7,6.0%,37,7.1%,459,19.4%,
Native Hawaii Only,,,,,,,,,,,
2 or More/Excluding Black,50,3.1%,3,2.8%,1,.9%,4,.8%,58,2.4%,
International,3,.2%,3,2.8%,43,37.1%,,,49,2.1%,
Unknown or Not Reported,4,.2%,1,.9%,2,1.7%,10,1.9%,17,.7%,
TAMU Age            <18,,,,,,,,,,,
Categories             18-21,"1,255",77.3%,,,,,1,.2%,"1,256",53.0%,
22-25,363,22.4%,79,73.8%,13,11.2%,234,44.7%,689,29.1%,
26-30,3,.2%,21,19.6%,55,47.4%,241,46.0%,320,13.5%,
31-39,1,.1%,7,6.5%,40,34.5%,41,7.8%,89,3.8%,
40+,1,.1%,,,8,6.9%,7,1.3%,16,.7%,
Enrollment           1st Time in College,7,.4%,,,,,,,7,.3%,
Status                     1st Time Transfer,,,,,,,,,,,
1st Time Graduate,,,15,14.0%,5,4.3%,,,20,.8%,
Readmitted,3,.2%,,,,,,,3,.1%,
Continuing,"1,613",99.4%,92,86.0%,111,95.7%,524,100.0%,"2,340",98.7%,
Tuition Status       Resident Tuition,"1,591",98.0%,94,87.9%,37,31.9%,496,94.7%,"2,218",93.6%,
Non-Resident Tuition,18,1.1%,5,4.7%,12,10.3%,2,.4%,37,1.6%,
Tuition Exemption/Waiver,14,.9%,8,7.5%,67,57.8%,26,5.0%,115,4.9%,
Residency Status Texas Resident,"1,592",98.1%,97,90.7%,42,36.2%,498,95.0%,"2,229",94.1%,
"Non-TX, US Resident",28,1.7%,7,6.5%,30,25.9%,26,5.0%,91,3.8%,
"Non-TX, Non-US Resident",3,.2%,3,2.8%,44,37.9%,,,50,2.1%,
SCH Categories    < 6 SCH,16,1.0%,10,9.3%,18,15.5%,,,44,1.9%,
6-8 SCH,41,2.5%,6,5.6%,5,4.3%,,,52,2.2%,
9-11 SCH,62,3.8%,73,68.2%,93,80.2%,,,228,9.6%,
12-14 SCH,895,55.1%,13,12.1%,,,,,908,38.3%,
15-17 SCH,582,35.9%,4,3.7%,,,2,.4%,588,24.8%,
>17 SCH,27,1.7%,1,.9%,,,522,99.6%,550,23.2%,
Ft/Pt:  TAMU       Less Than Half Time,16,1.0%,4,3.7%,7,6.0%,,,27,1.1%,
Status                     Half-Time,103,6.3%,12,11.2%,16,13.8%,,,131,5.5%,
Full-Time,"1,504",92.7%,91,85.0%,93,80.2%,524,100.0%,"2,212",93.3%,
Top 10% Texas     No,491,30.3%,81,75.7%,113,97.4%,452,86.3%,"1,137",48.0%,
High School          Yes,"1,132",69.7%,26,24.3%,3,2.6%,72,13.7%,"1,233",52.0%,
First Generation  No,"1,123",69.2%,69,64.5%,59,50.9%,111,21.2%,"1,362",57.5%,
Unknown,55,3.4%,8,7.5%,38,32.8%,377,71.9%,478,20.2%,
Yes,445,27.4%,30,28.0%,19,16.4%,36,6.9%,530,22.4%,
"Table 8     Prepared by DARS, 2/14/2014",,,,,,,,,,,
