College Business Admin,,,,,,,,,,,
Spring 2014,Student Level,,,,,,,,,,
,Undergraduate,,Masters,,Doctoral,,Professional,,Total,,
,#,%,#,%,#,%,#,%,#,%,
Gender                   Total,"4,540",100.0%,755,100.0%,67,100.0%,,,"5,362",100.0%,
Female,"2,186",48.1%,298,39.5%,24,35.8%,,,"2,508",46.8%,
Male,"2,354",51.9%,457,60.5%,43,64.2%,,,"2,854",53.2%,
Ethnicity                White Only,"3,355",73.9%,462,61.2%,26,38.8%,,,"3,843",71.7%,
American Indian Only,8,.2%,1,.1%,,,,,9,.2%,
Asian Only,248,5.5%,53,7.0%,4,6.0%,,,305,5.7%,
Black Only + 2 or more/1 Black,97,2.1%,13,1.7%,4,6.0%,,,114,2.1%,
Hispanic or Latino of any Race,676,14.9%,53,7.0%,2,3.0%,,,731,13.6%,
Native Hawaii Only,4,.1%,,,,,,,4,.1%,
2 or More/Excluding Black,90,2.0%,5,.7%,,,,,95,1.8%,
International,52,1.1%,119,15.8%,28,41.8%,,,199,3.7%,
Unknown or Not Reported,10,.2%,49,6.5%,3,4.5%,,,62,1.2%,
TAMU Age            <18,,,,,,,,,,,
Categories             18-21,"2,797",61.6%,2,.3%,,,,,"2,799",52.2%,
22-25,"1,697",37.4%,431,57.1%,3,4.5%,,,"2,131",39.7%,
26-30,29,.6%,159,21.1%,25,37.3%,,,213,4.0%,
31-39,6,.1%,91,12.1%,34,50.7%,,,131,2.4%,
40+,11,.2%,72,9.5%,5,7.5%,,,88,1.6%,
Enrollment           1st Time in College,14,.3%,,,,,,,14,.3%,
Status                     1st Time Transfer,3,.1%,,,,,,,3,.1%,
1st Time Graduate,,,51,6.8%,,,,,51,1.0%,
Readmitted,9,.2%,2,.3%,,,,,11,.2%,
Continuing,"4,514",99.4%,702,93.0%,67,100.0%,,,"5,283",98.5%,
Tuition Status       Resident Tuition,"4,396",96.8%,600,79.5%,8,11.9%,,,"5,004",93.3%,
Non-Resident Tuition,85,1.9%,61,8.1%,1,1.5%,,,147,2.7%,
Tuition Exemption/Waiver,59,1.3%,94,12.5%,58,86.6%,,,211,3.9%,
Residency Status Texas Resident,"4,397",96.9%,610,80.8%,10,14.9%,,,"5,017",93.6%,
"Non-TX, US Resident",88,1.9%,24,3.2%,28,41.8%,,,140,2.6%,
"Non-TX, Non-US Resident",55,1.2%,121,16.0%,29,43.3%,,,205,3.8%,
SCH Categories    < 6 SCH,39,.9%,28,3.7%,1,1.5%,,,68,1.3%,
6-8 SCH,78,1.7%,198,26.2%,,,,,276,5.1%,
9-11 SCH,263,5.8%,266,35.2%,64,95.5%,,,593,11.1%,
12-14 SCH,"2,652",58.4%,188,24.9%,2,3.0%,,,"2,842",53.0%,
15-17 SCH,"1,390",30.6%,70,9.3%,,,,,"1,460",27.2%,
>17 SCH,118,2.6%,5,.7%,,,,,123,2.3%,
Ft/Pt:  TAMU       Less Than Half Time,39,.9%,27,3.6%,1,1.5%,,,67,1.2%,
Status                     Half-Time,342,7.5%,200,26.5%,,,,,542,10.1%,
Full-Time,"4,159",91.6%,528,69.9%,66,98.5%,,,"4,753",88.6%,
Top 10% Texas     No,"2,155",47.5%,585,77.5%,63,94.0%,,,"2,803",52.3%,
High School          Yes,"2,385",52.5%,170,22.5%,4,6.0%,,,"2,559",47.7%,
First Generation  No,"3,510",77.3%,309,40.9%,9,13.4%,,,"3,828",71.4%,
Unknown,146,3.2%,396,52.5%,58,86.6%,,,600,11.2%,
Yes,884,19.5%,50,6.6%,,,,,934,17.4%,
"Table 8     Prepared by DARS, 2/14/2014",,,,,,,,,,,
