Ethnicity Unknown or Not Reported,,,,,,,,,,,,,,,,
Headcount by Major by Classification by Ethnicity Spring 2011,,,,,,,,,,,,,,,,
Spring 2011,,Undergraduate,,,,,,Masters,,,PhD,,Professional,,Grand Total,
,,Freshman,Sophomore,Junior,Senior,PB,Total,PB,Master,Total,PhD,Total,Professional Veterinary,Total,,
Education,BIED,,,,,,,,,,,,,,,
,CPSY,,,,,,,,,,1,1,,,1,
,EDAD,,,,,,,,,,2,2,,,2,
,EDCI,,,,,,,,,,2,2,,,2,
,EDHL,,,,,,,,,,,,,,,
,EDIS,,,1,,,1,,,,,,,,1,
,EDKI,,,,,,,,,,,,,,,
,EDSM,1,,,,,1,,,,,,,,1,
,EDTC,,,,,,,,,,,,,,,
,EHRD,,,,,,,,,,1,1,,,1,
,EPSY,,,,,,,,1,1,,,,,1,
,HEED,,,,,,,,,,1,1,,,1,
,HLTH,,,,,,,,,,,,,,,
,HRDL,,,,,,,,,,,,,,,
,HRDV,,,,1,,1,,,,,,,,1,
,INST,,,,,,,,,,,,,,,
,ISNC,,,,,,,,,,,,,,,
,KINE,,,,,,,,,,,,,,,
,NUTR,,,,,,,,,,,,,,,
,PHED,,,,,,,,,,,,,,,
,SPED,,,,,,,,,,,,,,,
,SPMT,,,,,,,,,,,,,,,
,SPSY,,,,,,,,,,,,,,,
,TCMG,,,,,,,,,,,,,,,
,TCML,,,,,,,,,,,,,,,
,TECR,,,,,,,,,,,,,,,
,USEH,,,,,,,,,,,,,,,
,Subtotal,1,,1,1,,3,,1,1,7,7,,,11,
"Prepared by OISP, 29 Mar 11",,,,,,,,,,,,,,,,
