Ethnicity Unknown or Not Reported,,,,,,,,,,,,,,,,
Headcount by Major by Classification by Ethnicity Spring 2011,,,,,,,,,,,,,,,,
Spring 2011,,Undergraduate,,,,,,Masters,,,PhD,,Professional,,Grand Total,
,,Freshman,Sophomore,Junior,Senior,PB,Total,PB,Master,Total,PhD,Total,Professional Veterinary,Total,,
Agriculture,SPSA,,,,,,,,,,,,,,,
,TOXI,,,,,,,,,,,,,,,
,USAL,,,,,,,,,,,,,,,
,WFSC,,1,,,,1,,1,1,,,,,2,
,WISC,,,,,,,,,,,,,,,
,WMHS,,,,,,,,,,,,,,,
,Subtotal,1,2,4,1,,8,1,3,4,5,5,,,17,
Architecture,ARCH,,,,,,,1,1,2,,,,,2,
,COMG,,,,,,,,,,,,,,,
,COSC,,,,1,,1,,,,,,,,1,
,COSL,,,,,,,,,,,,,,,
,ENDL,,,,,,,,,,,,,,,
,ENDS,,,,,,,,,,,,,,,
,LAND,,,,,,,,,,,,,,,
,LANL,,,,,,,,,,,,,,,
,LDEV,,,,,,,,,,,,,,,
,URPL,,,,,,,,1,1,,,,,1,
,URSC,,,,,,,,,,,,,,,
,USAR,,,,,,,,,,,,,,,
,VISL,,,,,,,,,,,,,,,
,VIST,,,,,,,,,,,,,,,
,Subtotal,,,,1,,1,1,2,3,,,,,4,
Business Admin,ACCT,,,,,,,,,,1,1,,,1,
,AGBU,,,,,,,,,,,,,,,
,BHNR,,,,,,,,,,,,,,,
,BUAD,1,,,,,1,,2,2,,,,,3,
,BUAG,,,,,,,,,,,,,,,
,EMBA,,,,,,,,2,2,,,,,2,
,FINC,,,,1,,1,,,,,,,,1,
,INFO,,,,,,,,,,,,,,,
,MGMT,,,,,,,,,,,,,,,
,MISY,,,,,,,,,,,,,,,
,MKTG,,,,,,,,,,,,,,,
,MLER,,,,,,,,,,,,,,,
,USBU,,,,,,,,,,,,,,,
,Subtotal,1,,,1,,2,,4,4,1,1,,,7,
"Prepared by OISP, 29 Mar 11",,,,,,,,,,,,,,,,
