College Geosciences,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Demographic Summary by College by Ethnicity/Gender First-Time Undergraduate Transfer Students,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spring 2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spriing 2011,,White Only (NEW),,,Black Only + 2 or more/1 Black (NEW),,,Hispanic or Latino of any Race (NEW),,,Asian Only (NEW),,,Native Hawaii Only (New),,,American Indian Only (NEW),,,International,,,2 or More/Excluding Black (NEW),,,Unknown or Not Reported,,,Grand Total,,,
,,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,
Headcount Total,,2,9,11,,1,1,2,1,3,,1,1,,,,,,,,,,,,,,,,4,12,16,
TAMU Age Categories,18-21,1,4,5,,,,1,1,2,,1,1,,,,,,,,,,,,,,,,2,6,8,
,22-25,1,4,5,,1,1,,,,,,,,,,,,,,,,,,,,,,1,5,6,
,26-30,,1,1,,,,1,,1,,,,,,,,,,,,,,,,,,,1,1,2,
,31-39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,40+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Classification,Freshman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sophomore,,2,2,,1,1,,1,1,,,,,,,,,,,,,,,,,,,,4,4,
,Junior,2,5,7,,,,,,,,1,1,,,,,,,,,,,,,,,,2,6,8,
,Senior,,2,2,,,,2,,2,,,,,,,,,,,,,,,,,,,2,2,4,
,PB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tuition Status,Resident Tuition,2,9,11,,1,1,2,1,3,,1,1,,,,,,,,,,,,,,,,4,12,16,
,Non-Resident Tuition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Tuition Exemption/Waiver,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Residency Status,Texas Resident,2,9,11,,1,1,2,1,3,,1,1,,,,,,,,,,,,,,,,4,12,16,
,"Non-TX, US Resident",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Non-TX, Non-US Resident",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCH Categories,< 6 SCH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6-8 SCH,,1,1,,,,1,,1,,,,,,,,,,,,,,,,,,,1,1,2,
,9-11 SCH,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,1,1,
,12-14 SCH,,8,8,,,,1,,1,,,,,,,,,,,,,,,,,,,1,8,9,
,15-17 SCH,2,,2,,1,1,,1,1,,,,,,,,,,,,,,,,,,,2,2,4,
,>17 SCH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ft/Pt: TAMU Status,Less Than Half Time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Half-Time,,1,1,,,,1,,1,,1,1,,,,,,,,,,,,,,,,1,2,3,
,Full-Time,2,8,10,,1,1,1,1,2,,,,,,,,,,,,,,,,,,,3,10,13,
Top 10% Texas High School,No,2,6,8,,1,1,2,1,3,,1,1,,,,,,,,,,,,,,,,4,9,13,
,Yes,,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,
First Generation,No,1,4,5,,,,,1,1,,1,1,,,,,,,,,,,,,,,,1,6,7,
,Unknown,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,
,Yes,1,4,5,,1,1,2,,2,,,,,,,,,,,,,,,,,,,3,5,8,
Dorm / Off-campus students,Off-campus,2,8,10,,,,2,1,3,,1,1,,,,,,,,,,,,,,,,4,10,14,
,Dorm (On-campus),,1,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,2,2,
"Prepared by OISP, 29 Mar 11",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
