Ethnicity 2 or More/Excluding Black (NEW),,,,,,,,,,,,,,,,
Headcount by Major by Classification by Ethnicity Spring 2011,,,,,,,,,,,,,,,,
Spring 2011,,Undergraduate,,,,,,Masters,,,PhD,,Professional,,Grand Total,
,,Freshman,Sophomore,Junior,Senior,PB,Total,PB,Master,Total,PhD,Total,Professional Veterinary,Total,,
Agriculture,ABME,,,,,,,,,,,,,,,
,ADEV,,,,,,,,,,,,,,,
,AGBL,,2,,,,2,,,,,,,,2,
,AGBU,,,,2,1,3,,,,,,,,3,
,AGCJ,,,,3,,3,,,,,,,,3,
,AGEC,,1,3,2,,6,,1,1,,,,,7,
,AGLS,,,,,,,,,,,,,,,
,AGRO,,,,1,,1,,,,,,,,1,
,AGSC,,1,,,,1,,,,,,,,1,
,AGSM,,,,,,,,,,,,,,,
,ALEC,,,,,,,,,,,,,,,
,ALED,,,,1,,1,,,,,,,,1,
,ANBR,,,,,,,,,,,,,,,
,ANSC,2,1,4,,,7,,,,,,,,7,
,BAEN,1,1,2,2,,6,,1,1,,,,,7,
,BESC,,,1,3,,4,,,,,,,,4,
,BICH,,2,1,1,,4,,,,,,,,4,
,BIOT,,,,,,,,,,,,,,,
,CDEV,,,,,,,,,,,,,,,
,DASC,,,,,,,,,,,,,,,
,ECOR,,2,,,,2,,,,,,,,2,
,ENST,,,,,,,,,,,,,,,
,ENTO,1,,1,1,,3,,,,,,,,3,
,FISC,,,,,,,,,,,,,,,
,FIVL,1,,2,,,3,,,,,,,,3,
,FIVS,,,,,,,,,,,,,,,
,FLOR,,,1,,,1,,,,,,,,1,
,FORS,,,,,,,,,,,,,,,
,FSTC,,,1,3,,4,,,,,,,,4,
,GENE,1,,1,1,,3,,,,,,,,3,
,HORT,,,,,,,,,,,,,,,
,MEPS,,,,,,,,,,,,,,,
,NRDV,,,,,,,,,,,,,,,
,NUSC,,3,2,2,,7,,,,,,,,7,
,NUTR,,,,,,,,,,,,,,,
,PLBR,,,,,,,,,,,,,,,
,PLPA,,,,,,,,1,1,,,,,1,
,POSC,,,1,,,1,,1,1,,,,,2,
,PPRO,,,,,,,,,,,,,,,
,PREP,,,,,,,,,,,,,,,
,PSSC,,1,,,,1,,,,,,,,1,
,RENR,,,,,,,,,,,,,,,
,RLEM,,,1,1,,2,,,,,,,,2,
,RPTS,,,,2,,2,,,,,,,,2,
,RRDV,,,,,,,,,,,,,,,
,SOSC,,,,,,,,,,,,,,,
"Prepared by OISP, 29 Mar 11",,,,,,,,,,,,,,,,
