College Science,,,,,,,,,,,,,,,,,,,,,,,
Demographic Summary by College by Ethnicity/Gender First-Time In College Students,,,,,,,,,,,,,,,,,,,,,,,
Spring 2011,,,,,,,,,,,,,,,,,,,,,,,
Spriing 2011,,White Only (NEW),,,Black Only + 2 or more/1 Black (NEW),,Hispanic or Latino of any Race (NEW),,,Asian Only (NEW),,,International,,,2 or More/Excluding Black (NEW),,Unknown or Not Reported,,Grand Total,,,
,,F,M,Tot,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,M,Tot,F,Tot,F,M,Tot,
Headcount Total,,4,2,6,,,3,1,4,,1,1,1,,1,,,,,8,4,12,
TAMU Age Categories,<18,,,,,,,,,,,,,,,,,,,,,,
,18-21,4,2,6,,,3,1,4,,1,1,1,,1,,,,,8,4,12,
,22-25,,,,,,,,,,,,,,,,,,,,,,
,26-30,,,,,,,,,,,,,,,,,,,,,,
Classification,Freshman,4,2,6,,,3,1,4,,1,1,1,,1,,,,,8,4,12,
,Sophomore,,,,,,,,,,,,,,,,,,,,,,
Tuition Status,Resident Tuition,4,2,6,,,3,1,4,,1,1,,,,,,,,7,4,11,
,Non-Resident Tuition,,,,,,,,,,,,1,,1,,,,,1,,1,
,Tuition  Exemption/Waiver,,,,,,,,,,,,,,,,,,,,,,
Residency Status,Texas Resident,4,2,6,,,3,1,4,,1,1,,,,,,,,7,4,11,
,"Non-TX, US Resident",,,,,,,,,,,,,,,,,,,,,,
,"Non-TX, Non-US Resident",,,,,,,,,,,,1,,1,,,,,1,,1,
SCH Categories,6-8 SCH,,,,,,,,,,,,,,,,,,,,,,
,12-14 SCH,3,1,4,,,1,,1,,1,1,1,,1,,,,,5,2,7,
,15-17 SCH,1,1,2,,,2,1,3,,,,,,,,,,,3,2,5,
Ft/Pt: TAMU Status,Half-Time,,,,,,,,,,,,,,,,,,,,,,
,Full-Time,4,2,6,,,3,1,4,,1,1,1,,1,,,,,8,4,12,
Top 10% Texas High School,No,2,2,4,,,1,1,2,,1,1,1,,1,,,,,4,4,8,
,Yes,2,,2,,,2,,2,,,,,,,,,,,4,,4,
First Generation,No,3,2,5,,,1,,1,,1,1,,,,,,,,4,3,7,
,Unknown,,,,,,,,,,,,1,,1,,,,,1,,1,
,Yes,1,,1,,,2,1,3,,,,,,,,,,,3,1,4,
Dorm / Off-campus students,Off-campus,2,1,3,,,2,,2,,1,1,,,,,,,,4,2,6,
,Dorm (On-campus),2,1,3,,,1,1,2,,,,1,,1,,,,,4,2,6,
"Prepared by OISP, 29 Mar 11",,,,,,,,,,,,,,,,,,,,,,,
