Demographic Summary by Classification Undergraduate Students,,,,,,,,,
Spring 2011,,,,,,,,,
Spring 2011,,U0: UG Non-Degree,U1: Freshmen,U2: Sophomore,U3: Junior,U4: Senior,U5: Undergraduate PB,Grand Total,
Head Count,Total,10,"6,094","8,140","8,690","13,894",124,"36,952",
Gender,Female,5,"2,878","3,950","4,117","6,579",67,"17,596",
,Male,5,"3,216","4,190","4,573","7,315",57,"19,356",
Ethnicity,White Only (NEW),4,"4,085","5,870","6,350","10,256",98,"26,663",
,Black Only + 2 or more/1 Black (NEW),1,237,294,287,403,3,"1,225",
,Hispanic or Latino of any Race (NEW),2,"1,165","1,359","1,334","2,061",15,"5,936",
,Asian Only (NEW),1,335,348,360,636,4,"1,684",
,Native Hawaii Only (New),,6,14,7,21,,48,
,American Indian Only (NEW),,13,32,35,57,,137,
,International,1,78,77,164,262,1,583,
,2 or More/Excluding Black (NEW),,155,131,139,186,3,614,
,Unknown or Not Reported,1,20,15,14,12,,62,
TAMU Age Categories,<18,,3,1,,,,4,
,18-21,2,"6,061","7,733","5,600","2,381",,"21,777",
,22-25,2,23,353,"2,869","10,859",80,"14,186",
,26-30,5,5,32,149,455,25,671,
,31-39,,1,16,50,147,17,231,
,40+,1,1,5,22,52,2,83,
College,Agriculture,2,385,885,"1,600","2,346",47,"5,265",
,Architecture,,142,226,316,643,3,"1,330",
,Business Admin,,455,777,"1,089","1,657",1,"3,979",
,Education,,356,585,958,"1,756",11,"3,666",
,Engineering,3,"1,190","1,493","1,607","3,295",27,"7,615",
,Geosciences,,80,106,167,290,8,651,
,Liberal Arts,,519,"1,218","1,866","2,664",19,"6,286",
,Science,5,481,410,472,768,8,"2,144",
,Veterinary Medicine,,349,359,298,463,,"1,469",
,General Studies,,"2,137","2,066",288,1,,"4,492",
,Other - Special Populations,,,15,29,11,,55,
Enrollment Status,1st Time in College,,117,1,,,,118,
,1st Time Transfer,1,25,478,276,43,5,828,
,Readmitted,,9,51,91,111,12,274,
,Continuing,9,"5,943","7,610","8,323","13,740",107,"35,732",
Tuition Status,Resident Tuition,8,"5,559","7,580","8,126","12,952",113,"34,338",
,Non-Resident Tuition,1,161,146,201,327,3,839,
,Tuition Exemption/Waiver,1,374,414,363,615,8,"1,775",
Residency Status,Texas Resident,9,"5,798","7,831","8,296","13,215",118,"35,267",
,"Non-TX, US Resident",,215,229,233,425,5,"1,107",
,"Non-TX, Non-US Resident",1,81,80,161,254,1,578,
SCH Categories,< 6 SCH,3,508,265,62,274,46,"1,158",
,6-8 SCH,2,86,92,124,"1,024",17,"1,345",
,9-11 SCH,2,28,127,209,"1,416",16,"1,798",
,12-14 SCH,2,"3,253","4,607","4,508","6,550",29,"18,949",
,15-17 SCH,1,"2,164","2,942","3,539","4,039",12,"12,697",
,>17 SCH,,55,107,248,591,4,"1,005",
Ft/Pt:  TAMU Status,Less Than Half Time,3,508,262,50,214,39,"1,076",
,Half-Time,4,120,228,339,"2,146",33,"2,870",
,Full-Time,3,"5,466","7,650","8,301","11,534",52,"33,006",
Top 10% Texas High School,No,9,"3,509","4,668","5,382","8,616",79,"22,263",
,Yes,1,"2,585","3,472","3,308","5,278",45,"14,689",
First Generation,No,4,"4,253","5,846","5,926","9,996",87,"26,112",
,Unknown,4,206,163,389,481,6,"1,249",
,Yes,2,"1,635","2,131","2,375","3,417",31,"9,591",
"Prepared by OISP, 29 Mar 11",,,,,,,,,
