Ethnicity Unknown or Not Reported,,,,,,,,,,,,,,,,
Headcount by Major by Classification by Ethnicity Spring 2011,,,,,,,,,,,,,,,,
Spring 2011,,Undergraduate,,,,,,Masters,,,PhD,,Professional,,Grand Total,
,,Freshman,Sophomore,Junior,Senior,PB,Total,PB,Master,Total,PhD,Total,Professional Veterinary,Total,,
Science,APHY,,,,,,,,,,,,,,,
,APMS,,,1,,,1,,,,,,,,1,
,BIOL,,,,,,,,,,,,,,,
,BMCB,,,,,,,,,,,,,,,
,BOTN,,,,,,,,,,,,,,,
,CHEM,,,,,,,,1,1,1,1,,,2,
,GENE,,,,,,,,,,,,,,,
,MATH,,,,,,,1,,1,,,,,1,
,MBIO,,,,,,,,,,,,,,,
,MEPS,,,,,,,,,,,,,,,
,MSEN,,,,,,,,,,,,,,,
,PHYS,,,,,,,,,,1,1,,,1,
,STAT,,,,,,,,3,3,,,,,3,
,USSC,,,,,,,,,,,,,,,
,ZOOL,,,,,,,,,,,,,,,
,Subtotal,,,1,,,1,1,4,5,2,2,,,8,
Veterinary Medicine,BIMS,1,,,,,1,,,,,,,,1,
,GENE,,,,,,,,,,,,,,,
,LAMD,,,,,,,,,,,,,,,
,STJR,,,,,,,,,,,,,,,
,TOXI,,,,,,,,,,,,,,,
,USVM,,,,,,,,,,,,,,,
,VMSC,,,,,,,,,,,,,,,
,VPAT,,,,,,,,,,,,,,,
,VPHY,,,,,,,,,,,,,,,
,VTMD,,,,,,,,,,,,7,7,7,
,VTMI,,,,,,,,,,,,,,,
,VTMS,,,,,,,,,,,,,,,
,Subtotal,1,,,,,1,,,,,,7,7,8,
General Studies,GEST,7,1,,,,8,,,,,,,,8,
,TEAM,1,1,,,,2,,,,,,,,2,
,Subtotal,8,2,,,,10,,,,,,,,10,
Other - Special Populations,MARB,,,,,,,,,,,,,,,
,MARM,,,,,,,,,,,,,,,
,MDSC,,,,,,,1,,1,,,,,1,
,OCRE,,,,,,,,,,,,,,,
,PHLT,,,,,,,2,,2,,,,,2,
,REEP,,,1,,,1,,,,,,,,1,
,Subtotal,,,1,,,1,3,,3,,,,,4,
University,Total,21,15,14,12,,62,8,27,35,22,22,7,7,126,
"Prepared by OISP, 29 Mar 11",,,,,,,,,,,,,,,,
