Ethnicity 2 or More/Excluding Black (NEW),,,,,,,,,,,,,,,,
Headcount by Department by Classification by Ethnicity Spring 2011,,,,,,,,,,,,,,,,
Spring 2011,,Undergraduate,,,,,,Masters,,,PhD,,Professional,,Grand Total,
,,Freshman,Sophomore,Junior,Senior,PB,Total,PB,Master,Total,PhD,Total,Professional Veterinary,Total,,
Agriculture,AGEC,,3,3,4,1,11,,1,1,,,,,12,
,ALEC,,1,1,5,,7,,,,,,,,7,
,ANSC,2,1,4,,,7,,,,,,,,7,
,BAEN,1,1,2,2,,6,,1,1,,,,,7,
,BCBP,1,2,2,2,,7,,,,,,,,7,
,CLAG,,,,,,,,,,,,,,,
,ENTO,2,,3,1,,6,,,,,,,,6,
,ESSM,,3,2,2,,7,,,,,,,,7,
,HRSC,,,1,,,1,,,,,,,,1,
,NFSC,,3,3,5,,11,,,,,,,,11,
,PLPM,,,1,3,,4,,1,1,,,,,5,
,POSC,,,1,,,1,,1,1,,,,,2,
,RPTS,,,,2,,2,,1,1,,,,,3,
,SCSC,,1,,1,,2,,,,,,,,2,
,WFSC,,1,2,3,,6,,,,,,,,6,
,Subtotal,6,16,25,30,1,78,,5,5,,,,,83,
Architecture,ARCH,3,,3,2,,8,,,,,,,,8,
,CLAR,,,1,,,1,,,,,,,,1,
,COSC,,2,2,2,,6,,1,1,,,,,7,
,LAUP,,1,2,1,,4,,1,1,,,,,5,
,VIZA,1,1,,,,2,,,,,,,,2,
,Subtotal,4,4,8,5,,21,,2,2,,,,,23,
Business Admin,ACCT,,,2,3,,5,,1,1,,,,,6,
,CLBA,11,14,1,5,,31,,,,,,,,31,
,FINC,,,1,5,,6,,,,,,,,6,
,INFO,,,3,2,,5,,2,2,,,,,7,
,MGMT,,,1,4,,5,,1,1,,,,,6,
,MKTG,,,2,2,,4,,,,,,,,4,
,Subtotal,11,14,10,21,,56,,4,4,,,,,60,
Education,CLED,,,,,,,,,,,,,,,
,EAHR,1,,1,2,,4,,1,1,2,2,,,7,
,EPSY,1,,1,,,2,,1,1,4,4,,,7,
,HLKN,5,6,4,9,,24,,,,1,1,,,25,
,TLAC,2,2,2,8,,14,,1,1,5,5,,,20,
,Subtotal,9,8,8,19,,44,,3,3,12,12,,,59,
Engineering,AERO,7,3,1,7,,18,,2,2,,,,,20,
,BMEN,6,1,2,5,,14,,1,1,,,,,15,
,CHEN,2,2,2,5,1,12,,1,1,,,,,13,
,CLEN,,,,,,,,,,,,,,,
,CSCE,3,3,1,5,,12,,2,2,1,1,,,15,
,CVEN,4,3,3,4,,14,,,,1,1,,,15,
,ECEN,6,4,9,2,,21,,3,3,1,1,,,25,
,ETID,2,1,3,5,,11,,,,,,,,11,
,ISEN,1,2,2,3,,8,,,,,,,,8,
,MEEN,5,4,2,3,,14,,3,3,,,,,17,
,NUEN,,2,1,1,,4,,2,2,,,,,6,
,PETE,3,4,1,3,,11,,2,2,,,,,13,
,Subtotal,39,29,27,43,1,139,,16,16,3,3,,,158,
G. Bush School of Govt,BUSH,,,,,,,3,6,9,,,,,9,
,Subtotal,,,,,,,3,6,9,,,,,9,
"Prepared by OISP, 29 Mar 11",,,,,,,,,,,,,,,,
