University Total,,,,,,,,,,,,,,,,,,,,,,,
Demographic Summary by College by Ethnicity/Gender First-Time In College Students,,,,,,,,,,,,,,,,,,,,,,,
Spring 2011,,,,,,,,,,,,,,,,,,,,,,,
Spriing 2011,,White Only (NEW),,,Black Only + 2 or more/1 Black (NEW),,Hispanic or Latino of any Race (NEW),,,Asian Only (NEW),,,International,,,2 or More/Excluding Black (NEW),,Unknown or Not Reported,,Grand Total,,,
,,F,M,Tot,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,M,Tot,F,Tot,F,M,Tot,
Headcount Total,,27,37,64,3,3,15,13,28,2,3,5,5,10,15,2,2,1,1,50,68,118,
TAMU Age Categories,<18,,,,1,1,,,,,,,,,,,,,,,1,1,
,18-21,27,35,62,2,2,15,12,27,2,3,5,5,10,15,2,2,1,1,50,64,114,
,22-25,,2,2,,,,,,,,,,,,,,,,,2,2,
,26-30,,,,,,,1,1,,,,,,,,,,,,1,1,
Classification,Freshman,26,37,63,3,3,15,13,28,2,3,5,5,10,15,2,2,1,1,49,68,117,
,Sophomore,1,,1,,,,,,,,,,,,,,,,1,,1,
Tuition Status,Resident Tuition,26,28,54,3,3,14,10,24,1,2,3,,,,2,2,1,1,42,45,87,
,Non-Resident Tuition,1,5,6,,,1,2,3,1,1,2,5,8,13,,,,,8,16,24,
,Tuition  Exemption/Waiver,,4,4,,,,1,1,,,,,2,2,,,,,,7,7,
Residency Status,Texas Resident,26,32,58,3,3,15,11,26,1,2,3,,,,2,2,1,1,43,50,93,
,"Non-TX, US Resident",,5,5,,,,1,1,1,,1,,,,,,,,1,6,7,
,"Non-TX, Non-US Resident",1,,1,,,,1,1,,1,1,5,10,15,,,,,6,12,18,
SCH Categories,6-8 SCH,,1,1,,,,1,1,,,,,,,,,,,,2,2,
,12-14 SCH,17,27,44,3,3,11,9,20,2,3,5,4,10,14,2,2,1,1,35,54,89,
,15-17 SCH,10,9,19,,,4,3,7,,,,1,,1,,,,,15,12,27,
Ft/Pt: TAMU Status,Half-Time,1,1,2,,,,1,1,,,,,3,3,,,,,1,5,6,
,Full-Time,26,36,62,3,3,15,12,27,2,3,5,5,7,12,2,2,1,1,49,63,112,
Top 10% Texas High School,No,19,32,51,3,3,7,9,16,2,3,5,5,10,15,,,,,33,57,90,
,Yes,8,5,13,,,8,4,12,,,,,,,2,2,1,1,17,11,28,
First Generation,No,19,26,45,3,3,6,7,13,2,2,4,,,,,,,,27,38,65,
,Unknown,,,,,,1,,1,,,,5,10,15,,,1,1,7,10,17,
,Yes,8,11,19,,,8,6,14,,1,1,,,,2,2,,,16,20,36,
Dorm / Off-campus students,Off-campus,15,22,37,1,1,8,7,15,1,2,3,3,8,11,,,,,27,40,67,
,Dorm (On-campus),12,15,27,2,2,7,6,13,1,1,2,2,2,4,2,2,1,1,23,28,51,
"Prepared by OISP, 29 Mar 11",,,,,,,,,,,,,,,,,,,,,,,
