College Liberal Arts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Demographic Summary by College by Ethnicity/Gender First-Time Undergraduate Transfer Students,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spring 2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spriing 2011,,White Only (NEW),,,Black Only + 2 or more/1 Black (NEW),,,Hispanic or Latino of any Race (NEW),,,Asian Only (NEW),,,Native Hawaii Only (New),,,American Indian Only (NEW),,,International,,,2 or More/Excluding Black (NEW),,,Unknown or Not Reported,,,Grand Total,,,
,,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,
Headcount Total,,91,64,155,2,3,5,23,24,47,4,6,10,,,,,,,,1,1,2,2,4,2,,2,124,100,224,
TAMU Age Categories,18-21,73,39,112,1,2,3,16,17,33,2,4,6,,,,,,,,,,2,2,4,,,,94,64,158,
,22-25,15,16,31,,1,1,5,4,9,2,2,4,,,,,,,,1,1,,,,,,,22,24,46,
,26-30,2,5,7,,,,1,3,4,,,,,,,,,,,,,,,,,,,3,8,11,
,31-39,1,2,3,1,,1,,,,,,,,,,,,,,,,,,,1,,1,3,2,5,
,40+,,2,2,,,,1,,1,,,,,,,,,,,,,,,,1,,1,2,2,4,
Classification,Freshman,3,3,6,,,,2,2,4,,,,,,,,,,,,,1,,1,,,,6,5,11,
,Sophomore,64,42,106,,1,1,14,16,30,3,5,8,,,,,,,,1,1,1,1,2,1,,1,83,66,149,
,Junior,22,18,40,1,2,3,7,6,13,1,,1,,,,,,,,,,,1,1,,,,31,27,58,
,Senior,2,1,3,1,,1,,,,,1,1,,,,,,,,,,,,,1,,1,4,2,6,
,PB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tuition Status,Resident Tuition,90,62,152,1,3,4,21,21,42,4,6,10,,,,,,,,,,2,2,4,2,,2,120,94,214,
,Non-Resident Tuition,,,,1,,1,,,,,,,,,,,,,,1,1,,,,,,,1,1,2,
,Tuition Exemption/Waiver,1,2,3,,,,2,3,5,,,,,,,,,,,,,,,,,,,3,5,8,
Residency Status,Texas Resident,91,64,155,2,3,5,23,24,47,4,6,10,,,,,,,,,,2,2,4,2,,2,124,99,223,
,"Non-TX, US Resident",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Non-TX, Non-US Resident",,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,1,1,
SCH Categories,< 6 SCH,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,
,6-8 SCH,1,1,2,,,,,1,1,,,,,,,,,,,,,,,,1,,1,2,2,4,
,9-11 SCH,4,2,6,,1,1,1,,1,,,,,,,,,,,,,,,,,,,5,3,8,
,12-14 SCH,66,42,108,2,1,3,15,13,28,2,3,5,,,,,,,,1,1,,2,2,1,,1,86,62,148,
,15-17 SCH,19,18,37,,1,1,7,10,17,2,3,5,,,,,,,,,,2,,2,,,,30,32,62,
,>17 SCH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ft/Pt: TAMU Status,Less Than Half Time,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,
,Half-Time,5,4,9,,1,1,1,1,2,,,,,,,,,,,,,,,,1,,1,7,6,13,
,Full-Time,85,59,144,2,2,4,22,23,45,4,6,10,,,,,,,,1,1,2,2,4,1,,1,116,93,209,
Top 10% Texas High School,No,79,59,138,2,3,5,22,23,45,4,6,10,,,,,,,,1,1,2,2,4,1,,1,110,94,204,
,Yes,12,5,17,,,,1,1,2,,,,,,,,,,,,,,,,1,,1,14,6,20,
First Generation,No,56,42,98,2,,2,9,17,26,,3,3,,,,,,,,,,2,2,4,1,,1,70,64,134,
,Unknown,1,3,4,,,,,,,,,,,,,,,,,1,1,,,,,,,1,4,5,
,Yes,34,19,53,,3,3,14,7,21,4,3,7,,,,,,,,,,,,,1,,1,53,32,85,
Dorm / Off-campus students,Off-campus,79,60,139,2,2,4,18,16,34,4,6,10,,,,,,,,1,1,,1,1,2,,2,105,86,191,
,Dorm (On-campus),12,4,16,,1,1,5,8,13,,,,,,,,,,,,,2,1,3,,,,19,14,33,
"Prepared by OISP, 29 Mar 11",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
