Ethnicity Unknown or Not Reported,,,,,,,,,,,,,,,,
Headcount by Major by Classification by Ethnicity Spring 2011,,,,,,,,,,,,,,,,
Spring 2011,,Undergraduate,,,,,,Masters,,,PhD,,Professional,,Grand Total,
,,Freshman,Sophomore,Junior,Senior,PB,Total,PB,Master,Total,PhD,Total,Professional Veterinary,Total,,
Engineering,AERL,,,,,,,,,,,,,,,
,AERO,,1,,,,1,,,,1,1,,,2,
,BMEL,,1,,,,1,,,,,,,,1,
,BMEN,,,,,,,,,,,,,,,
,CECL,,,,,,,,,,,,,,,
,CECN,,,,,,,,,,,,,,,
,CEEL,,1,,,,1,,,,,,,,1,
,CEEN,,,,,,,,,,,,,,,
,CHEL,1,1,,,,2,,,,,,,,2,
,CHEN,,,,,,,,1,1,,,,,1,
,CPSC,,,,,,,,2,2,,,,,2,
,CPSL,1,,,,,1,,,,,,,,1,
,CVEL,1,,,,,1,,,,,,,,1,
,CVEN,,,1,,,1,,1,1,,,,,2,
,ELEL,1,,,,,1,,,,,,,,1,
,ELEN,,,,,,,,,,1,1,,,1,
,ENGR,,,,,,,,,,,,,,,
,ENSM,,,,,,,,,,,,,,,
,ENTC,,,,,,,,,,,,,,,
,ENTL,,,,,,,,,,,,,,,
,HLPH,,,,,,,,,,,,,,,
,IDIL,,,,,,,,,,,,,,,
,IDIS,,,,,,,,,,,,,,,
,INEL,,1,,,,1,,,,,,,,1,
,INEN,,,,2,,2,,,,,,,,2,
,ITDE,,,,,,,,,,,,,,,
,MEEL,,,,,,,,,,,,,,,
,MEEN,,,,,,,,,,,,,,,
,MSEN,,,,,,,,,,,,,,,
,NUEL,,,,1,,1,,,,,,,,1,
,NUEN,,,,1,,1,,,,,,,,1,
,OCEL,,,,,,,,,,,,,,,
,OCEN,,,,,,,,,,,,,,,
,PETE,,,,,,,,5,5,,,,,5,
,PETL,1,,,,,1,,,,,,,,1,
,RHEL,,,,,,,,,,,,,,,
,RHEN,,,,,,,,,,,,,,,
,SENG,,,,,,,,,,,,,,,
,USEN,,,,,,,,,,,,,,,
,Subtotal,5,5,1,4,,15,,9,9,2,2,,,26,
G. Bush School of Govt,CAIA,,,,,,,1,,1,,,,,1,
,CHLS,,,,,,,1,,1,,,,,1,
,CNPM,,,,,,,,,,,,,,,
,INTA,,,,,,,,,,,,,,,
,PSAA,,,,,,,,,,,,,,,
,Subtotal,,,,,,,2,,2,,,,,2,
"Prepared by OISP, 29 Mar 11",,,,,,,,,,,,,,,,
