Demographic Summary by Texas Top 10% Status First-Time In College Students,,,,,,,,
Spring 2011,,,,,,,,
Spring 2011,,Top 10% Texas High School,,,,Grand Total,,
,,Yes,,No,,#,%,
,,#,%,#,%,,,
Headcount Total,,28,23.7%,90,76.3%,118,100.0%,
Gender,Female,17,34.0%,33,66.0%,50,100.0%,
,Male,11,16.2%,57,83.8%,68,100.0%,
Ethnicity,White Only (NEW),13,20.3%,51,79.7%,64,100.0%,
,Black Only + 2 or more/1 Black (NEW),,,3,100.0%,3,100.0%,
,Hispanic or Latino of any Race (NEW),12,42.9%,16,57.1%,28,100.0%,
,Asian Only (NEW),,,5,100.0%,5,100.0%,
,International,,,15,100.0%,15,100.0%,
,2 or More/Excluding Black (NEW),2,100.0%,,,2,100.0%,
,Unknown or Not Reported,1,100.0%,,,1,100.0%,
TAMU Age Categories,<18,,,1,100.0%,1,100.0%,
,18-21,28,24.6%,86,75.4%,114,100.0%,
,22-25,,,2,100.0%,2,100.0%,
,26-30,,,1,100.0%,1,100.0%,
College,Agriculture,4,26.7%,11,73.3%,15,100.0%,
,Architecture,,,4,100.0%,4,100.0%,
,Business Admin,3,27.3%,8,72.7%,11,100.0%,
,Education,1,20.0%,4,80.0%,5,100.0%,
,Engineering,5,17.2%,24,82.8%,29,100.0%,
,Liberal Arts,4,23.5%,13,76.5%,17,100.0%,
,Science,4,33.3%,8,66.7%,12,100.0%,
,Veterinary Medicine,3,30.0%,7,70.0%,10,100.0%,
,General Studies,4,26.7%,11,73.3%,15,100.0%,
Enrollment Status,1st Time in College,28,23.7%,90,76.3%,118,100.0%,
Tuition Status,Resident Tuition,27,31.0%,60,69.0%,87,100.0%,
,Non-Resident Tuition,,,24,100.0%,24,100.0%,
,Tuition  Exemption/Waiver,1,14.3%,6,85.7%,7,100.0%,
Residency Status,Texas Resident,28,30.1%,65,69.9%,93,100.0%,
,"Non-TX, US Resident",,,7,100.0%,7,100.0%,
,"Non-TX, Non-US Resident",,,18,100.0%,18,100.0%,
SCH Categories,6-8 SCH,,,2,100.0%,2,100.0%,
,12-14 SCH,22,24.7%,67,75.3%,89,100.0%,
,15-17 SCH,6,22.2%,21,77.8%,27,100.0%,
Ft/Pt: TAMU Status,Half-Time,,,6,100.0%,6,100.0%,
,Full-Time,28,25.0%,84,75.0%,112,100.0%,
First Generation,No,16,13.6%,49,41.5%,65,55.1%,
,Unknown,1,.8%,16,13.6%,17,14.4%,
,Yes,11,9.3%,25,21.2%,36,30.5%,
"Prepared by OISP, 29 Mar 11",,,,,,,,
