University Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Demographic Summary by College by Ethnicity/Gender First-Time Undergraduate Transfer Students,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spring 2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spriing 2011,,White Only (NEW),,,Black Only + 2 or more/1 Black (NEW),,,Hispanic or Latino of any Race (NEW),,,Asian Only (NEW),,,Native Hawaii Only (New),,,American Indian Only (NEW),,,International,,,2 or More/Excluding Black (NEW),,,Unknown or Not Reported,,,Grand Total,,,
,,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,
Headcount Total,,296,304,600,10,9,19,61,63,124,13,23,36,1,1,2,1,3,4,7,19,26,5,7,12,2,3,5,396,432,828,
TAMU Age Categories,18-21,230,166,396,7,4,11,43,36,79,8,16,24,1,,1,1,1,2,2,6,8,4,5,9,,1,1,296,235,531,
,22-25,51,104,155,1,5,6,14,16,30,4,7,11,,,,,2,2,4,11,15,1,1,2,,1,1,75,147,222,
,26-30,11,23,34,,,,2,6,8,1,,1,,1,1,,,,,2,2,,1,1,,1,1,14,34,48,
,31-39,2,8,10,2,,2,1,5,6,,,,,,,,,,1,,1,,,,1,,1,7,13,20,
,40+,2,3,5,,,,1,,1,,,,,,,,,,,,,,,,1,,1,4,3,7,
Classification,Freshman,5,13,18,,,,2,3,5,,,,,,,,,,,1,1,1,1,2,,,,8,18,26,
,Sophomore,173,174,347,4,4,8,36,39,75,9,16,25,1,,1,1,1,2,1,9,10,3,4,7,1,2,3,229,249,478,
,Junior,100,102,202,4,5,9,19,17,36,4,4,8,,,,,2,2,6,9,15,1,2,3,,1,1,134,142,276,
,Senior,15,13,28,2,,2,4,4,8,,3,3,,1,1,,,,,,,,,,1,,1,22,21,43,
,PB,3,2,5,,,,,,,,,,,,,,,,,,,,,,,,,3,2,5,
Tuition Status,Resident Tuition,286,293,579,9,6,15,59,56,115,13,22,35,1,,1,1,2,3,,1,1,5,7,12,2,3,5,376,390,766,
,Non-Resident Tuition,4,4,8,1,3,4,,1,1,,,,,1,1,,,,5,12,17,,,,,,,10,21,31,
,Tuition Exemption/Waiver,6,7,13,,,,2,6,8,,1,1,,,,,1,1,2,6,8,,,,,,,10,21,31,
Residency Status,Texas Resident,292,299,591,10,6,16,61,61,122,13,22,35,1,1,2,1,3,4,,1,1,5,7,12,2,3,5,385,403,788,
,"Non-TX, US Resident",4,5,9,,3,3,,2,2,,1,1,,,,,,,,,,,,,,,,4,11,15,
,"Non-TX, Non-US Resident",,,,,,,,,,,,,,,,,,,7,18,25,,,,,,,7,18,25,
SCH Categories,< 6 SCH,5,7,12,,,,,1,1,,,,,,,,1,1,,,,,,,,1,1,5,10,15,
,6-8 SCH,6,11,17,,,,1,5,6,,1,1,,,,,,,,,,,,,1,1,2,8,18,26,
,9-11 SCH,12,14,26,,1,1,1,,1,1,1,2,,,,,,,,,,,,,,,,14,16,30,
,12-14 SCH,181,192,373,8,5,13,44,38,82,9,12,21,1,1,2,1,1,2,6,17,23,3,6,9,1,1,2,254,273,527,
,15-17 SCH,91,80,171,2,3,5,15,19,34,3,9,12,,,,,1,1,1,2,3,2,1,3,,,,114,115,229,
,>17 SCH,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,
Ft/Pt: TAMU Status,Less Than Half Time,5,7,12,,,,,1,1,,,,,,,,1,1,,,,,,,,1,1,5,10,15,
,Half-Time,18,28,46,,1,1,2,5,7,1,2,3,,,,,,,,,,,,,1,1,2,22,37,59,
,Full-Time,273,269,542,10,8,18,59,57,116,12,21,33,1,1,2,1,2,3,7,19,26,5,7,12,1,1,2,369,385,754,
Top 10% Texas High School,No,262,287,549,9,8,17,56,61,117,12,22,34,1,1,2,1,3,4,7,19,26,4,7,11,1,3,4,353,411,764,
,Yes,34,17,51,1,1,2,5,2,7,1,1,2,,,,,,,,,,1,,1,1,,1,43,21,64,
First Generation,No,188,202,390,6,2,8,29,40,69,5,11,16,,1,1,,1,1,,1,1,4,6,10,1,1,2,233,265,498,
,Unknown,4,9,13,,2,2,,,,,1,1,,,,,1,1,7,18,25,,,,,2,2,11,33,44,
,Yes,104,93,197,4,5,9,32,23,55,8,11,19,1,,1,1,1,2,,,,1,1,2,1,,1,152,134,286,
Dorm / Off-campus students,Off-campus,272,278,550,8,6,14,47,44,91,9,19,28,1,1,2,1,3,4,6,18,24,3,6,9,2,3,5,349,378,727,
,Dorm (On-campus),24,26,50,2,3,5,14,19,33,4,4,8,,,,,,,1,1,2,2,1,3,,,,47,54,101,
"Prepared by OISP, 29 Mar 11",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
