Headcount by Department by Ethnic Origin by Gender Spring 2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spring 2011,,,,White Only (NEW),,,Black Only + 2 or more/1 Black (NEW),,,,,Hispanic or Latino of any Race (NEW),,,Asian Only (NEW),,,Native Hawaii Only (New),,,American Indian Only (NEW),,,,International,,,2 or More/Excluding Black (NEW),,,Unknown or Not Reported,,,Total,,,Total,
,,,,Female,,Male,Female,,,Male,,Female,,Male,Female,Male,,Female,,Male,Female,,Male,,Female,Male,,Female,Male,,Female,,Male,Female,Male,,,
Liberal Arts,,ANTH,,131,,82,7,,,2,,34,,7,3,3,,,,,1,,,,5,9,,5,,,,,1,186,104,,290,
,,CLLA,,266,,164,11,,,8,,116,,49,6,8,,1,,1,,,1,,4,3,,7,4,,,,1,411,239,,650,
,,COMM,,558,,174,24,,,18,,85,,31,13,9,,1,,1,5,,,,7,7,,15,5,,1,,,709,245,,954,
,,ECON,,74,,294,3,,,7,,12,,62,13,22,,2,,1,1,,1,,34,61,,,11,,,,2,139,461,,600,
,,ENGL,,440,,127,19,,,4,,91,,35,11,5,,1,,,2,,3,,15,11,,9,5,,,,1,588,191,,779,
,,EURO,,29,,12,1,,,1,,4,,2,2,1,,,,,,,,,,1,,,,,,,,36,17,,53,
,,HISP,,46,,11,1,,,,,40,,21,,1,,,,,,,,,,8,,1,,,1,,,89,41,,130,
,,HIST,,189,,410,4,,,18,,35,,65,2,5,,,,,1,,1,,4,2,,8,8,,1,,3,244,512,,756,
,,PHUM,,22,,52,1,,,2,,4,,11,2,4,,,,,,,2,,,2,,,1,,,,2,29,76,,105,
,,POLS,,183,,363,21,,,20,,44,,70,13,18,,,,,1,,1,,9,3,,4,6,,1,,4,276,485,,761,
,,PRFM,,32,,16,1,,,1,,10,,10,4,,,,,,,,,,1,,,1,,,,,1,49,28,,77,
,,PSYC,,690,,212,54,,,15,,208,,75,47,27,,,,,1,,3,,7,6,,18,2,,4,,1,"1,029",341,,"1,370",
,,SOCI,,200,,88,44,,,16,,83,,47,12,3,,1,,,4,,,,7,4,,3,3,,1,,1,355,162,,517,
,,Subtotal,,"2,860",,"2,005",191,,,112,,766,,485,128,106,,6,,3,16,,12,,93,117,,71,45,,9,,17,"4,140","2,902",,"7,042",
Science,,BIOL,,512,,375,39,,,19,,185,,127,100,100,,2,,,4,,4,,37,16,,22,18,,,,,901,659,,"1,560",
,,CHEM,,103,,134,5,,,9,,30,,26,11,21,,,,,,,2,,49,89,,3,4,,1,,1,202,286,,488,
,,CLSC,,5,,9,,,,2,,1,,1,,,,,,,,,,,,,,,,,,,,6,12,,18,
,,MATH,,139,,141,5,,,7,,21,,36,13,10,,,,,,,1,,25,55,,6,5,,1,,1,210,256,,466,
,,PHYS,,24,,126,1,,,5,,7,,31,1,8,,,,1,1,,,,9,80,,2,4,,,,1,45,256,,301,
,,STAT,,24,,55,3,,,2,,2,,3,14,9,,,,,,,1,,28,29,,,1,,1,,2,72,102,,174,
,,Subtotal,,807,,840,53,,,44,,246,,224,139,148,,2,,1,5,,8,,148,269,,33,32,,3,,5,"1,436","1,571",,"3,007",
Veterinary Medicine,,CLVM,,"1,031",,387,37,,,9,,212,,107,87,72,,1,,,5,,3,,8,1,,18,9,,6,,2,"1,405",590,,"1,995",
,,VIBS,,13,,6,2,,,,,1,,1,,,,,,,,,,,9,9,,,,,,,,25,16,,41,
,,VLCS,,3,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,4,1,,5,
,,VSCS,,,,,,,,,,,,1,,,,,,,,,,,1,4,,,,,,,,1,5,,6,
,,VTPB,,22,,5,1,,,,,1,,1,3,,,,,,,,,,4,4,,,,,,,,31,10,,41,
,,VTPP,,14,,6,,,,,,,,,,3,,,,,,,,,5,5,,,,,,,,19,14,,33,
,,Subtotal,,"1,083",,405,40,,,9,,214,,110,90,75,,1,,,5,,3,,28,23,,18,9,,6,,2,"1,485",636,,"2,121",
General Studies,,GEST,,"1,394",,"1,685",104,,,106,,411,,446,67,131,,6,,4,2,,8,,11,30,,37,40,,6,,4,"2,038","2,454",,"4,492",
,,Subtotal,,"1,394",,"1,685",104,,,106,,411,,446,67,131,,6,,4,2,,8,,11,30,,37,40,,6,,4,"2,038","2,454",,"4,492",
Other - Special Populations,,CLMD,,1,,1,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,3,1,,4,
,,MARB,,2,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,3,1,,4,
,,MARS,,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,,4,
,,SABX,,,,1,,,,,,,,,,,,,,,,,,,34,29,,,,,1,,,35,30,,65,
,,SRPH,,5,,1,,,,,,2,,1,,,,,,,,,,,1,,,,,,1,,1,9,3,,12,
,,Subtotal,,10,,5,,,,,,3,,1,,,,,,,,,,,35,30,,1,,,3,,1,52,37,,89,
Total,,,,"14,869",,"16,223",837,,,770,,"3,312",,"3,407",816,"1,186",,24,,29,71,,89,,"1,304","2,672",,337,350,,49,,77,"21,619","24,803",,"46,422",
"Prepared by OISP, 29 Mar 11",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ethnicity White Only (NEW),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Headcount by Department by Classification by Ethnicity Spring 2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spring 2011,,,Undergraduate,,,,,,,,,,,,Masters,,,,,,,PhD,,,,,Professional,,,,,Grand Total,,,,,,
,,,Freshman,,Sophomore,,,Junior,Senior,,PB,,Total,,PB,,Master,,Total,,,PhD,,Total,,,Professional Veterinary,,,Total,,,,,,,,
Agriculture,AGEC,,28,,97,,,222,277,,3,,627,,,,39,,39,,,16,,16,,,,,,,,682,,,,,,
,ALEC,,32,,89,,,224,368,,3,,716,,4,,84,,88,,,42,,42,,,,,,,,846,,,,,,
,ANSC,,71,,128,,,141,247,,7,,594,,5,,65,,70,,,27,,27,,,,,,,,691,,,,,,
,BAEN,,33,,35,,,60,115,,1,,244,,,,24,,24,,,4,,4,,,,,,,,272,,,,,,
,BCBP,,18,,35,,,32,55,,7,,147,,,,23,,23,,,44,,44,,,,,,,,214,,,,,,
,CLAG,,1,,13,,,20,7,,2,,43,,,,,,,,,,,,,,,,,,,43,,,,,,
,ENTO,,6,,16,,,26,29,,3,,80,,,,15,,15,,,17,,17,,,,,,,,112,,,,,,
,ESSM,,6,,29,,,48,55,,1,,139,,3,,39,,42,,,16,,16,,,,,,,,197,,,,,,
,HRSC,,7,,23,,,44,72,,,,146,,,,10,,10,,,4,,4,,,,,,,,160,,,,,,
,NFSC,,29,,55,,,90,191,,8,,373,,1,,25,,26,,,10,,10,,,,,,,,409,,,,,,
