College General Studies,,,,,,,,,,,,,,,,,,,,,,,
Demographic Summary by College by Ethnicity/Gender First-Time In College Students,,,,,,,,,,,,,,,,,,,,,,,
Spring 2011,,,,,,,,,,,,,,,,,,,,,,,
Spriing 2011,,White Only (NEW),,,Black Only + 2 or more/1 Black (NEW),,Hispanic or Latino of any Race (NEW),,,Asian Only (NEW),,,International,,,2 or More/Excluding Black (NEW),,Unknown or Not Reported,,Grand Total,,,
,,F,M,Tot,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,M,Tot,F,Tot,F,M,Tot,
Headcount Total,,1,3,4,1,1,1,4,5,,,,1,2,3,1,1,1,1,4,11,15,
TAMU Age Categories,<18,,,,,,,,,,,,,,,,,,,,,,
,18-21,1,3,4,1,1,1,4,5,,,,1,2,3,1,1,1,1,4,11,15,
,22-25,,,,,,,,,,,,,,,,,,,,,,
,26-30,,,,,,,,,,,,,,,,,,,,,,
Classification,Freshman,1,3,4,1,1,1,4,5,,,,1,2,3,1,1,1,1,4,11,15,
,Sophomore,,,,,,,,,,,,,,,,,,,,,,
Tuition Status,Resident Tuition,1,2,3,1,1,1,3,4,,,,,,,1,1,1,1,3,7,10,
,Non-Resident Tuition,,1,1,,,,1,1,,,,1,2,3,,,,,1,4,5,
,Tuition  Exemption/Waiver,,,,,,,,,,,,,,,,,,,,,,
Residency Status,Texas Resident,1,2,3,1,1,1,3,4,,,,,,,1,1,1,1,3,7,10,
,"Non-TX, US Resident",,1,1,,,,1,1,,,,,,,,,,,,2,2,
,"Non-TX, Non-US Resident",,,,,,,,,,,,1,2,3,,,,,1,2,3,
SCH Categories,6-8 SCH,,,,,,,,,,,,,,,,,,,,,,
,12-14 SCH,1,3,4,1,1,1,4,5,,,,1,2,3,1,1,1,1,4,11,15,
,15-17 SCH,,,,,,,,,,,,,,,,,,,,,,
Ft/Pt: TAMU Status,Half-Time,,,,,,,,,,,,,1,1,,,,,,1,1,
,Full-Time,1,3,4,1,1,1,4,5,,,,1,1,2,1,1,1,1,4,10,14,
Top 10% Texas High School,No,1,2,3,1,1,1,3,4,,,,1,2,3,,,,,3,8,11,
,Yes,,1,1,,,,1,1,,,,,,,1,1,1,1,1,3,4,
First Generation,No,1,3,4,1,1,,1,1,,,,,,,,,,,1,5,6,
,Unknown,,,,,,1,,1,,,,1,2,3,,,1,1,3,2,5,
,Yes,,,,,,,3,3,,,,,,,1,1,,,,4,4,
Dorm / Off-campus students,Off-campus,,2,2,,,1,2,3,,,,1,2,3,,,,,2,6,8,
,Dorm (On-campus),1,1,2,1,1,,2,2,,,,,,,1,1,1,1,2,5,7,
"Prepared by OISP, 29 Mar 11",,,,,,,,,,,,,,,,,,,,,,,
