Ethnicity Black Only + 2 or more/1 Black (NEW),,,,,,,,,,,,,,,,
Headcount by Department by Classification by Ethnicity Spring 2011,,,,,,,,,,,,,,,,
Spring 2011,,Undergraduate,,,,,,Masters,,,PhD,,Professional,,Grand Total,
,,Freshman,Sophomore,Junior,Senior,PB,Total,PB,Master,Total,PhD,Total,Professional Veterinary,Total,,
Agriculture,AGEC,1,,6,4,,11,,,,2,2,,,13,
,ALEC,,4,20,34,,58,,2,2,8,8,,,68,
,ANSC,,1,2,2,,5,,1,1,2,2,,,8,
,BAEN,,1,1,3,,5,,,,4,4,,,9,
,BCBP,3,3,3,3,,12,,3,3,,,,,15,
,CLAG,,3,5,1,,9,,,,,,,,9,
,ENTO,,2,1,2,,5,,,,1,1,,,6,
,ESSM,,,,1,,1,,,,2,2,,,3,
,HRSC,,,,,,,,,,,,,,,
,NFSC,2,2,5,6,,15,,1,1,2,2,,,18,
,PLPM,,1,5,8,,14,,,,1,1,,,15,
,POSC,,,3,3,,6,,,,2,2,,,8,
,RPTS,,3,4,3,,10,1,,1,3,3,,,14,
,SCSC,,,,1,,1,1,1,2,2,2,,,5,
,WFSC,1,,1,2,,4,,2,2,2,2,,,8,
,Subtotal,7,20,56,73,,156,2,10,12,31,31,,,199,
Architecture,ARCH,,,1,3,,4,,3,3,,,,,7,
,CLAR,,,2,,,2,,,,,,,,2,
,COSC,,5,4,2,,11,,,,,,,,11,
,LAUP,2,2,,4,,8,,3,3,3,3,,,14,
,VIZA,1,,2,1,,4,,,,,,,,4,
,Subtotal,3,7,9,10,,29,,6,6,3,3,,,38,
Business Admin,ACCT,,,11,8,,19,1,4,5,,,,,24,
,CLBA,13,20,7,5,,45,,9,9,,,,,54,
,FINC,,,3,5,,8,,2,2,,,,,10,
,INFO,,,8,10,,18,,2,2,,,,,20,
,MGMT,,,3,9,,12,,3,3,,,,,15,
,MKTG,,,4,8,,12,,1,1,,,,,13,
,Subtotal,13,20,36,45,,114,1,21,22,,,,,136,
Education,CLED,,,,,,,,,,,,,,,
,EAHR,,2,5,5,,12,3,18,21,50,50,,,83,
,EPSY,1,,,3,,4,,10,10,12,12,,,26,
,HLKN,7,18,9,25,2,61,,2,2,11,11,,,74,
,TLAC,4,4,5,7,,20,1,9,10,53,53,,,83,
,Subtotal,12,24,19,40,2,97,4,39,43,126,126,,,266,
Engineering,AERO,,2,1,3,,6,,2,2,,,,,8,
,BMEN,2,4,3,3,,12,,2,2,,,,,14,
,CHEN,4,1,9,8,1,23,,1,1,1,1,,,25,
,CLEN,,,,,,,,,,1,1,,,1,
,CSCE,7,10,7,11,,35,,2,2,4,4,,,41,
,CVEN,2,4,7,11,,24,,1,1,,,,,25,
,ECEN,4,8,4,13,,29,,4,4,4,4,,,37,
,ETID,1,6,7,16,,30,,,,,,,,30,
,ISEN,1,6,5,16,,28,,3,3,2,2,,,33,
,MEEN,4,3,4,7,,18,,2,2,6,6,,,26,
,NUEN,1,,2,4,,7,,3,3,1,1,,,11,
,PETE,3,1,1,6,,11,,4,4,3,3,,,18,
,Subtotal,29,45,50,98,1,223,,24,24,22,22,,,269,
G. Bush School of Govt,BUSH,,,,,,,7,9,16,,,,,16,
,Subtotal,,,,,,,7,9,16,,,,,16,
"Prepared by OISP, 29 Mar 11",,,,,,,,,,,,,,,,
