College Architecture,,,,,,,,,,,,,,,,,,,,,,,
Demographic Summary by College by Ethnicity/Gender First-Time In College Students,,,,,,,,,,,,,,,,,,,,,,,
Spring 2011,,,,,,,,,,,,,,,,,,,,,,,
Spriing 2011,,White Only (NEW),,,Black Only + 2 or more/1 Black (NEW),,Hispanic or Latino of any Race (NEW),,,Asian Only (NEW),,,International,,,2 or More/Excluding Black (NEW),,Unknown or Not Reported,,Grand Total,,,
,,F,M,Tot,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,M,Tot,F,Tot,F,M,Tot,
Headcount Total,,,4,4,,,,,,,,,,,,,,,,,4,4,
TAMU Age Categories,<18,,,,,,,,,,,,,,,,,,,,,,
,18-21,,4,4,,,,,,,,,,,,,,,,,4,4,
,22-25,,,,,,,,,,,,,,,,,,,,,,
,26-30,,,,,,,,,,,,,,,,,,,,,,
Classification,Freshman,,4,4,,,,,,,,,,,,,,,,,4,4,
,Sophomore,,,,,,,,,,,,,,,,,,,,,,
Tuition Status,Resident Tuition,,3,3,,,,,,,,,,,,,,,,,3,3,
,Non-Resident Tuition,,,,,,,,,,,,,,,,,,,,,,
,Tuition  Exemption/Waiver,,1,1,,,,,,,,,,,,,,,,,1,1,
Residency Status,Texas Resident,,4,4,,,,,,,,,,,,,,,,,4,4,
,"Non-TX, US Resident",,,,,,,,,,,,,,,,,,,,,,
,"Non-TX, Non-US Resident",,,,,,,,,,,,,,,,,,,,,,
SCH Categories,6-8 SCH,,,,,,,,,,,,,,,,,,,,,,
,12-14 SCH,,2,2,,,,,,,,,,,,,,,,,2,2,
,15-17 SCH,,2,2,,,,,,,,,,,,,,,,,2,2,
Ft/Pt: TAMU Status,Half-Time,,,,,,,,,,,,,,,,,,,,,,
,Full-Time,,4,4,,,,,,,,,,,,,,,,,4,4,
Top 10% Texas High School,No,,4,4,,,,,,,,,,,,,,,,,4,4,
,Yes,,,,,,,,,,,,,,,,,,,,,,
First Generation,No,,1,1,,,,,,,,,,,,,,,,,1,1,
,Unknown,,,,,,,,,,,,,,,,,,,,,,
,Yes,,3,3,,,,,,,,,,,,,,,,,3,3,
Dorm / Off-campus students,Off-campus,,3,3,,,,,,,,,,,,,,,,,3,3,
,Dorm (On-campus),,1,1,,,,,,,,,,,,,,,,,1,1,
"Prepared by OISP, 29 Mar 11",,,,,,,,,,,,,,,,,,,,,,,
