Ethnicity 2 or More/Excluding Black (NEW),,,,,,,,,,,,,,,,
Headcount by Major by Classification by Ethnicity Spring 2011,,,,,,,,,,,,,,,,
Spring 2011,,Undergraduate,,,,,,Masters,,,PhD,,Professional,,Grand Total,
,,Freshman,Sophomore,Junior,Senior,PB,Total,PB,Master,Total,PhD,Total,Professional Veterinary,Total,,
Education,BIED,,,,,,,,,,,,,,,
,CPSY,,,,,,,,,,1,1,,,1,
,EDAD,,,,,,,,,,1,1,,,1,
,EDCI,,,,,,,,1,1,5,5,,,6,
,EDHL,1,2,,1,,4,,,,,,,,4,
,EDIS,3,2,1,,,6,,,,,,,,6,
,EDKI,4,4,2,1,,11,,,,,,,,11,
,EDSM,,,1,,,1,,,,,,,,1,
,EDTC,,,,,,,,1,1,,,,,1,
,EHRD,,,,,,,,1,1,1,1,,,2,
,EPSY,,,,,,,,,,2,2,,,2,
,HEED,,,,,,,,,,1,1,,,1,
,HLTH,,,,4,,4,,,,,,,,4,
,HRDL,1,,1,,,2,,,,,,,,2,
,HRDV,,,,1,,1,,,,,,,,1,
,INST,,,2,8,,10,,,,,,,,10,
,ISNC,,,,,,,,,,,,,,,
,KINE,,,,1,,1,,,,,,,,1,
,NUTR,,,,,,,,,,,,,,,
,PHED,,,,,,,,,,,,,,,
,SPED,,,,,,,,,,,,,,,
,SPMT,,,1,2,,3,,,,,,,,3,
,SPSY,,,,,,,,,,1,1,,,1,
,TCMG,,,,1,,1,,,,,,,,1,
,TCML,,,,,,,,,,,,,,,
,TECR,,,,,,,,,,,,,,,
,USEH,,,,,,,,,,,,,,,
,Subtotal,9,8,8,19,,44,,3,3,12,12,,,59,
"Prepared by OISP, 29 Mar 11",,,,,,,,,,,,,,,,
