College Engineering,,,,,,,,,,,,
Texas A&M University Student Enrollment Summary Student Head Count by Level by College,,,,,,,,,,,,
Spring 2011,,,,,,,,,,,,
Spring 2011,,Student Level,,,,,,,,,,
,,Undergraduate,,Masters,,PhD,,Professional,,Total,,
,,#,%,#,%,#,%,#,%,#,%,
Gender,Total,"7,615",100.0%,"1,497",100.0%,"1,218",100.0%,,,"10,330",100.0%,
,Female,"1,421",18.7%,328,21.9%,230,18.9%,,,"1,979",19.2%,
,Male,"6,194",81.3%,"1,169",78.1%,988,81.1%,,,"8,351",80.8%,
Ethnicity,White Only (NEW),"5,249",68.9%,427,28.5%,228,18.7%,,,"5,904",57.2%,
,Black Only + 2 or more/1 Black (NEW),223,2.9%,24,1.6%,22,1.8%,,,269,2.6%,
,Hispanic or Latino of any Race (NEW),"1,206",15.8%,97,6.5%,38,3.1%,,,"1,341",13.0%,
,Asian Only (NEW),453,5.9%,63,4.2%,36,3.0%,,,552,5.3%,
,Native Hawaii Only (New),14,.2%,,,1,.1%,,,15,.1%,
,American Indian Only (NEW),26,.3%,,,1,.1%,,,27,.3%,
,International,290,3.8%,861,57.5%,887,72.8%,,,"2,038",19.7%,
,2 or More/Excluding Black (NEW),139,1.8%,16,1.1%,3,.2%,,,158,1.5%,
,Unknown or Not Reported,15,.2%,9,.6%,2,.2%,,,26,.3%,
,Total,"7,615",100.0%,"1,497",100.0%,"1,218",100.0%,,,"10,330",100.0%,
TAMU Age Categories,<18,1,.0%,,,,,,,1,.0%,
,18-21,"4,230",55.5%,4,.3%,,,,,"4,234",41.0%,
,22-25,"3,158",41.5%,837,55.9%,113,9.3%,,,"4,108",39.8%,
,26-30,158,2.1%,498,33.3%,648,53.2%,,,"1,304",12.6%,
,31-39,59,.8%,131,8.8%,415,34.1%,,,605,5.9%,
,40+,9,.1%,27,1.8%,42,3.4%,,,78,.8%,
Enrollment Status,1st Time in College,29,.4%,,,,,,,29,.3%,
,1st Time PB,,,7,.5%,,,,,7,.1%,
,1st Time Graduate,,,116,7.7%,186,15.3%,,,302,2.9%,
,1st Time Professional,,,,,,,,,,,
,1st Time Transfer,104,1.4%,,,,,,,104,1.0%,
,Readmitted,37,.5%,1,.1%,2,.2%,,,40,.4%,
,Continuing,"7,445",97.8%,"1,373",91.7%,"1,030",84.6%,,,"9,848",95.3%,
Tuition Status,Resident Tuition,"6,806",89.4%,478,31.9%,197,16.2%,,,"7,481",72.4%,
,Non-Resident Tuition,265,3.5%,466,31.1%,167,13.7%,,,898,8.7%,
,Tuition Exemption/Waiver,544,7.1%,553,36.9%,854,70.1%,,,"1,951",18.9%,
Residency Status,Texas Resident,"7,023",92.2%,496,33.1%,212,17.4%,,,"7,731",74.8%,
,"Non-TX, US Resident",306,4.0%,141,9.4%,115,9.4%,,,562,5.4%,
,"Non-TX, Non-US Resident",286,3.8%,860,57.4%,891,73.2%,,,"2,037",19.7%,
SCH Categories,< 6 SCH,94,1.2%,236,15.8%,131,10.8%,,,461,4.5%,
,6-8 SCH,140,1.8%,96,6.4%,11,.9%,,,247,2.4%,
,9-11 SCH,331,4.3%,"1,086",72.5%,"1,030",84.6%,,,"2,447",23.7%,
,12-14 SCH,"3,769",49.5%,71,4.7%,37,3.0%,,,"3,877",37.5%,
,15-17 SCH,"3,030",39.8%,8,.5%,8,.7%,,,"3,046",29.5%,
,>17 SCH,251,3.3%,,,1,.1%,,,252,2.4%,
Ft/Pt: TAMU Status,Less Than Half Time,46,.6%,126,8.4%,87,7.1%,,,259,2.5%,
,Half-Time,466,6.1%,187,12.5%,55,4.5%,,,708,6.9%,
,Full-Time,"7,103",93.3%,"1,184",79.1%,"1,076",88.3%,,,"9,363",90.6%,
Top 10% Texas High School,No,"3,991",52.4%,"1,447",96.7%,"1,166",95.7%,,,"6,604",63.9%,
,Yes,"3,624",47.6%,50,3.3%,52,4.3%,,,"3,726",36.1%,
First Generation,No,"5,625",73.9%,"1,049",70.1%,723,59.4%,,,"7,397",71.6%,
,Unknown,412,5.4%,71,4.7%,115,9.4%,,,598,5.8%,
,Yes,"1,578",20.7%,377,25.2%,380,31.2%,,,"2,335",22.6%,
"Prepared by OISP, 3/30/2011",,,,,,,,,,,,
