College Education,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Demographic Summary by College by Ethnicity/Gender First-Time Undergraduate Transfer Students,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spring 2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spriing 2011,,White Only (NEW),,,Black Only + 2 or more/1 Black (NEW),,,Hispanic or Latino of any Race (NEW),,,Asian Only (NEW),,,Native Hawaii Only (New),,,American Indian Only (NEW),,,International,,,2 or More/Excluding Black (NEW),,,Unknown or Not Reported,,,Grand Total,,,
,,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,
Headcount Total,,66,9,75,,,,5,2,7,,,,,,,,,,2,,2,,,,,,,73,11,84,
TAMU Age Categories,18-21,52,6,58,,,,3,1,4,,,,,,,,,,,,,,,,,,,55,7,62,
,22-25,8,3,11,,,,2,1,3,,,,,,,,,,1,,1,,,,,,,11,4,15,
,26-30,4,,4,,,,,,,,,,,,,,,,,,,,,,,,,4,,4,
,31-39,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,1,,1,
,40+,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,2,,2,
Classification,Freshman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sophomore,26,5,31,,,,3,1,4,,,,,,,,,,,,,,,,,,,29,6,35,
,Junior,33,4,37,,,,1,,1,,,,,,,,,,2,,2,,,,,,,36,4,40,
,Senior,7,,7,,,,1,1,2,,,,,,,,,,,,,,,,,,,8,1,9,
,PB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tuition Status,Resident Tuition,65,8,73,,,,5,2,7,,,,,,,,,,,,,,,,,,,70,10,80,
,Non-Resident Tuition,1,1,2,,,,,,,,,,,,,,,,1,,1,,,,,,,2,1,3,
,Tuition Exemption/Waiver,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,1,,1,
Residency Status,Texas Resident,66,8,74,,,,5,2,7,,,,,,,,,,,,,,,,,,,71,10,81,
,"Non-TX, US Resident",,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,
,"Non-TX, Non-US Resident",,,,,,,,,,,,,,,,,,,2,,2,,,,,,,2,,2,
SCH Categories,< 6 SCH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6-8 SCH,1,,1,,,,,1,1,,,,,,,,,,,,,,,,,,,1,1,2,
,9-11 SCH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,12-14 SCH,32,5,37,,,,4,1,5,,,,,,,,,,1,,1,,,,,,,37,6,43,
,15-17 SCH,32,4,36,,,,1,,1,,,,,,,,,,1,,1,,,,,,,34,4,38,
,>17 SCH,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,
Ft/Pt: TAMU Status,Less Than Half Time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Half-Time,1,,1,,,,,1,1,,,,,,,,,,,,,,,,,,,1,1,2,
,Full-Time,65,9,74,,,,5,1,6,,,,,,,,,,2,,2,,,,,,,72,10,82,
Top 10% Texas High School,No,58,9,67,,,,5,2,7,,,,,,,,,,2,,2,,,,,,,65,11,76,
,Yes,8,,8,,,,,,,,,,,,,,,,,,,,,,,,,8,,8,
First Generation,No,47,8,55,,,,2,2,4,,,,,,,,,,,,,,,,,,,49,10,59,
,Unknown,1,,1,,,,,,,,,,,,,,,,2,,2,,,,,,,3,,3,
,Yes,18,1,19,,,,3,,3,,,,,,,,,,,,,,,,,,,21,1,22,
Dorm / Off-campus students,Off-campus,65,8,73,,,,5,2,7,,,,,,,,,,2,,2,,,,,,,72,10,82,
,Dorm (On-campus),1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,
"Prepared by OISP, 29 Mar 11",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
