College Engineering,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Demographic Summary by College by Ethnicity/Gender First-Time Undergraduate Transfer Students,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spring 2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spriing 2011,,White Only (NEW),,,Black Only + 2 or more/1 Black (NEW),,,Hispanic or Latino of any Race (NEW),,,Asian Only (NEW),,,Native Hawaii Only (New),,,American Indian Only (NEW),,,International,,,2 or More/Excluding Black (NEW),,,Unknown or Not Reported,,,Grand Total,,,
,,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,
Headcount Total,,7,45,52,1,1,2,4,15,19,,10,10,,1,1,,,,,17,17,,1,1,,2,2,12,92,104,
TAMU Age Categories,18-21,6,18,24,1,,1,3,9,12,,7,7,,,,,,,,5,5,,1,1,,1,1,10,41,51,
,22-25,1,21,22,,1,1,1,3,4,,3,3,,,,,,,,10,10,,,,,,,2,38,40,
,26-30,,3,3,,,,,2,2,,,,,1,1,,,,,2,2,,,,,1,1,,9,9,
,31-39,,2,2,,,,,1,1,,,,,,,,,,,,,,,,,,,,3,3,
,40+,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,
Classification,Freshman,,4,4,,,,,,,,,,,,,,,,,1,1,,1,1,,,,,6,6,
,Sophomore,3,13,16,1,,1,,9,9,,7,7,,,,,,,,7,7,,,,,2,2,4,38,42,
,Junior,1,23,24,,1,1,3,5,8,,2,2,,,,,,,,9,9,,,,,,,4,40,44,
,Senior,3,4,7,,,,1,1,2,,1,1,,1,1,,,,,,,,,,,,,4,7,11,
,PB,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,
Tuition Status,Resident Tuition,6,41,47,1,1,2,4,13,17,,10,10,,,,,,,,1,1,,1,1,,2,2,11,69,80,
,Non-Resident Tuition,,1,1,,,,,,,,,,,1,1,,,,,10,10,,,,,,,,12,12,
,Tuition Exemption/Waiver,1,3,4,,,,,2,2,,,,,,,,,,,6,6,,,,,,,1,11,12,
Residency Status,Texas Resident,7,43,50,1,1,2,4,14,18,,10,10,,1,1,,,,,1,1,,1,1,,2,2,12,73,85,
,"Non-TX, US Resident",,2,2,,,,,1,1,,,,,,,,,,,,,,,,,,,,3,3,
,"Non-TX, Non-US Resident",,,,,,,,,,,,,,,,,,,,16,16,,,,,,,,16,16,
SCH Categories,< 6 SCH,,4,4,,,,,1,1,,,,,,,,,,,,,,,,,1,1,,6,6,
,6-8 SCH,,3,3,,,,,,,,1,1,,,,,,,,,,,,,,1,1,,5,5,
,9-11 SCH,1,2,3,,,,,,,,,,,,,,,,,,,,,,,,,1,2,3,
,12-14 SCH,4,27,31,1,,1,3,12,15,,7,7,,1,1,,,,,15,15,,1,1,,,,8,63,71,
,15-17 SCH,2,9,11,,1,1,1,2,3,,2,2,,,,,,,,2,2,,,,,,,3,16,19,
,>17 SCH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ft/Pt: TAMU Status,Less Than Half Time,,4,4,,,,,1,1,,,,,,,,,,,,,,,,,1,1,,6,6,
,Half-Time,1,5,6,,,,,,,,1,1,,,,,,,,,,,,,,1,1,1,7,8,
,Full-Time,6,36,42,1,1,2,4,14,18,,9,9,,1,1,,,,,17,17,,1,1,,,,11,79,90,
Top 10% Texas High School,No,6,42,48,,1,1,2,14,16,,9,9,,1,1,,,,,17,17,,1,1,,2,2,8,87,95,
,Yes,1,3,4,1,,1,2,1,3,,1,1,,,,,,,,,,,,,,,,4,5,9,
First Generation,No,2,33,35,1,1,2,2,10,12,,3,3,,1,1,,,,,1,1,,1,1,,,,5,50,55,
,Unknown,1,,1,,,,,,,,1,1,,,,,,,,16,16,,,,,2,2,1,19,20,
,Yes,4,12,16,,,,2,5,7,,6,6,,,,,,,,,,,,,,,,6,23,29,
Dorm / Off-campus students,Off-campus,7,38,45,,1,1,1,9,10,,7,7,,1,1,,,,,16,16,,1,1,,2,2,8,75,83,
,Dorm (On-campus),,7,7,1,,1,3,6,9,,3,3,,,,,,,,1,1,,,,,,,4,17,21,
"Prepared by OISP, 29 Mar 11",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
